# Potential Energy Components vs Temperature (reaction field, eps_rf=80)
# All energies in Hartree (atomic units)
# Production window: last 1 ns after 1 ns equilibration discard
# Block averaging: 1 ps blocks from 1 ps HDF5 samples
# Columns:
#   temperature: set-point temperature in Kelvin
#   harmonic_hartree: block-averaged harmonic bond energy
#   harmonic_energy_std: std of 1 ps block means
#   lj_hartree: block-averaged Lennard-Jones energy
#   lj_energy_std: std of 1 ps block means
#   coulombic_hartree: block-averaged reaction-field Coulomb energy (ewald_short)
#   coulombic_energy_std: std of 1 ps block means
#   total_potential_energy_hartree: harmonic + lj + coulombic
#   total_potential_energy_std: std of 1 ps block means
#
temperature	harmonic_hartree	harmonic_energy_std	lj_hartree	lj_energy_std	coulombic_hartree	coulombic_energy_std	total_potential_energy_hartree	total_potential_energy_std
            300.00	1.36196569e-01	9.26433873e-03	-4.19664493e-01	1.90908106e-02	2.30678922e-01	3.95340613e-01	-5.27890029e-02	3.94371927e-01
            280.00	1.15468874e-01	8.35038152e-03	-4.38081412e-01	1.76472684e-02	2.83747745e-01	3.86751945e-01	-3.88647930e-02	3.86680324e-01
            260.00	1.10400165e-01	2.60306242e-03	-4.62219395e-01	8.51705474e-03	3.45398373e-01	1.61190922e-01	-6.42085695e-03	1.59726969e-01
            240.00	1.06031979e-01	2.29606195e-03	-4.88960967e-01	8.05117516e-03	4.00156638e-01	1.68179211e-01	1.72276502e-02	1.68055832e-01
            220.00	8.53418429e-02	2.48045069e-03	-5.05431392e-01	8.21209733e-03	4.48630704e-01	1.73184577e-01	2.85411552e-02	1.72989369e-01
            200.00	8.39983819e-02	1.95523875e-03	-5.37204163e-01	7.27150346e-03	5.30351820e-01	1.74645791e-01	7.71460390e-02	1.74423358e-01
            180.00	7.45649362e-02	1.80777168e-03	-5.63090273e-01	6.92087326e-03	6.21197488e-01	1.90937590e-01	1.32672151e-01	1.90116794e-01
            160.00	7.27671615e-02	2.22462699e-03	-5.97157847e-01	6.96538119e-03	7.53179541e-01	1.97343489e-01	2.28788856e-01	1.96095735e-01
            140.00	5.89512475e-02	1.57805072e-03	-6.23260920e-01	5.93436474e-03	8.57277838e-01	1.97835835e-01	2.92968166e-01	1.97370275e-01
            120.00	4.88722274e-02	1.40230749e-03	-6.51781984e-01	6.16792661e-03	1.02996697e+00	2.03504829e-01	4.27057210e-01	2.03157774e-01
            100.00	4.10690946e-02	1.10718549e-03	-6.86101720e-01	5.00384768e-03	1.22271306e+00	2.05969389e-01	5.77680435e-01	2.05230827e-01
             80.00	2.91089625e-02	7.44841151e-04	-7.19552499e-01	3.66446632e-03	1.49523246e+00	2.30002177e-01	8.04788926e-01	2.29455658e-01
