# Relaxation Time vs Coupling Strength Data
# Generated from F(k,t) analysis: F=0.1 crossing of shared-beta KWW fit
# tilde_tau_s = relaxation_time_ps / tau(lambda=0, same ref); per-reference zero-coupling baseline
# t_w_ps = ref_time_ps - 200 (waiting time referenced to cavity turn-on)
# Columns: ref_num, ref_time_ps, t_w_ps, coupling_name, coupling_value, coupling_label, relaxation_time_ps, tilde_tau_s, A, tau_K, beta, r_squared, method, normalization_value
#
ref_num  ref_time_ps  t_w_ps     coupling_name                            coupling_value  coupling_label       relaxation_time_ps tilde_tau_s    A          tau_K          beta       r_squared  method                 normalization_value
0        0.0          -200.0     cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    195.048023         1.000000       0.936655   40.578822      0.512867   0.907621   kww_shared_beta        1.000000e+00      
0        0.0          -200.0     cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 170.353676         0.873394       0.966853   34.081019      0.509146   0.845058   kww_shared_beta        1.000000e+00      
0        0.0          -200.0     cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             210.699484         1.080244       0.843693   52.171735      0.542557   0.871575   kww_shared_beta        1.000000e+00      
0        0.0          -200.0     cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             198.567135         1.018042       0.849642   49.877242      0.550565   0.888033   kww_shared_beta        1.000000e+00      
0        0.0          -200.0     cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 180.862456         0.927271       0.844046   48.970775      0.579823   0.899423   kww_shared_beta        1.000000e+00      
1        200.0        0.0        cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    172.414664         1.000000       1.006707   33.718052      0.512867   0.949769   kww_shared_beta        1.000000e+00      
1        200.0        0.0        cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 222.800016         1.292234       0.955170   45.046279      0.509146   0.892583   kww_shared_beta        1.000000e+00      
1        200.0        0.0        cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             321.388056         1.864041       0.863503   78.007701      0.542557   0.934899   kww_shared_beta        1.000000e+00      
1        200.0        0.0        cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             471.869793         2.736831       0.764432   129.949254     0.550565   0.978916   kww_shared_beta        1.000000e+00      
1        200.0        0.0        cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 599.557422         3.477415       0.757733   177.538014     0.579823   0.991449   kww_shared_beta        1.000000e+00      
2        400.0        200.0      cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    224.741867         1.000000       1.338019   35.041992      0.512867   0.904347   kww_shared_beta        1.000000e+00      
2        400.0        200.0      cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 277.360241         1.234128       1.282548   44.064560      0.509146   0.956299   kww_shared_beta        1.000000e+00      
2        400.0        200.0      cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             348.514997         1.550735       1.273441   62.331249      0.542557   0.953311   kww_shared_beta        1.000000e+00      
2        400.0        200.0      cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             513.655054         2.285533       1.159720   100.827143     0.550565   0.989621   kww_shared_beta        1.000000e+00      
2        400.0        200.0      cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 649.818994         2.891402       1.126600   141.346966     0.579823   0.987057   kww_shared_beta        1.000000e+00      
3        600.0        400.0      cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    208.442661         1.000000       0.951019   42.796032      0.512867   0.927765   kww_shared_beta        1.000000e+00      
3        600.0        400.0      cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 219.245266         1.051825       1.014784   42.081619      0.509146   0.982341   kww_shared_beta        1.000000e+00      
3        600.0        400.0      cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             255.735346         1.226886       0.966307   56.517911      0.542557   0.946417   kww_shared_beta        1.000000e+00      
3        600.0        400.0      cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             393.821339         1.889351       0.911407   93.290787      0.550565   0.986007   kww_shared_beta        1.000000e+00      
3        600.0        400.0      cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 485.121561         2.327362       0.870473   128.141763     0.579823   0.986066   kww_shared_beta        1.000000e+00      
4        800.0        600.0      cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    227.796575         1.000000       1.359860   35.089905      0.512867   0.909090   kww_shared_beta        1.000000e+00      
4        800.0        600.0      cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 230.966971         1.013918       1.395709   34.418010      0.509146   0.937080   kww_shared_beta        1.000000e+00      
4        800.0        600.0      cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             285.957400         1.255319       1.294364   50.544631      0.542557   0.953389   kww_shared_beta        1.000000e+00      
4        800.0        600.0      cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             385.632531         1.692881       1.208898   73.421660      0.550565   0.973697   kww_shared_beta        1.000000e+00      
4        800.0        600.0      cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 444.850090         1.952839       1.141525   95.862371      0.579823   0.965333   kww_shared_beta        1.000000e+00      
5        1000.0       800.0      cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    187.975702         1.000000       0.979119   37.639246      0.512867   0.951914   kww_shared_beta        1.000000e+00      
5        1000.0       800.0      cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 198.153337         1.054143       0.987770   38.918282      0.509146   0.947802   kww_shared_beta        1.000000e+00      
5        1000.0       800.0      cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             227.286184         1.209125       0.937867   51.473105      0.542557   0.964585   kww_shared_beta        1.000000e+00      
5        1000.0       800.0      cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             273.398198         1.454434       0.938642   63.225726      0.550565   0.973899   kww_shared_beta        1.000000e+00      
5        1000.0       800.0      cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 319.163134         1.697896       0.888547   82.941683      0.579823   0.983687   kww_shared_beta        1.000000e+00      
6        1200.0       1000.0     cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    203.930618         1.000000       0.982589   40.710816      0.512867   0.987338   kww_shared_beta        1.000000e+00      
6        1200.0       1000.0     cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 198.306013         0.972419       0.998170   38.600780      0.509146   0.952119   kww_shared_beta        1.000000e+00      
6        1200.0       1000.0     cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             209.092391         1.025311       0.965595   46.237469      0.542557   0.966062   kww_shared_beta        1.000000e+00      
6        1200.0       1000.0     cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             256.081835         1.255730       0.925447   59.907370      0.550565   0.970760   kww_shared_beta        1.000000e+00      
6        1200.0       1000.0     cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 245.518924         1.203934       0.926075   61.772217      0.579823   0.958898   kww_shared_beta        1.000000e+00      
7        1400.0       1200.0     cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    205.774435         1.000000       0.995666   40.619388      0.512867   0.984636   kww_shared_beta        1.000000e+00      
7        1400.0       1200.0     cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 176.196819         0.856262       0.990347   34.528711      0.509146   0.987320   kww_shared_beta        1.000000e+00      
7        1400.0       1200.0     cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             198.192570         0.963154       0.961459   43.980453      0.542557   0.978614   kww_shared_beta        1.000000e+00      
7        1400.0       1200.0     cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             242.952364         1.180673       0.917545   57.235886      0.550565   0.985164   kww_shared_beta        1.000000e+00      
7        1400.0       1200.0     cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 234.400589         1.139114       0.899800   60.313689      0.579823   0.979894   kww_shared_beta        1.000000e+00      
8        1600.0       1400.0     cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    177.942272         1.000000       1.017113   34.498864      0.512867   0.980248   kww_shared_beta        1.000000e+00      
8        1600.0       1400.0     cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 220.657885         1.240053       0.916048   46.282695      0.509146   0.977034   kww_shared_beta        1.000000e+00      
8        1600.0       1400.0     cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             207.612598         1.166741       0.941275   46.877575      0.542557   0.987632   kww_shared_beta        1.000000e+00      
8        1600.0       1400.0     cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             163.306307         0.917749       0.996486   36.000772      0.550565   0.986017   kww_shared_beta        1.000000e+00      
8        1600.0       1400.0     cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 225.263678         1.265937       0.892194   58.350968      0.579823   0.966215   kww_shared_beta        1.000000e+00      
9        1800.0       1600.0     cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    199.452555         1.000000       0.957527   40.709536      0.512867   0.982495   kww_shared_beta        1.000000e+00      
9        1800.0       1600.0     cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 163.998794         0.822245       1.026628   31.170377      0.509146   0.986085   kww_shared_beta        1.000000e+00      
9        1800.0       1600.0     cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             184.173066         0.923393       1.022975   38.882970      0.542557   0.973676   kww_shared_beta        1.000000e+00      
9        1800.0       1600.0     cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             182.592455         0.915468       0.985380   40.611267      0.550565   0.989993   kww_shared_beta        1.000000e+00      
9        1800.0       1600.0     cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 230.128329         1.153800       0.880686   60.225911      0.579823   0.979687   kww_shared_beta        1.000000e+00      
