# Relaxation Time vs Coupling Strength Data
# Generated from F(k,t) analysis: F=0.1 crossing of shared-beta KWW fit
# tilde_tau_s = relaxation_time_ps / tau(lambda=0, same ref); per-reference zero-coupling baseline
# t_w_ps = ref_time_ps - 200 (waiting time referenced to cavity turn-on)
# Columns: ref_num, ref_time_ps, t_w_ps, coupling_name, coupling_value, coupling_label, relaxation_time_ps, tilde_tau_s, A, tau_K, beta, r_squared, method, normalization_value
#
ref_num  ref_time_ps  t_w_ps     coupling_name                            coupling_value  coupling_label       relaxation_time_ps tilde_tau_s    A          tau_K          beta       r_squared  method                 normalization_value
0        0.0          -200.0     cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    217.813721         1.000000       0.850955   69.276256      0.664632   0.987967   kww_shared_beta        9.295650e+02      
0        0.0          -200.0     cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 277.969701         1.276181       0.775286   98.893264      0.693676   0.999215   kww_shared_beta        9.290025e+02      
0        0.0          -200.0     cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             233.960191         1.074130       0.917899   59.151767      0.578976   0.990408   kww_shared_beta        9.292659e+02      
0        0.0          -200.0     cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             250.473761         1.149945       0.843004   75.664677      0.632365   0.997062   kww_shared_beta        9.293852e+02      
0        0.0          -200.0     cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 241.691077         1.109623       0.811609   80.154590      0.669567   0.993964   kww_shared_beta        9.292691e+02      
1        200.0        0.0        cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    187.339836         1.000000       0.780428   63.398685      0.664632   0.998937   kww_shared_beta        9.295650e+02      
1        200.0        0.0        cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 214.245166         1.143618       0.760212   77.287865      0.693676   0.997689   kww_shared_beta        9.290025e+02      
1        200.0        0.0        cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             292.425360         1.560935       0.822430   80.714691      0.578976   0.963057   kww_shared_beta        9.292659e+02      
1        200.0        0.0        cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             418.765206         2.235324       0.694463   147.085596     0.632365   0.990649   kww_shared_beta        9.293852e+02      
1        200.0        0.0        cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 645.637540         3.446344       0.657299   250.905518     0.669567   0.995165   kww_shared_beta        9.292691e+02      
2        400.0        200.0      cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    189.685593         1.000000       0.778011   64.338639      0.664632   0.997928   kww_shared_beta        9.295650e+02      
2        400.0        200.0      cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 208.077802         1.096962       0.745687   76.104232      0.693676   0.998540   kww_shared_beta        9.290025e+02      
2        400.0        200.0      cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             268.524612         1.415630       0.845363   72.476004      0.578976   0.976578   kww_shared_beta        9.292659e+02      
2        400.0        200.0      cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             394.211449         2.078236       0.800066   123.854464     0.632365   0.992306   kww_shared_beta        9.293852e+02      
2        400.0        200.0      cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 587.525784         3.097366       0.769442   202.505197     0.669567   0.997927   kww_shared_beta        9.292691e+02      
3        600.0        400.0      cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    190.195101         1.000000       0.781720   64.287107      0.664632   0.997829   kww_shared_beta        9.295650e+02      
3        600.0        400.0      cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 210.606843         1.107320       0.718896   79.097494      0.693676   0.992892   kww_shared_beta        9.290025e+02      
3        600.0        400.0      cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             258.731202         1.360346       0.830138   70.871677      0.578976   0.966329   kww_shared_beta        9.292659e+02      
3        600.0        400.0      cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             334.899081         1.760819       0.765864   108.812557     0.632365   0.990634   kww_shared_beta        9.293852e+02      
3        600.0        400.0      cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 472.962034         2.486720       0.766199   163.523337     0.669567   0.996527   kww_shared_beta        9.292691e+02      
4        800.0        600.0      cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    186.641270         1.000000       0.780480   63.159196      0.664632   0.998939   kww_shared_beta        9.295650e+02      
4        800.0        600.0      cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 199.708722         1.070014       0.760469   72.026662      0.693676   0.998496   kww_shared_beta        9.290025e+02      
4        800.0        600.0      cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             255.678647         1.369893       0.812128   71.307123      0.578976   0.964201   kww_shared_beta        9.292659e+02      
4        800.0        600.0      cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             297.550358         1.594237       0.800925   93.409032      0.632365   0.985998   kww_shared_beta        9.293852e+02      
4        800.0        600.0      cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 371.726052         1.991661       0.741243   131.707637     0.669567   0.997317   kww_shared_beta        9.292691e+02      
5        1000.0       800.0      cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    188.527478         1.000000       0.774768   64.142198      0.664632   0.999502   kww_shared_beta        9.295650e+02      
5        1000.0       800.0      cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 179.481579         0.952018       0.748392   65.475019      0.693676   0.999204   kww_shared_beta        9.290025e+02      
5        1000.0       800.0      cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             232.910627         1.235420       0.800969   65.705124      0.578976   0.978901   kww_shared_beta        9.292659e+02      
5        1000.0       800.0      cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             254.115256         1.347895       0.771947   82.060166      0.632365   0.983572   kww_shared_beta        9.293852e+02      
5        1000.0       800.0      cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 316.083083         1.676589       0.758237   110.126187     0.669567   0.993944   kww_shared_beta        9.292691e+02      
6        1200.0       1000.0     cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    180.447937         1.000000       0.788657   60.600309      0.664632   0.998293   kww_shared_beta        9.295650e+02      
6        1200.0       1000.0     cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 183.844988         1.018826       0.751642   66.859207      0.693676   0.999020   kww_shared_beta        9.290025e+02      
6        1200.0       1000.0     cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             218.237577         1.209421       0.873263   57.387221      0.578976   0.985506   kww_shared_beta        9.292659e+02      
6        1200.0       1000.0     cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             234.300794         1.298440       0.813899   72.663793      0.632365   0.982015   kww_shared_beta        9.293852e+02      
6        1200.0       1000.0     cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 279.921468         1.551259       0.774416   96.028593      0.669567   0.992837   kww_shared_beta        9.292691e+02      
7        1400.0       1200.0     cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    189.010352         1.000000       0.780060   63.986114      0.664632   0.998920   kww_shared_beta        9.295650e+02      
7        1400.0       1200.0     cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 182.383967         0.964942       0.739336   67.118286      0.693676   0.987231   kww_shared_beta        9.290025e+02      
7        1400.0       1200.0     cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             201.862868         1.067999       0.853712   54.053158      0.578976   0.989021   kww_shared_beta        9.292659e+02      
7        1400.0       1200.0     cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             222.650678         1.177981       0.808956   69.369210      0.632365   0.991109   kww_shared_beta        9.293852e+02      
7        1400.0       1200.0     cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 233.385637         1.234777       0.747441   82.180940      0.669567   0.996792   kww_shared_beta        9.292691e+02      
8        1600.0       1400.0     cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    185.720339         1.000000       0.759175   64.143078      0.664632   0.987169   kww_shared_beta        9.295650e+02      
8        1600.0       1400.0     cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 172.926600         0.931113       0.743785   63.363801      0.693676   0.996056   kww_shared_beta        9.290025e+02      
8        1600.0       1400.0     cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             205.327754         1.105575       0.857345   54.793396      0.578976   0.975005   kww_shared_beta        9.292659e+02      
8        1600.0       1400.0     cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             198.268766         1.067566       0.812229   61.584546      0.632365   0.987396   kww_shared_beta        9.293852e+02      
8        1600.0       1400.0     cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 218.049330         1.174074       0.760396   75.811392      0.669567   0.998417   kww_shared_beta        9.292691e+02      
9        1800.0       1600.0     cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    181.926095         1.000000       0.784878   61.311156      0.664632   0.998337   kww_shared_beta        9.295650e+02      
9        1800.0       1600.0     cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 169.631881         0.932422       0.759193   61.252275      0.693676   0.999001   kww_shared_beta        9.290025e+02      
9        1800.0       1600.0     cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             193.965104         1.066175       0.809148   54.260003      0.578976   0.981960   kww_shared_beta        9.292659e+02      
9        1800.0       1600.0     cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             182.690611         1.004202       0.806932   57.027268      0.632365   0.990114   kww_shared_beta        9.293852e+02      
9        1800.0       1600.0     cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 195.721725         1.075831       0.763574   67.840115      0.669567   0.998654   kww_shared_beta        9.292691e+02      
10       2000.0       1800.0     cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    179.203417         1.000000       0.777126   60.834019      0.664632   0.997932   kww_shared_beta        9.295650e+02      
10       2000.0       1800.0     cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 178.600360         0.996635       0.754046   64.803923      0.693676   0.997673   kww_shared_beta        9.290025e+02      
10       2000.0       1800.0     cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             193.858593         1.081780       0.848793   52.152330      0.578976   0.994773   kww_shared_beta        9.292659e+02      
10       2000.0       1800.0     cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             181.354937         1.012006       0.804835   56.722071      0.632365   0.996783   kww_shared_beta        9.293852e+02      
10       2000.0       1800.0     cavity_coupling_3eneg02_switch_200.0ps   3.000000e-02    0.03                 192.965513         1.076796       0.781329   65.770929      0.669567   0.997918   kww_shared_beta        9.292691e+02      
11       2200.0       2000.0     cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    182.679722         1.000000       0.787232   61.430735      0.664632   0.998799   kww_shared_beta        9.295650e+02      
11       2200.0       2000.0     cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 172.333955         0.943367       0.764720   61.908343      0.693676   0.999126   kww_shared_beta        9.290025e+02      
11       2200.0       2000.0     cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             177.610774         0.972252       0.844728   47.967125      0.578976   0.996725   kww_shared_beta        9.292659e+02      
