# Material time functions for all couplings (staging adapter output)
# Criterion: F(k,t) = 0.1, corrected least-squares reconstruction
# Each column pair is (time_ps, xi) for one coupling.
#
t_0_ps xi_0 t_0p01_ps xi_0p01 t_0p016667_ps xi_0p016667 t_0p023333_ps xi_0p023333 t_0p03_ps xi_0p03
0.000000e+00 -2.952236e-16 0.000000e+00 -6.729176e-16 0.000000e+00 -2.935514e-16 0.000000e+00 -4.347094e-16 0.000000e+00 -4.010055e-16
1.185588e+00 1.020995e-02 1.185961e+00 -1.590980e-03 1.184504e+00 4.795251e-03 1.186204e+00 2.503398e-03 1.186406e+00 1.355520e-03
2.371175e+00 2.041990e-02 2.371922e+00 -3.181961e-03 2.369007e+00 9.590501e-03 2.372408e+00 5.006795e-03 2.372812e+00 2.711039e-03
3.556763e+00 3.062984e-02 3.557882e+00 -4.772941e-03 3.553511e+00 1.438575e-02 3.558613e+00 7.510193e-03 3.559218e+00 4.066559e-03
4.742350e+00 4.083979e-02 4.743843e+00 -6.363921e-03 4.738015e+00 1.918100e-02 4.744817e+00 1.001359e-02 4.745624e+00 5.422079e-03
5.927938e+00 5.104974e-02 5.929804e+00 -7.954902e-03 5.922519e+00 2.397625e-02 5.931021e+00 1.251699e-02 5.932030e+00 6.777599e-03
7.113525e+00 6.125969e-02 7.115765e+00 -9.545882e-03 7.107022e+00 2.877150e-02 7.117225e+00 1.502039e-02 7.118436e+00 8.133118e-03
8.299113e+00 7.146964e-02 8.301725e+00 -1.113686e-02 8.291526e+00 3.356675e-02 8.303430e+00 1.752378e-02 8.304842e+00 9.488638e-03
9.484701e+00 8.167958e-02 9.487686e+00 -1.272784e-02 9.476030e+00 3.836200e-02 9.489634e+00 2.002718e-02 9.491248e+00 1.084416e-02
1.067029e+01 9.188953e-02 1.067365e+01 -1.431882e-02 1.066053e+01 4.315725e-02 1.067584e+01 2.253058e-02 1.067765e+01 1.219968e-02
1.185588e+01 1.020995e-01 1.185961e+01 -1.590980e-02 1.184504e+01 4.795251e-02 1.186204e+01 2.503398e-02 1.186406e+01 1.355520e-02
1.304146e+01 1.123094e-01 1.304557e+01 -1.750078e-02 1.302954e+01 5.274776e-02 1.304825e+01 2.753738e-02 1.305047e+01 1.491072e-02
1.422705e+01 1.225194e-01 1.423153e+01 -1.909176e-02 1.421404e+01 5.754301e-02 1.423445e+01 3.004077e-02 1.423687e+01 1.626624e-02
1.541264e+01 1.327293e-01 1.541749e+01 -2.068274e-02 1.539855e+01 6.233826e-02 1.542066e+01 3.254417e-02 1.542328e+01 1.762176e-02
