# Relaxation Time vs Reference Time Data
# Generated by build_aging_repro_layout.py (F/F0 = 0.1 criterion)
# Columns: coupling_name, coupling_value, coupling_label, ref_num, ref_time_ps, relaxation_time_ps, normalization_value
#
coupling_name                            coupling_value  coupling_label       ref_num  ref_time_ps  relaxation_time_ps normalization_value
cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    0        0.0          200.786199         9.295650e+02      
cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    1        200.0        176.813870         9.295650e+02      
cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    2        400.0        179.489348         9.295650e+02      
cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    3        600.0        181.966501         9.295650e+02      
cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    4        800.0        181.353551         9.295650e+02      
cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    6        1200.0       168.229048         9.295650e+02      
cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    7        1400.0       182.302660         9.295650e+02      
cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    8        1600.0       173.732754         9.295650e+02      
cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    10       2000.0       167.741654         9.295650e+02      
cavity_coupling_0epos00_switch_200.0ps   0.000000e+00    0                    11       2200.0       175.871691         9.295650e+02      
cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 1        200.0        199.405318         9.290025e+02      
cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 3        600.0        203.245585         9.290025e+02      
cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 4        800.0        190.829571         9.290025e+02      
cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 5        1000.0       185.940072         9.290025e+02      
cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 7        1400.0       170.904349         9.290025e+02      
cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 8        1600.0       163.844587         9.290025e+02      
cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 9        1800.0       166.583236         9.290025e+02      
cavity_coupling_1eneg02_switch_200.0ps   1.000000e-02    0.01                 11       2200.0       169.117001         9.290025e+02      
cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             0        0.0          212.958994         9.292659e+02      
cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             1        200.0        282.747281         9.292659e+02      
cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             2        400.0        239.595396         9.292659e+02      
cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             3        600.0        230.804981         9.292659e+02      
cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             4        800.0        240.871352         9.292659e+02      
cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             5        1000.0       218.490765         9.292659e+02      
cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             6        1200.0       191.804443         9.292659e+02      
cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             7        1400.0       183.941047         9.292659e+02      
cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             8        1600.0       178.024267         9.292659e+02      
cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             9        1800.0       172.813704         9.292659e+02      
cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             10       2000.0       173.352248         9.292659e+02      
cavity_coupling_2eneg02_switch_200.0ps   1.666700e-02    0.016667             11       2200.0       164.208947         9.292659e+02      
cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             0        0.0          222.802246         9.293852e+02      
cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             1        200.0        408.030895         9.293852e+02      
cavity_coupling_2eneg02_l2333_switch_200.0ps 2.333300e-02    0.023333             2        400.0        356.129006         9.293852e+02      
