# F(k,t) correlation function
# Reference time: 0.000 ps
# lag_time_ps	F(k,t)
0.000000	926.38030973
1.000004	638.04572956
2.000008	684.18246956
3.000026	653.65183826
4.000035	503.67223299
5.000041	554.88894793
6.000060	556.47288219
7.000061	522.77832789
8.000061	571.92883644
9.000096	484.59983362
10.000113	484.54821908
11.000119	562.39268336
12.000122	496.29216014
13.000128	493.35485758
14.000130	453.61659869
15.000138	478.81338714
16.000149	525.86551540
17.000151	425.42440846
18.000154	548.48935159
19.000157	469.06983204
20.000174	450.19524567
21.000188	470.63754534
22.000197	553.12355396
23.000218	422.94056485
24.000227	406.69893296
25.000238	473.80768886
26.000303	436.03229065
27.000304	453.41065054
28.000307	463.71164735
29.000325	360.29704119
30.000330	579.50610392
31.000334	498.06736095
32.000355	357.41432405
33.000369	405.80876543
34.000393	399.55637890
35.000397	372.91083353
36.000404	425.62198832
37.000410	342.71585076
38.000413	385.33261688
39.000414	287.61740490
40.000436	331.25722473
41.000436	256.56913113
42.000474	316.65714492
43.000498	252.70806517
44.000506	333.38199929
45.000508	270.23017477
46.000511	352.35850166
47.000527	289.09587377
48.000559	276.50987017
49.000596	205.04201252
50.000600	202.10808942
51.000611	248.94969519
52.000644	272.38565289
53.000659	278.25533943
54.000691	293.88521907
55.000708	214.15347775
56.000729	294.93683983
57.000745	305.55518794
58.000755	247.03795065
59.000772	268.58871765
60.000790	359.30347697
61.000803	282.88836257
62.000835	197.84205747
63.000853	288.34455682
64.000864	95.97447808
65.000869	168.28756121
66.000875	220.16828584
67.000898	319.21166864
68.000946	290.18926580
69.000969	279.82005457
70.000975	287.90622492
71.000990	267.08813205
72.001002	253.62092974
73.001038	166.40894136
74.001046	383.41898374
75.001057	258.64747643
76.001065	311.14465445
77.001077	363.07593820
78.001093	400.58532788
79.001096	363.44884465
80.001115	369.76117699
81.001125	441.91917931
82.001133	381.43049733
83.001143	326.63640892
84.001157	405.97267137
85.001174	436.24545369
86.001183	341.91849434
87.001201	364.51800651
88.001223	397.16266550
89.001234	329.56962856
90.001250	264.33400162
91.001373	329.92144515
92.001374	317.69024759
93.001396	304.68757273
94.001414	321.01498598
95.001419	144.23444101
96.001447	236.59505107
97.001458	255.28610354
98.001477	213.15263300
99.001491	336.62177709
100.001513	299.27253938
101.001530	347.47535822
102.001552	396.27906527
103.001586	343.37517202
104.001594	223.51240665
105.001607	247.80905387
106.001622	283.15263677
107.001639	243.17938315
108.001646	332.23320787
109.001654	364.81247445
110.001666	377.71789716
111.001681	379.78673261
112.001696	422.21162559
113.001698	427.83775678
114.001709	267.67908326
115.001721	348.62276709
116.001732	423.13904658
117.001733	237.20558253
118.001765	333.96531630
119.001785	433.58540370
120.001797	304.58310234
121.001848	298.45078654
122.001856	349.46214884
123.001861	358.39307812
124.001884	339.84047031
125.001894	393.53688225
126.001903	303.13762898
127.001950	295.55249738
128.001954	151.04178909
129.001965	247.88047742
130.001972	269.44748608
131.001981	263.32360639
132.001987	261.12253303
133.001993	341.48468664
134.001998	281.56504279
135.002010	333.91214409
136.002022	259.86234068
137.002029	260.25651704
138.002041	300.28339310
139.002055	276.40860479
140.002055	279.02919294
141.002085	239.69119105
142.002092	362.66635389
143.002098	332.09277892
144.002111	312.82337568
145.002127	265.95236783
146.002155	299.74490681
147.002157	342.27200624
148.002166	250.50733967
149.002220	417.94370276
150.002226	266.22902566
151.002234	259.33949758
152.002272	270.99864079
153.002276	251.71338247
154.002290	245.42832257
155.002297	248.68368450
156.002304	298.40260646
157.002330	286.87572766
158.002338	202.38214769
159.002348	232.07328074
160.002355	274.10339658
161.002359	243.48867711
162.002369	281.42912294
163.002374	253.45067205
164.002386	188.42541349
165.002412	203.59178480
166.002452	133.86188842
167.002479	170.37885441
168.002540	166.06935162
169.002547	115.95945706
170.002576	190.21363576
171.002582	200.33093975
172.002644	210.09298918
173.002648	124.25064580
174.002674	234.81562324
175.002739	280.56688264
176.002785	237.23312991
177.002798	196.81927801
178.002851	223.94757522
179.002872	304.66844637
180.002887	267.95951315
181.002888	221.43371371
182.002897	331.37777576
183.002910	307.63533118
184.002920	286.41460819
185.002921	241.49739811
186.002955	262.99665794
187.002994	253.24438085
188.003007	274.66763484
189.003022	328.63642166
190.003026	287.82997110
