# F(k,t) correlation function
# Reference time: 0.000 ps
# lag_time_ps	F(k,t)
0.000000	926.50360079
1.000082	780.74995931
2.000095	716.11828992
3.000123	666.53543208
4.000144	653.31067516
5.000149	658.02444833
6.000154	666.89766364
7.000162	660.00853107
8.000169	647.52249850
9.000179	630.72135384
10.000210	555.37020865
11.000215	462.74143061
12.000218	617.84247080
13.000225	636.63878712
14.000226	575.61715979
15.000235	682.20311320
16.000241	595.01505596
17.000258	537.62689394
18.000280	636.50775695
19.000283	626.77668669
20.000285	513.69683207
21.000292	528.18430280
22.000298	554.30553719
23.000309	535.02263214
24.000315	639.14747038
25.000320	509.02930321
26.000326	460.26385347
27.000379	483.42375100
28.000384	490.04079469
29.000424	605.65841949
30.000443	511.00659034
31.000451	451.66148081
32.000490	402.76502984
33.000516	420.28520540
34.000523	420.27851381
35.000530	286.99086541
36.000555	447.77307355
37.000578	319.61284988
38.000584	393.80389603
39.000621	428.40076046
40.000626	408.32523809
41.000659	500.78770120
42.000667	430.70631813
43.000680	432.47440019
44.000683	395.05992202
45.000696	357.71432329
46.000725	477.83824077
47.000750	479.67815464
48.000752	465.88889893
49.000780	439.70549224
50.000783	443.06589092
51.000793	501.86260101
52.000797	370.86327729
53.000814	440.91406290
54.000820	353.60147797
55.000831	459.83189411
56.000852	464.47858146
57.000860	432.94675866
58.000920	439.45200034
59.000928	334.83614108
60.000953	281.72233203
61.000972	429.68146251
62.000995	386.82270987
63.000998	424.36482309
64.001004	389.98671638
65.001060	465.54795371
66.001062	396.80447175
67.001073	418.72031571
68.001082	432.93203931
69.001107	362.89500043
70.001132	445.53654362
71.001158	516.68170490
72.001163	424.22378506
73.001180	417.01199943
74.001183	332.82058695
75.001185	309.11050071
76.001205	411.52236250
77.001225	419.86603913
78.001234	423.82805897
79.001247	462.04387861
80.001260	374.09966785
81.001280	518.20551677
82.001281	528.17158191
83.001297	465.88320549
84.001325	545.01011682
85.001330	510.57833400
86.001346	565.95838050
87.001384	548.09495408
88.001390	486.71328278
89.001406	494.96553584
90.001412	500.33135848
91.001418	556.05475395
92.001486	475.02870244
93.001499	583.88918611
94.001501	515.03064821
95.001575	512.65585235
96.001589	577.27578970
97.001598	583.29980699
98.001610	530.18874372
99.001627	532.84217584
100.001629	444.44580607
101.001680	467.81133326
102.001689	435.83151740
103.001690	446.83858467
104.001695	497.74904230
105.001741	449.63332412
106.001747	503.97804055
107.001751	545.30461312
108.001760	514.61015654
109.001771	484.48150423
110.001792	490.01223235
111.001824	560.19299389
112.001840	540.17585956
113.001856	393.73259515
114.001875	516.72926368
115.001888	543.59882810
116.001906	465.67953304
117.001914	513.92483050
118.001956	555.10308531
119.001964	490.04978597
120.001967	419.30104283
121.001981	456.25314541
122.001989	460.70609609
123.001992	417.24290578
124.001995	411.41607010
125.001998	380.76686785
126.002007	445.65220888
127.002015	375.58247433
128.002031	403.68531324
129.002053	444.44482593
130.002055	515.44102911
131.002059	441.21083815
132.002072	437.16005085
133.002081	426.64001554
134.002098	451.10174907
135.002104	466.82732081
136.002128	444.54873011
137.002161	441.73859835
138.002205	401.16109264
139.002221	411.35507410
140.002223	343.58655102
141.002236	436.17889863
142.002243	393.48195403
143.002248	329.88019462
144.002270	447.83968666
145.002272	477.97272096
146.002283	463.79141598
147.002292	372.94760467
148.002342	463.51873936
149.002372	480.25429702
150.002381	549.36038840
151.002381	502.32354459
152.002396	459.49502410
153.002412	456.51722204
154.002431	415.01938859
155.002444	418.86994131
156.002452	401.41505422
157.002469	414.84574814
158.002472	497.93003964
159.002496	458.62070612
160.002506	442.23758698
161.002508	387.31149954
162.002537	422.43425287
163.002546	353.71047085
164.002571	391.93433147
165.002579	401.19160558
166.002580	426.48950600
167.002593	432.53104019
168.002613	405.62574885
169.002643	480.21548633
170.002669	459.51116548
171.002687	406.28573326
172.002691	434.78537551
173.002696	477.34799057
174.002721	512.17445356
175.002781	457.47241441
176.002802	346.04103737
177.002823	367.08561754
178.002847	306.38203837
179.002852	289.16012123
180.002952	362.62409554
181.002989	256.43146288
182.002989	356.17933186
183.003003	326.28950633
184.003006	409.00022815
185.003018	343.23623497
186.003066	329.47707689
187.003072	215.89100792
188.003089	270.62651522
189.003122	379.81793173
190.003127	276.98414513
191.003138	328.27294130
192.003156	266.13511557
193.003202	274.57168664
194.003214	283.71220934
195.003286	278.15725761
196.003317	273.67975144
197.003319	285.40909750
