# frequency_cm-1 spectrum_au
0.000000000000000000e+00 0.000000000000000000e+00
8.339079393113203731e-02 1.457604343458776562e+13
1.667815878622640746e-01 5.795247181657657031e+13
2.501723817933960703e-01 1.290950480387987188e+14
3.335631757245281492e-01 2.263473273007581250e+14
4.169539696556601727e-01 3.475240008932473750e+14
5.003447635867921406e-01 4.900277311495111250e+14
5.837355575179242750e-01 6.509783799235540000e+14
6.671263514490562985e-01 8.273435621374760000e+14
7.505171453801883219e-01 1.016060859144981125e+15
8.339079393113203453e-01 1.214144364245665250e+15
9.172987332424523688e-01 1.418770979564177000e+15
1.000689527173584281e+00 1.627344568847178000e+15
1.084080321104716305e+00 1.837538341827704000e+15
1.167471115035848550e+00 2.047317518258029500e+15
1.250861908966980574e+00 2.254945351334403000e+15
1.334252702898112597e+00 2.458976040200664000e+15
1.417643496829244398e+00 2.658238064116898500e+15
1.501034290760376644e+00 2.851811157948180000e+15
1.584425084691508667e+00 3.038999663818632500e+15
1.667815878622640691e+00 3.219304440235524500e+15
1.751206672553772492e+00 3.392394961781500500e+15
1.834597466484904738e+00 3.558082754049770500e+15
1.917988260416036761e+00 3.716296894699393000e+15
2.001379054347168562e+00 3.867061986895836500e+15
2.084769848278300586e+00 4.010478765720297500e+15
2.168160642209432609e+00 4.146707323818222500e+15
2.251551436140565077e+00 4.275952829538511500e+15
2.334942230071697100e+00 4.398453534354577000e+15
2.418333024002828679e+00 4.514470839093096000e+15
2.501723817933961147e+00 4.624281166909847000e+15
2.585114611865093170e+00 4.728169401502258000e+15
2.668505405796225194e+00 4.826423660317593000e+15
2.751896199727356773e+00 4.919331193237178000e+15
2.835286993658488797e+00 5.007175219587535000e+15
2.918677787589621264e+00 5.090232540793810000e+15
3.002068581520753288e+00 5.168771786394015000e+15
3.085459375451884867e+00 5.243052175116474000e+15
3.168850169383017334e+00 5.313322687278524000e+15
3.252240963314149358e+00 5.379821566411545000e+15
3.335631757245281381e+00 5.442776078252214000e+15
3.419022551176412961e+00 5.502402470167950000e+15
3.502413345107544984e+00 5.558906083704121000e+15
3.585804139038677452e+00 5.612481582004446000e+15
3.669194932969809475e+00 5.663313261576302000e+15
3.752585726900941498e+00 5.711575423235699000e+15
3.835976520832073522e+00 5.757432783157775000e+15
3.919367314763205545e+00 5.801040908381065000e+15
4.002758108694337125e+00 5.842546664482672000e+15
4.086148902625469148e+00 5.882088667034184000e+15
4.169539696556601172e+00 5.919797728391517000e+15
4.252930490487734083e+00 5.955797296396961000e+15
4.336321284418865218e+00 5.990203878911722000e+15
4.419712078349997242e+00 6.023127453934186000e+15
4.503102872281130153e+00 6.054671861259077000e+15
4.586493666212261289e+00 6.084935176267662000e+15
4.669884460143394200e+00 6.114010064232361000e+15
4.753275254074526224e+00 6.141984115462413000e+15
4.836666048005657359e+00 6.168940161419924000e+15
4.920056841936790271e+00 6.194956572064176000e+15
5.003447635867922294e+00 6.220107535067619000e+15
5.086838429799053429e+00 6.244463317643884000e+15
5.170229223730186341e+00 6.268090511766164000e+15
5.253620017661317476e+00 6.291052263400588000e+15
5.337010811592450388e+00 6.313408486651435000e+15
5.420401605523582411e+00 6.335216064243592000e+15
5.503792399454713546e+00 6.356529033929086000e+15
5.587183193385846458e+00 6.377398762907430000e+15
5.670573987316977593e+00 6.397874110376193000e+15
5.753964781248109617e+00 6.418001578879086000e+15
5.837355575179242528e+00 6.437825455751315000e+15
5.920746369110373664e+00 6.457387944663259000e+15
6.004137163041506575e+00 6.476729288452907000e+15
6.087527956972638599e+00 6.495887883349475000e+15
6.170918750903769734e+00 6.514900385763967000e+15
6.254309544834902646e+00 6.533801811497545000e+15
6.337700338766034669e+00 6.552625628560097000e+15
6.421091132697166692e+00 6.571403843279732000e+15
6.504481926628298716e+00 6.590167080891984000e+15
6.587872720559429851e+00 6.608944660569621000e+15
6.671263514490562763e+00 6.627764665251518000e+15
6.754654308421694786e+00 6.646654006865785000e+15
6.838045102352825921e+00 6.665638486967214000e+15
6.921435896283958833e+00 6.684742853299646000e+15
7.004826690215089968e+00 6.703990852542178000e+15
7.088217484146222880e+00 6.723405279271698000e+15
7.171608278077354903e+00 6.743008021567986000e+15
7.254999072008486038e+00 6.762820103525735000e+15
7.338389865939618950e+00 6.782861724625263000e+15
7.421780659870750974e+00 6.803152296325197000e+15
7.505171453801882997e+00 6.823710476006862000e+15
7.588562247733015020e+00 6.844554198431825000e+15
7.671953041664147044e+00 6.865700704720411000e+15
7.755343835595279067e+00 6.887166569248157000e+15
7.838734629526411091e+00 6.908967724257178000e+15
7.922125423457542226e+00 6.931119482543337000e+15
8.005516217388674249e+00 6.953636558206850000e+15
8.088907011319808049e+00 6.976533085508094000e+15
8.172297805250938296e+00 6.999822636089697000e+15
8.255688599182072096e+00 7.023518234446562000e+15
8.339079393113202343e+00 7.047632371815946000e+15
8.422470187044334367e+00 7.072177018434943000e+15
8.505860980975468166e+00 7.097163634656472000e+15
8.589251774906598413e+00 7.122603180066680000e+15
8.672642568837730437e+00 7.148506121900602000e+15
8.756033362768864237e+00 7.174882441555096000e+15
8.839424156699994484e+00 7.201741640148374000e+15
8.922814950631128283e+00 7.229092742814481000e+15
9.006205744562260307e+00 7.256944301652358000e+15
9.089596538493390554e+00 7.285304397582179000e+15
9.172987332424522577e+00 7.314180641090924000e+15
9.256378126355654601e+00 7.343580171842359000e+15
9.339768920286788401e+00 7.373509657274613000e+15
9.423159714217920424e+00 7.403975289951677000e+15
9.506550508149052447e+00 7.434982784188203000e+15
9.589941302080182695e+00 7.466537371393337000e+15
9.673332096011314718e+00 7.498643794738861000e+15
9.756722889942446741e+00 7.531306302561476000e+15
9.840113683873580541e+00 7.564528641149763000e+15
9.923504477804712565e+00 7.598314046476130000e+15
1.000689527173584459e+01 7.632665235149816000e+15
1.009028606566697484e+01 7.667584394527466000e+15
1.017367685959810686e+01 7.703073171876039000e+15
1.025706765352924066e+01 7.739132663180196000e+15
1.034045844746037268e+01 7.775763400724587000e+15
1.042384924139150471e+01 7.812965340349442000e+15
1.050724003532263495e+01 7.850737847896278000e+15
1.059063082925376698e+01 7.889079685048700000e+15
1.067402162318490078e+01 7.927988994716500000e+15
1.075741241711603280e+01 7.967463285721456000e+15
1.084080321104716482e+01 8.007499417249491000e+15
1.092419400497829507e+01 8.048093582662109000e+15
1.100758479890942709e+01 8.089241293132266000e+15
1.109097559284056089e+01 8.130937360895009000e+15
1.117436638677169292e+01 8.173175882333390000e+15
1.125775718070282494e+01 8.215950220886601000e+15
1.134114797463395519e+01 8.259252989932312000e+15
1.142453876856508721e+01 8.303076035601280000e+15
1.150792956249621923e+01 8.347410419753627000e+15
1.159132035642735303e+01 8.392246403151575000e+15
1.167471115035848506e+01 8.437573428915338000e+15
