# frequency_cm-1 spectrum_au
0.000000000000000000e+00 0.000000000000000000e+00
8.339079393113203731e-02 4.097705897046478125e+13
1.667815878622640746e-01 1.603778278746099062e+14
2.501723817933960703e-01 3.483510433446526250e+14
3.335631757245281492e-01 5.906684652814847500e+14
4.169539696556601727e-01 8.712007594154293750e+14
5.003447635867921406e-01 1.174204737991420500e+15
5.837355575179242750e-01 1.485947878250703750e+15
6.671263514490562985e-01 1.795536482164004500e+15
7.505171453801883219e-01 2.095070825929113750e+15
8.339079393113203453e-01 2.379361043372443000e+15
9.172987332424523688e-01 2.645431292344998500e+15
1.000689527173584281e+00 2.891977660295452500e+15
1.084080321104716305e+00 3.118875213556074000e+15
1.167471115035848550e+00 3.326775021760076500e+15
1.250861908966980574e+00 3.516797947788998500e+15
1.334252702898112597e+00 3.690314762860240500e+15
1.417643496829244398e+00 3.848795853379429500e+15
1.501034290760376644e+00 3.993713460906986000e+15
1.584425084691508667e+00 4.126481724757863500e+15
1.667815878622640691e+00 4.248422892351061500e+15
1.751206672553772492e+00 4.360751016804126000e+15
1.834597466484904738e+00 4.464566922901223000e+15
1.917988260416036761e+00 4.560860120129650000e+15
2.001379054347168562e+00 4.650514741788081000e+15
2.084769848278300586e+00 4.734317584843173000e+15
2.168160642209432609e+00 4.812967016673094000e+15
2.251551436140565077e+00 4.887081984046798000e+15
2.334942230071697100e+00 4.957210673768046000e+15
2.418333024002828679e+00 5.023838579328710000e+15
2.501723817933961147e+00 5.087395858257613000e+15
2.585114611865093170e+00 5.148263946943327000e+15
2.668505405796225194e+00 5.206781448669355000e+15
2.751896199727356773e+00 5.263249337297690000e+15
2.835286993658488797e+00 5.317935533589732000e+15
2.918677787589621264e+00 5.371078915349774000e+15
3.002068581520753288e+00 5.422892823749733000e+15
3.085459375451884867e+00 5.473568124501742000e+15
3.168850169383017334e+00 5.523275877817935000e+15
3.252240963314149358e+00 5.572169666545794000e+15
3.335631757245281381e+00 5.620387626702187000e+15
3.419022551176412961e+00 5.668054218497599000e+15
3.502413345107544984e+00 5.715281771698471000e+15
3.585804139038677452e+00 5.762171835922855000e+15
3.669194932969809475e+00 5.808816359985670000e+15
3.752585726900941498e+00 5.855298724315170000e+15
3.835976520832073522e+00 5.901694644097947000e+15
3.919367314763205545e+00 5.948072961023844000e+15
4.002758108694337125e+00 5.994496337379850000e+15
4.086148902625469148e+00 6.041021865047373000e+15
4.169539696556601172e+00 6.087701600337479000e+15
4.252930490487734083e+00 6.134583033778686000e+15
4.336321284418865218e+00 6.181709502542130000e+15
4.419712078349997242e+00 6.229120553575308000e+15
4.503102872281130153e+00 6.276852261862695000e+15
4.586493666212261289e+00 6.324937510568768000e+15
4.669884460143394200e+00 6.373406236445429000e+15
4.753275254074526224e+00 6.422285645305140000e+15
4.836666048005657359e+00 6.471600400390748000e+15
4.920056841936790271e+00 6.521372786927983000e+15
5.003447635867922294e+00 6.571622855584953000e+15
5.086838429799053429e+00 6.622368546763178000e+15
5.170229223730186341e+00 6.673625798303226000e+15
5.253620017661317476e+00 6.725408637717161000e+15
5.337010811592450388e+00 6.777729261112384000e+15
5.420401605523582411e+00 6.830598099818996000e+15
5.503792399454713546e+00 6.884023876082744000e+15
5.587183193385846458e+00 6.938013648980219000e+15
5.670573987316977593e+00 6.992572851416784000e+15
5.753964781248109617e+00 7.047705319101253000e+15
5.837355575179242528e+00 7.103413312523678000e+15
5.920746369110373664e+00 7.159697532181640000e+15
6.004137163041506575e+00 7.216557128306238000e+15
6.087527956972638599e+00 7.273989705181783000e+15
6.170918750903769734e+00 7.331991320995833000e+15
6.254309544834902646e+00 7.390556483484395000e+15
6.337700338766034669e+00 7.449678142027281000e+15
6.421091132697166692e+00 7.509347676665227000e+15
6.504481926628298716e+00 7.569554884357971000e+15
6.587872720559429851e+00 7.630287963072719000e+15
6.671263514490562763e+00 7.691533493990128000e+15
6.754654308421694786e+00 7.753276422539660000e+15
6.838045102352825921e+00 7.815500038124599000e+15
6.921435896283958833e+00 7.878185953577953000e+15
7.004826690215089968e+00 7.941314084195009000e+15
7.088217484146222880e+00 8.004862627429334000e+15
7.171608278077354903e+00 8.068808042744139000e+15
7.254999072008486038e+00 8.133125032948834000e+15
7.338389865939618950e+00 8.197786526829625000e+15
7.421780659870750974e+00 8.262763663836551000e+15
7.505171453801882997e+00 8.328025780997910000e+15
7.588562247733015020e+00 8.393540402785049000e+15
7.671953041664147044e+00 8.459273233991760000e+15
7.755343835595279067e+00 8.525188156522451000e+15
7.838734629526411091e+00 8.591247230079841000e+15
7.922125423457542226e+00 8.657410697519290000e+15
8.005516217388674249e+00 8.723636994983974000e+15
8.088907011319808049e+00 8.789882767843266000e+15
8.172297805250938296e+00 8.856102891828413000e+15
8.255688599182072096e+00 8.922250500956279000e+15
8.339079393113202343e+00 8.988277021754799000e+15
8.422470187044334367e+00 9.054132214525430000e+15
8.505860980975468166e+00 9.119764221858578000e+15
8.589251774906598413e+00 9.185119625001670000e+15
8.672642568837730437e+00 9.250143507791120000e+15
8.756033362768864237e+00 9.314779529084968000e+15
8.839424156699994484e+00 9.378970003418226000e+15
8.922814950631128283e+00 9.442655990183282000e+15
9.006205744562260307e+00 9.505777391297942000e+15
9.089596538493390554e+00 9.568273057998174000e+15
9.172987332424522577e+00 9.630080905805980000e+15
9.256378126355654601e+00 9.691138038368306000e+15
9.339768920286788401e+00 9.751380879762378000e+15
9.423159714217920424e+00 9.810745314912376000e+15
9.506550508149052447e+00 9.869166838063456000e+15
9.589941302080182695e+00 9.926580708839324000e+15
9.673332096011314718e+00 9.982922115355006000e+15
9.756722889942446741e+00 1.003812634414228800e+16
9.840113683873580541e+00 1.009212895589173200e+16
9.923504477804712565e+00 1.014486596671854600e+16
1.000689527173584459e+01 1.019627403382874600e+16
1.009028606566697484e+01 1.024629064522451200e+16
1.017367685959810686e+01 1.029485431199593600e+16
1.025706765352924066e+01 1.034190476275059400e+16
1.034045844746037268e+01 1.038738313878289600e+16
1.042384924139150471e+01 1.043123218923318400e+16
1.050724003532263495e+01 1.047339646489701800e+16
1.059063082925376698e+01 1.051382250959006800e+16
1.067402162318490078e+01 1.055245904811256200e+16
1.075741241711603280e+01 1.058925716923706600e+16
1.084080321104716482e+01 1.062417050314349000e+16
1.092419400497829507e+01 1.065715539145666200e+16
1.100758479890942709e+01 1.068817104921658600e+16
1.109097559284056089e+01 1.071717971768293400e+16
1.117436638677169292e+01 1.074414680656146000e+16
1.125775718070282494e+01 1.076904102507582200e+16
1.134114797463395519e+01 1.079183450064483000e+16
1.142453876856508721e+01 1.081250288458291400e+16
1.150792956249621923e+01 1.083102544372890200e+16
1.159132035642735303e+01 1.084738513789557000e+16
1.167471115035848506e+01 1.086156868186123600e+16
1.175810194428961708e+01 1.087356659213341400e+16
1.184149273822074733e+01 1.088337321787110800e+16
1.192488353215187935e+01 1.089098675573689600e+16
1.200827432608301315e+01 1.089640924880940400e+16
1.209166512001414517e+01 1.089964656921133200e+16
1.217505591394527720e+01 1.090070838530350200e+16
1.225844670787640744e+01 1.089960811304272400e+16
1.234183750180753947e+01 1.089636285237529400e+16
1.242522829573867327e+01 1.089099330904655200e+16
1.250861908966980529e+01 1.088352370243770000e+16
1.259200988360093731e+01 1.087398166027772400e+16
1.267540067753206934e+01 1.086239810088173600e+16
1.275879147146319958e+01 1.084880710391983200e+16
1.284218226539433338e+01 1.083324577083383000e+16
1.292557305932546541e+01 1.081575407550891600e+16
1.300896385325659743e+01 1.079637470671591000e+16
1.309235464718772946e+01 1.077515290316695600e+16
1.317574544111885970e+01 1.075213628239132600e+16
1.325913623504999350e+01 1.072737466454727200e+16
1.334252702898112553e+01 1.070091989225128400e+16
1.342591782291225755e+01 1.067282564767141200e+16
1.350930861684338957e+01 1.064314726792072000e+16
1.359269941077451982e+01 1.061194155974333400e+16
1.367609020470565184e+01 1.057926661459483400e+16
1.375948099863678564e+01 1.054518162508505200e+16
1.384287179256791767e+01 1.050974670384498200e+16
1.392626258649904969e+01 1.047302270532498400e+16
1.400965338043017994e+01 1.043507105180376400e+16
1.409304417436131196e+01 1.039595356382622000e+16
1.417643496829244576e+01 1.035573229629895800e+16
1.425982576222357778e+01 1.031446938033029800e+16
1.434321655615470981e+01 1.027222687160511000e+16
1.442660735008584183e+01 1.022906660573507400e+16
1.450999814401697208e+01 1.018505006090979000e+16
