# frequency_cm-1 spectrum_qm_au
0.000000000000000000e+00 0.000000000000000000e+00
3.335687838368875391e-01 5.051500928482386719e+12
6.671375676737750782e-01 2.011245078842190625e+13
1.000706351510662673e+00 4.490823535461958594e+13
1.334275135347550156e+00 7.900052773242653125e+13
1.667843919184437640e+00 1.218137517539246094e+14
2.001412703021325346e+00 1.726675131431731250e+14
2.334981486858212829e+00 2.308114900476425938e+14
2.668550270695100313e+00 2.954594989471095625e+14
3.002119054531987796e+00 3.658201191542083125e+14
3.335687838368875280e+00 4.411221577132388750e+14
3.669256622205763207e+00 5.206341568349350625e+14
4.002825406042650691e+00 6.036779309199412500e+14
4.336394189879538175e+00 6.896366858556752500e+14
4.669962973716425658e+00 7.779586035120777500e+14
5.003531757553313142e+00 8.681569002434181250e+14
5.337100541390200625e+00 9.598073438884132500e+14
5.670669325227088109e+00 1.052544096960893625e+15
6.004238109063975593e+00 1.146054593605723250e+15
6.337806892900863076e+00 1.240073990051827250e+15
6.671375676737750560e+00 1.334379574654023500e+15
7.004944460574638931e+00 1.428785394971502000e+15
7.338513244411526415e+00 1.523137258696061500e+15
7.672082028248413899e+00 1.617308190947823500e+15
8.005650812085301382e+00 1.711194378526444000e+15
8.339219595922187978e+00 1.804711597463449250e+15
8.672788379759076349e+00 1.897792099197958500e+15
9.006357163595962945e+00 1.990381919083640500e+15
9.339925947432851316e+00 2.082438565713171250e+15
9.673494731269739688e+00 2.173929048454335000e+15
1.000706351510662628e+01 2.264828202013609000e+15
1.034063229894351288e+01 2.355117269665158500e+15
1.067420108278040125e+01 2.444782710275963000e+15
1.100776986661728962e+01 2.533815197957835500e+15
1.134133865045417622e+01 2.622208786808471000e+15
1.167490743429106281e+01 2.709960216615755000e+15
1.200847621812795119e+01 2.797068338516918000e+15
1.234204500196483956e+01 2.883533642402390500e+15
1.267561378580172615e+01 2.969357870336969500e+15
1.300918256963861275e+01 3.054543702455331000e+15
1.334275135347550112e+01 3.139094503700414500e+15
1.367632013731239127e+01 3.223014121440125000e+15
1.400988892114927786e+01 3.306306725447182000e+15
1.434345770498616268e+01 3.388976682982874000e+15
1.467702648882305283e+01 3.471028462815317500e+15
1.501059527265994120e+01 3.552466562942108000e+15
1.534416405649682780e+01 3.633295457599426500e+15
1.567773284033371439e+01 3.713519559838672500e+15
1.601130162417060276e+01 3.793143196550795500e+15
1.634487040800749114e+01 3.872170593335182000e+15
1.667843919184437596e+01 3.950605867048167500e+15
1.701200797568126433e+01 4.028453024243114500e+15
1.734557675951815270e+01 4.105715964031493000e+15
1.767914554335504107e+01 4.182398484166631000e+15
1.801271432719192589e+01 4.258504289378411000e+15
1.834628311102881426e+01 4.334037001180132000e+15
1.867985189486570263e+01 4.409000168529537000e+15
1.901342067870259100e+01 4.483397278859199000e+15
1.934698946253947938e+01 4.557231769104044000e+15
1.968055824637636420e+01 4.630507036443287000e+15
2.001412703021325257e+01 4.703226448551398000e+15
2.034769581405014094e+01 4.775393353211922000e+15
2.068126459788702576e+01 4.847011087197598000e+15
2.101483338172391413e+01 4.918082984360067000e+15
2.134840216556080250e+01 4.988612382901944000e+15
2.168197094939769087e+01 5.058602631829476000e+15
2.201553973323457924e+01 5.128057096601384000e+15
2.234910851707146406e+01 5.196979164002752000e+15
2.268267730090835244e+01 5.265372246283814000e+15
2.301624608474524081e+01 5.333239784608428000e+15
2.334981486858212563e+01 5.400585251862206000e+15
2.368338365241901400e+01 5.467412154872690000e+15
2.401695243625590237e+01 5.533724036092906000e+15
2.435052122009279074e+01 5.599524474801474000e+15
2.468409000392967911e+01 5.664817087868405000e+15
2.501765878776656393e+01 5.729605530135306000e+15
2.535122757160345230e+01 5.793893494455818000e+15
2.568479635544034068e+01 5.857684711438482000e+15
2.601836513927722550e+01 5.920982948931754000e+15
2.635193392311411387e+01 5.983792011288062000e+15
2.668550270695100224e+01 6.046115738439150000e+15
2.701907149078789061e+01 6.107958004814328000e+15
2.735264027462478253e+01 6.169322718127578000e+15
2.768620905846166380e+01 6.230213818058822000e+15
2.801977784229855573e+01 6.290635274850354000e+15
2.835334662613544410e+01 6.350591087838534000e+15
2.868691540997232536e+01 6.410085283936798000e+15
2.902048419380921729e+01 6.469121916085172000e+15
2.935405297764610566e+01 6.527705061679308000e+15
2.968762176148299403e+01 6.585838820989794000e+15
3.002119054531988240e+01 6.643527315581188000e+15
3.035475932915676722e+01 6.700774686739229000e+15
3.068832811299365559e+01 6.757585093912352000e+15
3.102189689683054397e+01 6.813962713173866000e+15
3.135546568066742879e+01 6.869911735708372000e+15
3.168903446450431716e+01 6.925436366327586000e+15
3.202260324834120553e+01 6.980540822016606000e+15
3.235617203217809390e+01 7.035229330515010000e+15
3.268974081601498227e+01 7.089506128932388000e+15
3.302330959985186354e+01 7.143375462401394000e+15
3.335687838368875191e+01 7.196841582767234000e+15
3.369044716752564028e+01 7.249908747315823000e+15
3.402401595136252865e+01 7.302581217538804000e+15
3.435758473519941703e+01 7.354863257937038000e+15
3.469115351903630540e+01 7.406759134860836000e+15
3.502472230287319377e+01 7.458273115387226000e+15
3.535829108671008214e+01 7.509409466233112000e+15
3.569185987054696341e+01 7.560172452703737000e+15
3.602542865438385178e+01 7.610566337675586000e+15
3.635899743822074726e+01 7.660595380612956000e+15
3.669256622205762852e+01 7.710263836616793000e+15
3.702613500589452400e+01 7.759575955505544000e+15
3.735970378973140527e+01 7.808535980926072000e+15
3.769327257356828653e+01 7.857148149495061000e+15
3.802684135740518201e+01 7.905416689968100000e+15
3.836041014124207038e+01 7.953345822437478000e+15
3.869397892507895875e+01 8.000939757556032000e+15
3.902754770891584712e+01 8.048202695787616000e+15
3.936111649275272839e+01 8.095138826681787000e+15
3.969468527658962387e+01 8.141752328173722000e+15
4.002825406042650513e+01 8.188047365906445000e+15
4.036182284426339351e+01 8.234028092576722000e+15
4.069539162810028188e+01 8.279698647302170000e+15
4.102896041193717025e+01 8.325063155009727000e+15
4.136252919577405152e+01 8.370125725844596000e+15
4.169609797961094699e+01 8.414890454599378000e+15
4.202966676344782826e+01 8.459361420161703000e+15
4.236323554728472374e+01 8.503542684981564000e+15
4.269680433112160500e+01 8.547438294555371000e+15
4.303037311495849337e+01 8.591052276929064000e+15
4.336394189879538175e+01 8.634388642216773000e+15
4.369751068263227012e+01 8.677451382137072000e+15
4.403107946646915849e+01 8.720244469564582000e+15
4.436464825030604686e+01 8.762771858097604000e+15
4.469821703414292813e+01 8.805037481640429000e+15
4.503178581797982361e+01 8.847045254000583000e+15
4.536535460181670487e+01 8.888799068500290000e+15
4.569892338565359324e+01 8.930302797601610000e+15
4.603249216949048161e+01 8.971560292545233000e+15
4.636606095332736999e+01 9.012575383002080000e+15
4.669962973716425125e+01 9.053351876737616000e+15
4.703319852100114673e+01 9.093893559288706000e+15
4.736676730483802800e+01 9.134204193651696000e+15
4.770033608867492347e+01 9.174287519982996000e+15
4.803390487251180474e+01 9.214147255309804000e+15
4.836747365634869311e+01 9.253787093252328000e+15
4.870104244018558148e+01 9.293210703756220000e+15
4.903461122402246986e+01 9.332421732835130000e+15
4.936818000785935823e+01 9.371423802322902000e+15
4.970174879169624660e+01 9.410220509635482000e+15
5.003531757553312787e+01 9.448815427541388000e+15
5.036888635937002334e+01 9.487212103941308000e+15
5.070245514320690461e+01 9.525414061655912000e+15
5.103602392704379298e+01 9.563424798221566000e+15
5.136959271088068135e+01 9.601247785693916000e+15
5.170316149471756972e+01 9.638886470458736000e+15
5.203673027855445099e+01 9.676344273049560000e+15
5.237029906239134647e+01 9.713624587972456000e+15
5.270386784622822773e+01 9.750730783536536000e+15
5.303743663006512321e+01 9.787666201691012000e+15
5.337100541390200448e+01 9.824434157867378000e+15
5.370457419773889285e+01 9.861037940827398000e+15
5.403814298157578122e+01 9.897480812515476000e+15
5.437171176541266959e+01 9.933766007916516000e+15
5.470528054924956507e+01 9.969896734917144000e+15
5.503884933308644634e+01 1.000587617417180800e+16
5.537241811692332760e+01 1.004170747897181600e+16
5.570598690076022308e+01 1.007739377511813200e+16
5.603955568459711145e+01 1.011293816079719800e+16
5.637312446843399272e+01 1.014834370645924000e+16
5.670669325227088819e+01 1.018361345469917200e+16
5.704026203610776946e+01 1.021875042013941200e+16
5.737383081994465073e+01 1.025375758931439600e+16
5.770739960378154620e+01 1.028863792055697800e+16
5.804096838761843458e+01 1.032339434388531800e+16
5.837453717145532295e+01 1.035802976089133400e+16
5.870810595529221132e+01 1.039254704462888800e+16
5.904167473912909259e+01 1.042694903950309600e+16
5.937524352296598806e+01 1.046123856115885000e+16
5.970881230680286933e+01 1.049541839636952800e+16
6.004238109063976481e+01 1.052949130292467800e+16
6.037594987447664607e+01 1.056346000951738400e+16
6.070951865831353444e+01 1.059732721562972800e+16
6.104308744215042282e+01 1.063109559141745200e+16
6.137665622598731119e+01 1.066476777759264800e+16
6.171022500982419245e+01 1.069834638530455200e+16
6.204379379366108793e+01 1.073183399601798600e+16
6.237736257749796920e+01 1.076523316138962800e+16
6.271093136133485757e+01 1.079854640314121400e+16
6.304450014517174594e+01 1.083177621293027600e+16
6.337806892900863431e+01 1.086492505221716200e+16
6.371163771284552269e+01 1.089799535212906400e+16
6.404520649668241106e+01 1.093098951332022000e+16
6.437877528051929232e+01 1.096390990582843200e+16
6.471234406435618780e+01 1.099675886892720400e+16
6.504591284819306907e+01 1.102953871097417200e+16
6.537948163202996454e+01 1.106225170925445000e+16
6.571305041586684581e+01 1.109490010981996400e+16
6.604661919970372708e+01 1.112748612732352600e+16
6.638018798354062255e+01 1.116001194484791400e+16
6.671375676737750382e+01 1.119247971373011200e+16
6.704732555121439930e+01 1.122489155337996800e+16
6.738089433505128056e+01 1.125724955109347800e+16
6.771446311888817604e+01 1.128955576186022200e+16
6.804803190272505731e+01 1.132181220816531800e+16
6.838160068656195278e+01 1.135402087978537400e+16
6.871516947039883405e+01 1.138618373357839200e+16
6.904873825423572953e+01 1.141830269326742800e+16
6.938230703807261079e+01 1.145037964921821200e+16
6.971587582190949206e+01 1.148241645821038200e+16
7.004944460574638754e+01 1.151441494320202800e+16
7.038301338958326880e+01 1.154637689308812000e+16
7.071658217342016428e+01 1.157830406245208400e+16
7.105015095725704555e+01 1.161019817131082200e+16
7.138371974109392681e+01 1.164206090485296400e+16
7.171728852493082229e+01 1.167389391317051600e+16
7.205085730876770356e+01 1.170569881098355200e+16
7.238442609260459903e+01 1.173747717735839600e+16
7.271799487644149451e+01 1.176923055541871000e+16
7.305156366027837578e+01 1.180096045204986400e+16
7.338513244411525704e+01 1.183266833759661800e+16
7.371870122795213831e+01 1.186435564555393000e+16
7.405227001178904800e+01 1.189602377225121000e+16
7.438583879562592927e+01 1.192767407652955600e+16
7.471940757946281053e+01 1.195930787941259600e+16
7.505297636329969180e+01 1.199092646377092400e+16
7.538654514713657306e+01 1.202253107397963600e+16
7.572011393097348275e+01 1.205412291556983800e+16
7.605368271481036402e+01 1.208570315487371800e+16
7.638725149864724528e+01 1.211727291866364400e+16
7.672082028248414076e+01 1.214883329378511200e+16
7.705438906632102203e+01 1.218038532678372800e+16
7.738795785015791751e+01 1.221193002352681400e+16
7.772152663399479877e+01 1.224346834881942000e+16
7.805509541783169425e+01 1.227500122601470000e+16
7.838866420166857552e+01 1.230652953661958400e+16
7.872223298550545678e+01 1.233805411989543000e+16
7.905580176934233805e+01 1.236957577245414800e+16
7.938937055317924774e+01 1.240109524784954800e+16
7.972293933701612900e+01 1.243261325616531400e+16
8.005650812085301027e+01 1.246413046359842800e+16
8.039007690468989153e+01 1.249564749203958000e+16
8.072364568852678701e+01 1.252716491865028800e+16
8.105721447236368249e+01 1.255868327543711400e+16
8.139078325620056376e+01 1.259020304882348200e+16
8.172435204003744502e+01 1.262172467921952400e+16
8.205792082387434050e+01 1.265324856059000000e+16
8.239148960771122177e+01 1.268477504002116400e+16
8.272505839154810303e+01 1.271630441728670400e+16
8.305862717538499851e+01 1.274783694441333200e+16
8.339219595922189399e+01 1.277937282524650800e+16
8.372576474305877525e+01 1.281091221501668800e+16
8.405933352689565652e+01 1.284245521990673200e+16
8.439290231073253779e+01 1.287400189662082800e+16
8.472647109456944747e+01 1.290555225195582800e+16
8.506003987840632874e+01 1.293710624237514400e+16
8.539360866224321001e+01 1.296866377358600000e+16
8.572717744608009127e+01 1.300022470012090000e+16
8.606074622991698675e+01 1.303178882492308400e+16
8.639431501375388223e+01 1.306335589893800600e+16
8.672788379759076349e+01 1.309492562071004400e+16
8.706145258142764476e+01 1.312649763598629600e+16
8.739502136526454024e+01 1.315807153732713000e+16
8.772859014910142150e+01 1.318964686372533600e+16
8.806215893293831698e+01 1.322122310023365400e+16
