# frequency_cm-1 spectrum_qm_au
1.667887191475624087e-01 2.867764707321050670e+26
3.335774382951248174e-01 -2.104905719890102258e+26
5.003661574426871983e-01 2.026016272414901692e+27
6.671548765902496347e-01 -9.886820231073591995e+26
8.339435957378119602e-01 1.614618250846779766e+27
1.000732314885374397e+00 -1.204680535949159858e+27
1.167521034032936722e+00 2.042070302429627844e+27
1.334309753180499269e+00 1.509949232991985129e+27
1.501098472328061595e+00 -9.110730751771913220e+26
1.667887191475623920e+00 2.686202419718538082e+27
1.834675910623186246e+00 1.055430553911360196e+27
2.001464629770748793e+00 2.282275893858349445e+27
2.168253348918311119e+00 -1.480653860521450219e+26
2.335042068065873444e+00 1.770771091768058053e+27
2.501830787213435769e+00 -4.898895647554745450e+26
2.668619506360998539e+00 5.085543281582376138e+27
2.835408225508560864e+00 6.036228877316980927e+26
3.002196944656123190e+00 3.604417831590817924e+26
3.168985663803685515e+00 2.314742233082336826e+26
3.335774382951247841e+00 1.371329498777889204e+27
3.502563102098810610e+00 4.411928511131580381e+27
3.669351821246372491e+00 8.557265295194532435e+26
3.836140540393934817e+00 3.660205604739399940e+27
4.002929259541497586e+00 6.275806585528539406e+27
4.169717978689059912e+00 8.292957467370174373e+26
4.336506697836622237e+00 1.006916259346124536e+28
4.503295416984184563e+00 6.810272179973985713e+27
4.670084136131746888e+00 1.013671809233167330e+27
4.836872855279309213e+00 4.732260651888484299e+27
5.003661574426871539e+00 2.946351174224667064e+27
5.170450293574433864e+00 7.531028526505709011e+26
5.337239012721997078e+00 3.976318054477208540e+27
5.504027731869559403e+00 -1.137547440816566628e+27
5.670816451017121729e+00 1.295218707254427079e+28
5.837605170164684054e+00 -3.871757237754119142e+27
6.004393889312246380e+00 1.154211574860767970e+28
6.171182608459808705e+00 -1.578270837989082910e+27
6.337971327607371030e+00 1.898078439524402217e+28
6.504760046754933356e+00 -1.065751827403058303e+28
6.671548765902495681e+00 2.209967916822328129e+28
6.838337485050058007e+00 -7.973676689974536890e+27
7.005126204197621220e+00 1.242549781356036056e+28
7.171914923345183546e+00 -1.922724138271236854e+27
7.338703642492744983e+00 2.400910290442281796e+28
7.505492361640307308e+00 -1.068439818573802987e+26
7.672281080787869634e+00 2.414147880581648526e+28
7.839069799935432847e+00 1.189396302393356783e+28
8.005858519082995173e+00 2.938943607074419553e+28
8.172647238230558386e+00 -3.462331804731300990e+27
8.339435957378119824e+00 8.330638228271441544e+27
8.506224676525683037e+00 4.878667222741125503e+25
8.673013395673244474e+00 6.405755159394533902e+27
8.839802114820805912e+00 2.021282324010711762e+28
9.006590833968369125e+00 5.251819030714147911e+27
9.173379553115932339e+00 3.075759152781529508e+28
9.340168272263493776e+00 -2.712542150722932112e+27
9.506956991411055213e+00 1.586048213975572078e+28
9.673745710558618427e+00 1.112783774209645668e+28
9.840534429706179864e+00 1.909634330209533900e+28
1.000732314885374308e+01 1.867064698484369259e+28
1.017411186800130629e+01 7.931725985164960308e+27
1.034090058714886773e+01 6.293255936850364099e+27
1.050768930629643094e+01 1.125714341927473855e+28
1.067447802544399416e+01 1.357118012273218474e+28
1.084126674459155559e+01 2.019056553681104928e+28
1.100805546373911881e+01 4.722407447403620368e+27
1.117484418288668024e+01 5.409833790520454171e+28
1.134163290203424346e+01 2.749853714334862534e+28
1.150842162118180667e+01 6.137498741607419121e+27
1.167521034032936811e+01 2.452393449133636956e+28
1.184199905947693132e+01 5.533102588267269922e+27
1.200878777862449276e+01 2.954606483448424640e+28
1.217557649777205420e+01 2.521037132832266618e+28
1.234236521691961741e+01 2.298452405212277298e+27
1.250915393606717885e+01 -2.293141367644165398e+27
1.267594265521474206e+01 2.839332189537999709e+28
1.284273137436230350e+01 -1.518193829325002652e+28
1.300952009350986671e+01 6.937244220476206654e+28
1.317630881265742993e+01 1.563217982352246909e+28
1.334309753180499136e+01 1.868766106464987206e+28
1.350988625095255458e+01 3.429210516596681038e+28
1.367667497010011601e+01 2.108933943106642689e+28
1.384346368924767923e+01 1.677122603982135769e+28
1.401025240839524244e+01 3.886486050014902930e+27
1.417704112754280388e+01 3.432192974040308930e+28
1.434382984669036709e+01 2.712135647099658883e+27
1.451061856583792853e+01 5.611879096189870136e+28
1.467740728498548997e+01 -1.742127927270549024e+28
1.484419600413305318e+01 3.259326696328877632e+28
1.501098472328061462e+01 4.484429444558323217e+28
1.517777344242817783e+01 -1.367708878674803391e+28
1.534456216157573927e+01 3.153987115912736578e+28
1.551135088072330248e+01 -2.188774544356676959e+28
1.567813959987086569e+01 8.495549036273978086e+28
1.584492831901842713e+01 -3.764305981709182064e+28
1.601171703816599035e+01 9.443959149268820749e+28
1.617850575731355178e+01 2.231415965163069587e+28
1.634529447646111677e+01 1.889742042316420064e+28
1.651208319560867821e+01 2.724835413012554721e+28
1.667887191475623965e+01 3.887902420700074461e+28
1.684566063390380108e+01 2.605821508355603463e+28
1.701244935305136607e+01 4.198541484227573888e+28
1.717923807219892751e+01 9.492896277718359579e+28
1.734602679134648895e+01 -4.061981989809118215e+28
1.751281551049405039e+01 9.187864772221412944e+28
1.767960422964161182e+01 -1.637396886380357382e+28
1.784639294878917681e+01 4.245395171993612517e+28
1.801318166793673825e+01 2.456036223645129571e+27
1.817997038708429969e+01 3.957874831711066319e+28
1.834675910623186468e+01 -1.667600473270011613e+28
1.851354782537942611e+01 7.022972815629563516e+28
1.868033654452698755e+01 -1.672098752857310883e+28
1.884712526367454899e+01 5.717624018325801045e+28
1.901391398282211043e+01 -2.330731680157500191e+28
1.918070270196967542e+01 1.007594451959272400e+29
1.934749142111723685e+01 -5.792654060658965955e+28
1.951428014026479829e+01 1.405559370220902598e+29
1.968106885941235973e+01 -4.715071130002121453e+28
1.984785757855992472e+01 9.867062823171160091e+28
2.001464629770748616e+01 -5.811848277373833706e+28
2.018143501685504759e+01 1.181788910948796456e+29
2.034822373600261258e+01 -5.374638640310109983e+25
2.051501245515017402e+01 1.088394177444474200e+29
2.068180117429773546e+01 -3.435185034476710914e+28
2.084858989344530045e+01 6.413251082749228180e+28
2.101537861259286188e+01 1.211779517409008008e+29
2.118216733174042332e+01 -1.576348191570587908e+28
2.134895605088798831e+01 9.258178787703399476e+28
2.151574477003554975e+01 -1.951113248591166750e+28
2.168253348918311119e+01 7.494538120059808305e+28
2.184932220833067262e+01 -1.931593448430064113e+28
