# frequency_cm-1 spectrum_qm_au
0.000000000000000000e+00 0.000000000000000000e+00
3.335687838368875391e-01 2.245392996082271484e+12
6.671375676737750782e-01 8.977594499274035156e+12
1.000706351510662673e+00 2.018469095832396484e+13
1.334275135347550156e+00 3.584688928966987500e+13
1.667843919184437640e+00 5.593661051055571875e+13
2.001412703021325346e+00 8.041861959611904688e+13
2.334981486858212829e+00 1.092501903544272188e+14
2.668550270695100313e+00 1.423813038014447188e+14
3.002119054531987796e+00 1.797548782293070625e+14
3.335687838368875280e+00 2.213070289000635312e+14
3.669256622205763207e+00 2.669673550667485000e+14
4.002825406042650691e+00 3.166592518268465625e+14
4.336394189879538175e+00 3.703002441521086250e+14
4.669962973716425658e+00 4.278023403143367500e+14
5.003531757553313142e+00 4.890724018399136250e+14
5.337100541390200625e+00 5.540125270758560625e+14
5.670669325227088109e+00 6.225204454370463750e+14
6.004238109063975593e+00 6.944899194249405000e+14
6.337806892900863076e+00 7.698111515624960000e+14
6.671375676737750560e+00 8.483711934733765000e+14
7.004944460574638931e+00 9.300543544452015000e+14
7.338513244411526415e+00 1.014742606950866750e+15
7.672082028248413899e+00 1.102315986757987750e+15
8.005650812085301382e+00 1.192652985428475000e+15
8.339219595922187978e+00 1.285630933195974500e+15
8.672788379759076349e+00 1.381126370404385750e+15
9.006357163595962945e+00 1.479015405892203000e+15
9.339925947432851316e+00 1.579174060912676500e+15
9.673494731269739688e+00 1.681478597384516500e+15
1.000706351510662628e+01 1.785805829470178000e+15
1.034063229894351288e+01 1.892033417676914000e+15
1.067420108278040125e+01 2.000040144864293000e+15
1.100776986661728962e+01 2.109706173725261250e+15
1.134133865045417622e+01 2.220913285476227500e+15
1.167490743429106281e+01 2.333545099652776000e+15
1.200847621812795119e+01 2.447487275052284000e+15
1.234204500196483956e+01 2.562627692000124500e+15
1.267561378580172615e+01 2.678856616233967000e+15
1.300918256963861275e+01 2.796066844809581500e+15
1.334275135347550112e+01 2.914153834522581000e+15
1.367632013731239127e+01 3.033015813422345000e+15
1.400988892114927786e+01 3.152553876060658000e+15
1.434345770498616268e+01 3.272672063173692000e+15
1.467702648882305283e+01 3.393277426539650000e+15
1.501059527265994120e+01 3.514280079787793000e+15
1.534416405649682780e+01 3.635593235958928500e+15
1.567773284033371439e+01 3.757133232630854000e+15
1.601130162417060276e+01 3.878819545429196500e+15
1.634487040800749114e+01 4.000574790744598000e+15
1.667843919184437596e+01 4.122324718467047500e+15
1.701200797568126433e+01 4.243998195539087500e+15
1.734557675951815270e+01 4.365527181107586000e+15
1.767914554335504107e+01 4.486846694036324000e+15
1.801271432719192589e+01 4.607894773512354000e+15
1.834628311102881426e+01 4.728612433453900000e+15
1.867985189486570263e+01 4.848943611395448000e+15
1.901342067870259100e+01 4.968835112494905000e+15
1.934698946253947938e+01 5.088236549273160000e+15
1.968055824637636420e+01 5.207100277664408000e+15
2.001412703021325257e+01 5.325381329918763000e+15
2.034769581405014094e+01 5.443037344867292000e+15
2.068126459788702576e+01 5.560028496022490000e+15
2.101483338172391413e+01 5.676317417957002000e+15
2.134840216556080250e+01 5.791869131366866000e+15
2.168197094939769087e+01 5.906650967197492000e+15
2.201553973323457924e+01 6.020632490176620000e+15
2.234910851707146406e+01 6.133785422070920000e+15
2.268267730090835244e+01 6.246083564953316000e+15
2.301624608474524081e+01 6.357502724741898000e+15
2.334981486858212563e+01 6.468020635244308000e+15
2.368338365241901400e+01 6.577616882919003000e+15
2.401695243625590237e+01 6.686272832539902000e+15
2.435052122009279074e+01 6.793971553931016000e+15
2.468409000392967911e+01 6.900697749916544000e+15
2.501765878776656393e+01 7.006437685613374000e+15
2.535122757160345230e+01 7.111179119175288000e+15
2.568479635544034068e+01 7.214911234082873000e+15
2.601836513927722550e+01 7.317624573056376000e+15
2.635193392311411387e+01 7.419310973657168000e+15
2.668550270695100224e+01 7.519963505628569000e+15
2.701907149078789061e+01 7.619576410017467000e+15
2.735264027462478253e+01 7.718145040105516000e+15
2.768620905846166380e+01 7.815665804170685000e+15
2.801977784229855573e+01 7.912136110090266000e+15
2.835334662613544410e+01 8.007554311789698000e+15
2.868691540997232536e+01 8.101919657532726000e+15
2.902048419380921729e+01 8.195232240044548000e+15
2.935405297764610566e+01 8.287492948451748000e+15
2.968762176148299403e+01 8.378703422019600000e+15
3.002119054531988240e+01 8.468866005661903000e+15
3.035475932915676722e+01 8.557983707195496000e+15
3.068832811299365559e+01 8.646060156307510000e+15
3.102189689683054397e+01 8.733099565201467000e+15
3.135546568066742879e+01 8.819106690885782000e+15
3.168903446450431716e+01 8.904086799065600000e+15
3.202260324834120553e+01 8.988045629597679000e+15
3.235617203217809390e+01 9.070989363468020000e+15
3.268974081601498227e+01 9.152924591247780000e+15
3.302330959985186354e+01 9.233858282986494000e+15
3.335687838368875191e+01 9.313797759496984000e+15
3.369044716752564028e+01 9.392750664989280000e+15
3.402401595136252865e+01 9.470724941009186000e+15
3.435758473519941703e+01 9.547728801637128000e+15
3.469115351903630540e+01 9.623770709904332000e+15
3.502472230287319377e+01 9.698859355382684000e+15
3.535829108671008214e+01 9.773003632905328000e+15
3.569185987054696341e+01 9.846212622376316000e+15
3.602542865438385178e+01 9.918495569627220000e+15
3.635899743822074726e+01 9.989861868280740000e+15
3.669256622205762852e+01 1.006032104258055800e+16
3.702613500589452400e+01 1.012988273114956400e+16
3.735970378973140527e+01 1.019855667163677400e+16
3.769327257356828653e+01 1.026635268621824000e+16
3.802684135740518201e+01 1.033328066791304400e+16
3.836041014124207038e+01 1.039935056768194400e+16
3.869397892507895875e+01 1.046457238227248800e+16
3.902754770891584712e+01 1.052895614277960800e+16
3.936111649275272839e+01 1.059251190388770000e+16
3.969468527658962387e+01 1.065524973376495800e+16
4.002825406042650513e+01 1.071717970457934000e+16
4.036182284426339351e+01 1.077831188360735800e+16
4.069539162810028188e+01 1.083865632490819800e+16
4.102896041193717025e+01 1.089822306153586800e+16
4.136252919577405152e+01 1.095702209826431000e+16
4.169609797961094699e+01 1.101506340480005200e+16
4.202966676344782826e+01 1.107235690945844000e+16
4.236323554728472374e+01 1.112891249328166800e+16
4.269680433112160500e+01 1.118473998457459200e+16
4.303037311495849337e+01 1.123984915383946400e+16
4.336394189879538175e+01 1.129424970908728800e+16
4.369751068263227012e+01 1.134795129150814600e+16
4.403107946646915849e+01 1.140096347148016000e+16
4.436464825030604686e+01 1.145329574490140200e+16
4.469821703414292813e+01 1.150495752982514600e+16
4.503178581797982361e+01 1.155595816338480600e+16
4.536535460181670487e+01 1.160630689899089600e+16
4.569892338565359324e+01 1.165601290378625400e+16
4.603249216949048161e+01 1.170508525634540800e+16
4.636606095332736999e+01 1.175353294460356000e+16
4.669962973716425125e+01 1.180136486400346400e+16
4.703319852100114673e+01 1.184858981584679400e+16
4.736676730483802800e+01 1.189521650583920200e+16
4.770033608867492347e+01 1.194125354281735200e+16
4.803390487251180474e+01 1.198670943764665200e+16
4.836747365634869311e+01 1.203159260228140400e+16
4.870104244018558148e+01 1.207591134897523600e+16
4.903461122402246986e+01 1.211967388963508400e+16
4.936818000785935823e+01 1.216288833530767200e+16
4.970174879169624660e+01 1.220556269579230400e+16
5.003531757553312787e+01 1.224770487937041400e+16
5.036888635937002334e+01 1.228932269264526400e+16
5.070245514320690461e+01 1.233042384048438600e+16
5.103602392704379298e+01 1.237101592605841400e+16
5.136959271088068135e+01 1.241110645096887000e+16
5.170316149471756972e+01 1.245070281546014400e+16
5.203673027855445099e+01 1.248981231870903600e+16
5.237029906239134647e+01 1.252844215918653200e+16
5.270386784622822773e+01 1.256659943508681600e+16
5.303743663006512321e+01 1.260429114481882800e+16
5.337100541390200448e+01 1.264152418755479600e+16
5.370457419773889285e+01 1.267830536383287200e+16
5.403814298157578122e+01 1.271464137620794800e+16
5.437171176541266959e+01 1.275053882994856000e+16
5.470528054924956507e+01 1.278600423377431600e+16
5.503884933308644634e+01 1.282104400063235600e+16
5.537241811692332760e+01 1.285566444850742000e+16
5.570598690076022308e+01 1.288987180126425200e+16
5.603955568459711145e+01 1.292367218951825600e+16
5.637312446843399272e+01 1.295707165153189200e+16
5.670669325227088819e+01 1.299007613413487600e+16
5.704026203610776946e+01 1.302269149366425600e+16
5.737383081994465073e+01 1.305492349692383400e+16
5.770739960378154620e+01 1.308677782215924400e+16
5.804096838761843458e+01 1.311826006004743600e+16
5.837453717145532295e+01 1.314937571469882400e+16
5.870810595529221132e+01 1.318013020466920800e+16
5.904167473912909259e+01 1.321052886398135600e+16
5.937524352296598806e+01 1.324057694315297200e+16
5.970881230680286933e+01 1.327027961023119600e+16
6.004238109063976481e+01 1.329964195183064800e+16
6.037594987447664607e+01 1.332866897417539200e+16
6.070951865831353444e+01 1.335736560414187000e+16
6.104308744215042282e+01 1.338573669030317600e+16
6.137665622598731119e+01 1.341378700397249000e+16
6.171022500982419245e+01 1.344152124024550400e+16
6.204379379366108793e+01 1.346894401904042200e+16
6.237736257749796920e+01 1.349605988613479600e+16
6.271093136133485757e+01 1.352287331419852000e+16
6.304450014517174594e+01 1.354938870382206000e+16
6.337806892900863431e+01 1.357561038453952400e+16
6.371163771284552269e+01 1.360154261584567800e+16
6.404520649668241106e+01 1.362718958820629200e+16
6.437877528051929232e+01 1.365255542406172800e+16
6.471234406435618780e+01 1.367764417882253200e+16
6.504591284819306907e+01 1.370245984185758000e+16
6.537948163202996454e+01 1.372700633747317200e+16
6.571305041586684581e+01 1.375128752588388200e+16
6.604661919970372708e+01 1.377530720417395600e+16
6.638018798354062255e+01 1.379906910724947200e+16
6.671375676737750382e+01 1.382257690878057800e+16
6.704732555121439930e+01 1.384583422213396800e+16
6.738089433505128056e+01 1.386884460129515200e+16
6.771446311888817604e+01 1.389161154178026200e+16
6.804803190272505731e+01 1.391413848153743400e+16
6.838160068656195278e+01 1.393642880183747600e+16
6.871516947039883405e+01 1.395848582815362400e+16
6.904873825423572953e+01 1.398031283103065400e+16
6.938230703807261079e+01 1.400191302694256800e+16
6.971587582190949206e+01 1.402328957913967400e+16
7.004944460574638754e+01 1.404444559848416800e+16
7.038301338958326880e+01 1.406538414427480200e+16
7.071658217342016428e+01 1.408610822506003600e+16
7.105015095725704555e+01 1.410662079944048000e+16
7.138371974109392681e+01 1.412692477685961600e+16
7.171728852493082229e+01 1.414702301838364400e+16
7.205085730876770356e+01 1.416691833747006800e+16
7.238442609260459903e+01 1.418661350072504400e+16
7.271799487644149451e+01 1.420611122864986400e+16
7.305156366027837578e+01 1.422541419637608400e+16
7.338513244411525704e+01 1.424452503438993600e+16
7.371870122795213831e+01 1.426344632924564800e+16
7.405227001178904800e+01 1.428218062426789800e+16
7.438583879562592927e+01 1.430073042024364400e+16
7.471940757946281053e+01 1.431909817610308800e+16
7.505297636329969180e+01 1.433728630959014600e+16
7.538654514713657306e+01 1.435529719792231000e+16
7.572011393097348275e+01 1.437313317844024800e+16
7.605368271481036402e+01 1.439079654924674400e+16
7.638725149864724528e+01 1.440828956983606000e+16
7.672082028248414076e+01 1.442561446171242400e+16
7.705438906632102203e+01 1.444277340899922400e+16
7.738795785015791751e+01 1.445976855903777200e+16
7.772152663399479877e+01 1.447660202297672800e+16
7.805509541783169425e+01 1.449327587635169200e+16
7.838866420166857552e+01 1.450979215965516400e+16
7.872223298550545678e+01 1.452615287889746000e+16
7.905580176934233805e+01 1.454236000615794200e+16
7.938937055317924774e+01 1.455841548012733800e+16
7.972293933701612900e+01 1.457432120664112800e+16
8.005650812085301027e+01 1.459007905920363600e+16
8.039007690468989153e+01 1.460569087950379600e+16
8.072364568852678701e+01 1.462115847792196600e+16
8.105721447236368249e+01 1.463648363402844200e+16
8.139078325620056376e+01 1.465166809707326400e+16
8.172435204003744502e+01 1.466671358646819200e+16
8.205792082387434050e+01 1.468162179226012000e+16
8.239148960771122177e+01 1.469639437559670400e+16
8.272505839154810303e+01 1.471103296918408400e+16
8.305862717538499851e+01 1.472553917773682800e+16
8.339219595922189399e+01 1.473991457842010600e+16
8.372576474305877525e+01 1.475416072128459800e+16
8.405933352689565652e+01 1.476827912969378400e+16
8.439290231073253779e+01 1.478227130074411400e+16
8.472647109456944747e+01 1.479613870567788800e+16
8.506003987840632874e+01 1.480988279028935000e+16
8.539360866224321001e+01 1.482350497532351600e+16
8.572717744608009127e+01 1.483700665686865200e+16
8.606074622991698675e+01 1.485038920674159200e+16
8.639431501375388223e+01 1.486365397286700400e+16
8.672788379759076349e+01 1.487680227964976400e+16
8.706145258142764476e+01 1.488983542834138000e+16
8.739502136526454024e+01 1.490275469739992600e+16
8.772859014910142150e+01 1.491556134284410200e+16
8.806215893293831698e+01 1.492825659860104200e+16
8.839572771677519825e+01 1.494084167684852800e+16
8.872929650061209372e+01 1.495331776835123200e+16
8.906286528444897499e+01 1.496568604279140000e+16
8.939643406828585626e+01 1.497794764909386000e+16
8.973000285212273752e+01 1.499010371574576800e+16
9.006357163595964721e+01 1.500215535111070400e+16
9.039714041979652848e+01 1.501410364373787600e+16
9.073070920363340974e+01 1.502594966266583600e+16
9.106427798747029101e+01 1.503769445772140800e+16
9.139784677130718649e+01 1.504933905981341600e+16
9.173141555514408196e+01 1.506088448122177000e+16
9.206498433898096323e+01 1.507233171588155800e+16
9.239855312281785871e+01 1.508368173966280000e+16
9.273212190665473997e+01 1.509493551064512400e+16
9.306569069049162124e+01 1.510609396938848800e+16
9.339925947432850251e+01 1.511715803919903800e+16
9.373282825816541219e+01 1.512812862639089400e+16
9.406639704200229346e+01 1.513900662054371200e+16
9.439996582583917473e+01 1.514979289475593000e+16
9.473353460967605599e+01 1.516048830589417200e+16
9.506710339351293726e+01 1.517109369483837600e+16
9.540067217734984695e+01 1.518160988672334600e+16
9.573424096118672821e+01 1.519203769117624600e+16
9.606780974502360948e+01 1.520237790255038400e+16
9.640137852886050496e+01 1.521263130015541400e+16
9.673494731269738622e+01 1.522279864848390200e+16
9.706851609653428170e+01 1.523288069743429200e+16
9.740208488037116297e+01 1.524287818253053200e+16
9.773565366420805844e+01 1.525279182513823000e+16
9.806922244804493971e+01 1.526262233267766000e+16
9.840279123188182098e+01 1.527237039883327200e+16
9.873636001571871645e+01 1.528203670376026800e+16
9.906992879955561193e+01 1.529162191428796800e+16
9.940349758339249320e+01 1.530112668412014400e+16
9.973706636722937446e+01 1.531055165403239200e+16
1.000706351510662557e+02 1.531989745206658600e+16
1.004042039349031512e+02 1.532916469372246200e+16
1.007377727187400467e+02 1.533835398214646800e+16
1.010713415025769280e+02 1.534746590831789600e+16
1.014049102864138092e+02 1.535650105123213200e+16
1.017384790702507047e+02 1.536545997808166200e+16
1.020720478540875860e+02 1.537434324443418800e+16
1.024056166379244814e+02 1.538315139440844600e+16
1.027391854217613627e+02 1.539188496084738400e+16
1.030727542055982582e+02 1.540054446548919600e+16
1.034063229894351394e+02 1.540913041913588000e+16
1.037398917732720207e+02 1.541764332181936600e+16
1.040734605571089020e+02 1.542608366296568800e+16
1.044070293409458117e+02 1.543445192155676400e+16
1.047405981247826929e+02 1.544274856629010000e+16
1.050741669086195742e+02 1.545097405573632000e+16
1.054077356924564555e+02 1.545912883849482600e+16
1.057413044762933509e+02 1.546721335334728600e+16
1.060748732601302464e+02 1.547522802940913600e+16
1.064084420439671277e+02 1.548317328627940000e+16
1.067420108278040090e+02 1.549104953418832800e+16
1.070755796116409044e+02 1.549885717414349200e+16
1.074091483954777857e+02 1.550659659807380600e+16
1.077427171793146812e+02 1.551426818897205600e+16
1.080762859631515624e+02 1.552187232103549200e+16
1.084098547469884579e+02 1.552940935980497200e+16
1.087434235308253392e+02 1.553687966230226000e+16
1.090769923146622205e+02 1.554428357716589200e+16
1.094105610984991301e+02 1.555162144478525400e+16
1.097441298823360114e+02 1.555889359743342800e+16
1.100776986661728927e+02 1.556610035939832600e+16
1.104112674500097739e+02 1.557324204711240800e+16
1.107448362338466552e+02 1.558031896928099800e+16
1.110784050176835507e+02 1.558733142700920200e+16
1.114119738015204462e+02 1.559427971392741200e+16
1.117455425853573274e+02 1.560116411631556200e+16
1.120791113691942229e+02 1.560798491322593600e+16
1.124126801530311042e+02 1.561474237660491200e+16
1.127462489368679854e+02 1.562143677141319600e+16
1.130798177207048809e+02 1.562806835574504800e+16
1.134133865045417764e+02 1.563463738094616000e+16
1.137469552883786577e+02 1.564114409173054000e+16
1.140805240722155389e+02 1.564758872629601400e+16
1.144140928560524202e+02 1.565397151643888000e+16
1.147476616398893015e+02 1.566029268766715000e+16
1.150812304237262111e+02 1.566655245931308600e+16
1.154147992075630924e+02 1.567275104464435600e+16
1.157483679913999737e+02 1.567888865097437800e+16
1.160819367752368692e+02 1.568496547977151400e+16
1.164155055590737504e+02 1.569098172676739600e+16
1.167490743429106459e+02 1.569693758206425200e+16
1.170826431267475272e+02 1.570283323024125000e+16
1.174162119105844226e+02 1.570866885045985800e+16
1.177497806944213039e+02 1.571444461656857200e+16
1.180833494782581852e+02 1.572016069720635200e+16
1.184169182620950806e+02 1.572581725590549200e+16
1.187504870459319761e+02 1.573141445119350600e+16
1.190840558297688574e+02 1.573695243669426800e+16
1.194176246136057387e+02 1.574243136122815200e+16
1.197511933974426199e+02 1.574785136891154600e+16
1.200847621812795296e+02 1.575321259925549600e+16
1.204183309651164109e+02 1.575851518726348000e+16
1.207518997489532921e+02 1.576375926352870400e+16
1.210854685327901734e+02 1.576894495433015600e+16
1.214190373166270689e+02 1.577407238172849600e+16
1.217526061004639502e+02 1.577914166366078400e+16
1.220861748843008456e+02 1.578415291403455200e+16
1.224197436681377269e+02 1.578910624282144400e+16
1.227533124519746224e+02 1.579400175614982400e+16
1.230868812358115036e+02 1.579883955639689600e+16
1.234204500196483849e+02 1.580361974228003200e+16
1.237540188034852804e+02 1.580834240894758600e+16
1.240875875873221759e+02 1.581300764806877600e+16
