# F(k,t) correlation function
# Reference time: 0.001 ps
# lag_time_ps	F(k,t)
0.000000	677.63909416
1.000000	15.70136062
2.001000	50.36858097
3.002000	-26.24857818
4.002000	-98.84901222
5.002000	-6.54118383
6.002000	-48.81811552
7.003000	95.20181777
8.004000	116.36425222
9.005000	14.90169435
10.006000	-47.85048246
11.007000	-32.26538650
12.008000	36.70670339
13.009000	7.68843979
14.010000	-75.48571553
15.011000	61.33553899
16.012000	39.58981308
17.013000	23.67281872
18.014000	-17.82395090
19.015000	52.24364704
20.016000	28.81821268
21.017000	-56.96661838
22.018000	-125.39559868
23.019000	-95.59039366
24.020000	56.24602180
25.021000	-62.86839782
26.021000	-60.21205681
27.021000	31.95542510
28.021000	-38.16947609
29.021000	16.02592984
30.021000	41.24434339
31.021000	-55.69459851
32.021000	-32.39997798
33.021000	-59.76109115
34.021000	63.54608278
35.021000	53.06127402
36.021000	-20.26946081
37.021000	-16.30752801
38.021000	101.96325424
39.021000	-41.46789147
40.021000	-74.74262754
41.021000	4.06788909
42.021000	28.91905677
43.021000	101.43841985
44.021000	-56.53048329
45.021000	-30.05338538
46.021000	63.09083028
47.021000	0.13488916
48.021000	-71.18333874
49.021000	47.94435722
50.021000	6.13497240
51.021000	25.90090979
52.021000	3.89439805
53.021000	28.53157712
54.021000	58.59792353
55.021000	-66.91199443
56.021000	51.91626271
57.021000	-30.35014606
58.021000	-35.78025482
59.021000	42.20340201
60.021000	28.32935952
61.021000	-24.34624077
62.021000	103.38175592
63.021000	-34.18382242
64.021000	11.15197162
65.021000	-42.04185234
66.021000	10.47832541
67.021000	23.80966275
68.021000	-69.30005129
69.021000	44.34817472
70.021000	-109.01189977
71.021000	-37.67845162
72.021000	-13.68276280
73.021000	-51.24613257
74.021000	47.76183945
75.021000	28.50959038
76.021000	-39.36206205
77.021000	85.41673652
78.021000	-33.97529070
79.021000	-10.16285033
80.021000	36.74631582
81.021000	-82.14019906
82.021000	-26.09584839
83.021000	67.08641533
84.021000	32.22103622
85.021000	-24.65199740
86.021000	-58.26222197
87.021000	-19.44846214
