# F(k,t) correlation function
# Reference time: 0.001 ps
# lag_time_ps	F(k,t)
0.000000	682.04389198
1.000000	-30.20756631
2.001000	-33.16407406
3.002000	72.26201656
4.002000	-128.05471853
5.002000	12.90991842
6.002000	106.22986229
7.003000	-27.02156393
8.004000	2.64252833
9.005000	121.34871821
10.006000	12.22822249
11.007000	-36.61827538
12.008000	33.25498242
13.009000	-9.44027558
14.010000	-117.49191658
15.011000	33.85676181
16.012000	85.13805339
17.013000	102.46214571
18.014000	40.35116162
19.015000	36.71606234
20.016000	-77.44031564
21.017000	-9.41167262
22.018000	81.89747423
23.019000	2.13943987
24.020000	-3.85856567
25.021000	48.12440022
26.021000	-24.32246253
27.021000	-74.72426973
28.021000	-67.77603315
29.021000	-13.97697374
30.021000	54.23763515
31.021000	-20.12946502
