# Potential Energy Component Analysis Results
# Temperature sweep data with multi-replica ensemble averaging
# All energies are production averages (equilibration period removed)
# Units: Hartree, eV, kJ/mol
#
# Columns:
#   temperature: Target temperature (K)
#   avg_temperature: Average simulated temperature (K)
#   n_replicas: Number of successful replicas
#   n_frames_production: Number of production frames used
#   total_PE_hartree: Total potential energy (Hartree)
#   total_PE_eV: Total potential energy (eV)
#   total_PE_kJ_mol: Total potential energy (kJ/mol)
#   harmonic_hartree: Harmonic bond energy (Hartree)
#   harmonic_eV: Harmonic bond energy (eV)
#   harmonic_kJ_mol: Harmonic bond energy (kJ/mol)
#   coulombic_hartree: Coulombic energy (Hartree)
#   coulombic_eV: Coulombic energy (eV)
#   coulombic_kJ_mol: Coulombic energy (kJ/mol)
#   lj_hartree: Lennard-Jones energy (Hartree)
#   lj_eV: Lennard-Jones energy (eV)
#   lj_kJ_mol: Lennard-Jones energy (kJ/mol)
#   [corresponding _std columns for standard deviations]
#
temperature avg_temperature n_replicas n_frames_production total_PE_hartree total_PE_std_hartree total_PE_eV total_PE_std_eV total_PE_kJ_mol total_PE_std_kJ_mol harmonic_hartree harmonic_std_hartree harmonic_eV harmonic_std_eV harmonic_kJ_mol harmonic_std_kJ_mol coulombic_hartree coulombic_std_hartree coulombic_eV coulombic_std_eV coulombic_kJ_mol coulombic_std_kJ_mol lj_hartree lj_std_hartree lj_eV lj_std_eV lj_kJ_mol lj_std_kJ_mol
65.000000 64.858155 1 79293 -1.492122 0.007106 -40.602707 0.193362 -3917.565676 18.656635 0.030640 0.002739 0.833756 0.074532 80.445272 7.191251 -0.767227 0.005455 -20.877299 0.148443 -2014.353095 14.322584 -0.755535 0.006214 -20.559165 0.169099 -1983.657858 16.315574
67.390000 67.208838 1 79293 -1.483206 0.006770 -40.360093 0.184213 -3894.156935 17.773838 0.033022 0.002574 0.898568 0.070039 86.698616 6.757762 -0.764154 0.005429 -20.793680 0.147737 -2006.285107 14.254499 -0.752074 0.006029 -20.464981 0.164057 -1974.570444 15.829104
69.970000 69.879946 1 79293 -1.472874 0.007187 -40.078939 0.195559 -3867.029709 18.868618 0.031522 0.002478 0.857769 0.067428 82.762168 6.505857 -0.758519 0.005699 -20.640343 0.155070 -1991.490382 14.961933 -0.745878 0.006186 -20.296365 0.168342 -1958.301502 16.242505
72.750000 72.643464 1 79293 -1.465282 0.007703 -39.872349 0.209601 -3847.096860 20.223460 0.034508 0.002719 0.939021 0.073989 90.601774 7.138825 -0.757013 0.005714 -20.599361 0.155481 -1987.536218 15.001647 -0.742778 0.006509 -20.212009 0.177124 -1950.162421 17.089847
75.770000 75.631411 1 79293 -1.456806 0.008330 -39.641713 0.226669 -3824.843844 21.870238 0.036797 0.002877 1.001311 0.078283 96.611810 7.553194 -0.753858 0.005886 -20.513518 0.160177 -1979.253550 15.454688 -0.739746 0.006882 -20.129506 0.187266 -1942.202102 18.068397
79.040000 78.923995 1 79293 -1.443158 0.008063 -39.270337 0.219403 -3789.011493 21.169180 0.039417 0.003109 1.072579 0.084602 103.488185 8.162884 -0.749835 0.006009 -20.404059 0.163503 -1968.692398 15.775682 -0.732739 0.006760 -19.938857 0.183952 -1923.807282 17.748673
82.610000 82.489852 1 79293 -1.430546 0.008564 -38.927135 0.233034 -3755.897557 22.484392 0.038025 0.003062 1.034726 0.083333 99.835893 8.040455 -0.744640 0.006266 -20.262698 0.170493 -1955.053165 16.450095 -0.723931 0.007202 -19.699163 0.195966 -1900.680281 18.907875
86.510000 86.379219 1 79293 -1.418834 0.009054 -38.608439 0.246380 -3725.148035 23.772098 0.042439 0.003721 1.154830 0.101263 111.424123 9.770373 -0.741817 0.006424 -20.185865 0.174816 -1947.639870 16.867152 -0.719456 0.007473 -19.577404 0.203345 -1888.932285 19.619821
90.810000 91.516255 3 163612 -1.403912 0.060589 -38.202378 1.648705 -3685.969143 159.075850 0.046739 0.017566 1.271835 0.478007 122.713395 46.120698 -0.737432 0.012086 -20.066550 0.328867 -1936.127777 31.730805 -0.713218 0.034512 -19.407663 0.939120 -1872.554763 90.611294
95.550000 96.083448 10 792928 -1.388327 0.054792 -37.778292 1.490973 -3645.051009 143.857003 0.048601 0.015724 1.322500 0.427869 127.601891 41.283111 -0.731996 0.011287 -19.918628 0.307124 -1921.855468 29.632962 -0.704932 0.031302 -19.182164 0.851782 -1850.797429 82.184462
