# Relaxation time analysis from F(k,t) using F/F0 = 0.1 criterion
# Converted from 1/e table: /scratch/mh7373/projects/cav-hoomd/average_trajectory/relaxation_times_vs_temperature.txt
# Conversion: tau_0.1 = tau_1e * (-ln(0.1))^(1/beta) with beta=0.55 (factor=4.555898)
# Anchored: tau(100.82 K) set to 178.270000 ps (scale=1.347014 after KWW conversion)
# Temperature(K) 1/T(1/K) tau_relax(ps) F_initial F_final_norm decay_extent method success
65.00 0.015385 24962.859079 767.773420 -0.024200 1.024200 interpolated True
67.39 0.014839 15363.573388 761.487018 0.006239 0.993761 interpolated True
69.97 0.014292 7885.599442 772.677954 -0.017698 1.017698 interpolated True
72.75 0.013746 5689.548250 772.087496 0.025083 0.974917 interpolated True
75.77 0.013198 3002.250498 764.649087 0.026928 0.973072 interpolated True
79.04 0.012652 1577.467192 755.385755 0.039519 0.960481 interpolated True
82.61 0.012105 969.272254 760.920559 0.022374 0.977626 interpolated True
86.51 0.011559 585.893165 742.084175 -0.021463 1.021463 interpolated True
90.81 0.011012 442.593542 742.888880 -0.013146 1.013146 interpolated True
95.55 0.010466 268.190389 731.240621 -0.014046 1.014046 interpolated True
100.82 0.009919 178.270000 721.557296 -0.036490 1.036490 interpolated True
106.70 0.009372 128.600908 715.493014 -0.044399 1.044399 interpolated True
113.30 0.008826 90.370681 711.081768 0.008863 0.991137 interpolated True
120.78 0.008280 65.700977 702.484881 -0.007556 1.007556 interpolated True
129.32 0.007733 47.480259 697.494948 0.044177 0.955823 interpolated True
139.15 0.007186 35.355895 693.920622 -0.061993 1.061993 interpolated True
150.61 0.006640 27.033867 690.662968 0.017428 0.982572 interpolated True
164.12 0.006093 20.263409 687.593746 -0.001086 1.001086 interpolated True
180.29 0.005547 15.381593 685.913294 0.014722 0.985278 interpolated True
200.00 0.005000 11.639306 683.392276 0.026329 0.973671 interpolated True
