# Energy tracking
# Output period: 100 steps
# Max timesteps: 29444
# timestep time(ps) kinetic_energy cavity_energy lj_energy temperature total_energy
100 0.003328 0.376443 0.001330 -0.717280 158.169257 -0.339507
200 0.008058 0.272047 0.000002 -0.718807 114.305306 -0.446758
300 0.012480 0.288005 0.001378 -0.715813 121.010488 -0.426431
400 0.017557 0.370171 0.000215 -0.712268 155.534094 -0.341882
500 0.024913 0.366514 0.000006 -0.709288 153.997646 -0.342768
600 0.033401 0.299703 0.000023 -0.705924 125.925439 -0.406199
700 0.041065 0.269599 0.000035 -0.698773 113.276736 -0.429139
800 0.049114 0.254468 0.000100 -0.699002 106.919415 -0.444433
900 0.057876 0.249890 0.000030 -0.694226 104.995824 -0.444306
1000 0.067444 0.339055 0.000175 -0.694533 142.460004 -0.355303
1100 0.079934 0.271471 0.001219 -0.696026 114.063527 -0.423336
1200 0.091467 0.280457 0.000040 -0.695939 117.838889 -0.415442
1300 0.103672 0.341908 0.001207 -0.694011 143.659002 -0.350896
1400 0.119193 0.299161 0.000840 -0.697379 125.697809 -0.397377
1500 0.133116 0.347510 0.000033 -0.695934 146.012654 -0.348390
1600 0.150409 0.207552 0.000090 -0.697393 87.206897 -0.489751
1700 0.163844 0.248655 0.000956 -0.703867 104.476722 -0.454257
1800 0.178848 0.234454 0.001324 -0.708556 98.510244 -0.472777
1900 0.194134 0.237420 0.000937 -0.708909 99.756490 -0.470551
2000 0.209788 0.326002 0.000506 -0.709634 136.975747 -0.383125
2100 0.229148 0.246321 0.001485 -0.705563 103.496151 -0.457757
2200 0.247073 0.326687 0.001101 -0.704901 137.263496 -0.377113
2300 0.268769 0.324827 0.000729 -0.702547 136.481986 -0.376990
2400 0.291213 0.305353 0.000083 -0.700945 128.299692 -0.395508
2500 0.312835 0.303886 0.001264 -0.702954 127.683196 -0.397804
2600 0.335019 0.285571 0.000508 -0.709365 119.987698 -0.423286
2700 0.357064 0.269052 0.000265 -0.711212 113.046968 -0.441895
2800 0.379467 0.252077 0.001264 -0.709889 105.914573 -0.456549
2900 0.402472 0.284326 0.000850 -0.705984 119.464736 -0.420808
3000 0.427173 0.294579 0.000725 -0.705007 123.772557 -0.409704
3100 0.452866 0.282544 0.000953 -0.704808 118.716100 -0.421311
3200 0.479151 0.227277 0.001347 -0.710826 95.494346 -0.482203
3300 0.503577 0.288501 0.001246 -0.711778 121.218714 -0.422032
3400 0.530720 0.256840 0.000850 -0.706935 107.915745 -0.449245
3500 0.557844 0.229630 0.000062 -0.704515 96.483159 -0.474822
3600 0.583532 0.363266 0.000041 -0.702112 152.632951 -0.338804
3700 0.621502 0.249479 0.001183 -0.696346 104.822913 -0.445684
3800 0.649467 0.310386 0.000062 -0.698536 130.414350 -0.388087
3900 0.682006 0.281840 0.000280 -0.700882 118.420148 -0.418762
4000 0.713369 0.342739 0.001036 -0.704306 144.007986 -0.360531
4100 0.750429 0.254720 0.000039 -0.697437 107.025130 -0.442678
4200 0.781197 0.209948 0.000570 -0.701769 88.213234 -0.491251
4300 0.811159 0.279665 0.000930 -0.702639 117.506390 -0.422043
4400 0.845405 0.198884 0.001106 -0.697856 83.564767 -0.497866
4500 0.876354 0.307082 0.000296 -0.703131 129.025925 -0.395753
4600 0.913986 0.346453 0.000897 -0.715706 145.568666 -0.368356
4700 0.956393 0.352122 0.000629 -0.718288 147.950536 -0.365537
4800 1.002526 0.233022 0.000715 -0.717634 97.908368 -0.483897
4900 1.037943 0.208610 0.001168 -0.720854 87.651107 -0.511076
5000 1.071980 0.285567 0.001113 -0.715186 119.986099 -0.428506
5100 1.110881 0.231337 0.000691 -0.714102 97.200467 -0.482074
5200 1.147949 0.301810 0.000681 -0.708549 126.810903 -0.406058
5300 1.190827 0.308345 0.000315 -0.711620 129.556613 -0.402960
5400 1.234345 0.345394 0.000027 -0.715636 145.123316 -0.370216
