# Energy tracking
# Output period: 100 steps
# Max timesteps: 29421
# timestep time(ps) kinetic_energy cavity_energy lj_energy temperature total_energy
100 0.003331 0.380657 0.001370 -0.719871 159.939926 -0.337844
200 0.008145 0.274856 0.000308 -0.722521 115.485781 -0.447357
300 0.012496 0.295730 0.001914 -0.720332 124.256214 -0.422689
400 0.017664 0.372685 0.001669 -0.719366 156.590296 -0.345012
500 0.024918 0.379694 0.000770 -0.718875 159.535443 -0.338410
600 0.033523 0.308881 0.000696 -0.717948 129.781930 -0.408371
700 0.041215 0.270195 0.000782 -0.710230 113.527289 -0.439253
800 0.049077 0.265271 0.000944 -0.711000 111.458556 -0.444785
900 0.057855 0.264399 0.000520 -0.704100 111.092147 -0.439180
1000 0.067328 0.350261 0.000019 -0.701016 147.168456 -0.350736
1100 0.079685 0.270376 0.000296 -0.698098 113.603281 -0.427427
1200 0.090841 0.317355 0.000330 -0.696281 133.342379 -0.378597
1300 0.103866 0.340414 0.000360 -0.695054 143.031246 -0.354279
1400 0.118994 0.313814 0.000896 -0.697383 131.854511 -0.382674
1500 0.133408 0.337645 0.000782 -0.698050 141.867517 -0.359624
1600 0.149895 0.215614 0.001119 -0.699733 90.593904 -0.483000
1700 0.163360 0.269352 0.001030 -0.702204 113.172983 -0.431822
1800 0.178676 0.235576 0.000103 -0.705327 98.981697 -0.469647
1900 0.193802 0.232907 0.000192 -0.707195 97.859876 -0.474096
2000 0.209303 0.302522 0.000628 -0.705535 127.109925 -0.402385
2100 0.227718 0.275103 0.000101 -0.699341 115.589507 -0.424137
2200 0.245779 0.289827 0.000481 -0.694485 121.776147 -0.404177
2300 0.265050 0.217410 0.000837 -0.698473 91.348528 -0.480226
2400 0.283022 0.363094 0.000371 -0.704830 152.560521 -0.341365
2500 0.309458 0.263939 0.000259 -0.709995 110.898754 -0.445796
2600 0.329646 0.226694 0.001036 -0.708676 95.249550 -0.480946
2700 0.349594 0.267885 0.000817 -0.703968 112.556847 -0.435265
2800 0.371472 0.244700 0.000249 -0.696751 102.814954 -0.451802
2900 0.393277 0.232272 0.000287 -0.698978 97.593225 -0.466419
3000 0.415260 0.220745 0.001667 -0.701236 92.750007 -0.478823
3100 0.437451 0.224321 0.001986 -0.703238 94.252318 -0.476931
3200 0.460077 0.274140 0.002030 -0.704954 115.184948 -0.428784
3300 0.484729 0.331695 0.000420 -0.704925 139.367742 -0.372809
3400 0.513389 0.296682 0.001699 -0.698105 124.656107 -0.399724
3500 0.540603 0.364540 0.000766 -0.694071 153.167879 -0.328766
3600 0.576704 0.320405 0.000457 -0.694421 134.623751 -0.373559
3700 0.609185 0.204357 0.000660 -0.696672 85.864117 -0.491655
3800 0.635814 0.279978 0.001361 -0.699051 117.637750 -0.417712
3900 0.666625 0.247591 0.000986 -0.701755 104.029704 -0.453178
4000 0.696196 0.265109 0.001435 -0.706362 111.390174 -0.439818
4100 0.726285 0.324056 0.002332 -0.712227 136.157872 -0.385839
4200 0.761692 0.320171 0.000602 -0.712453 134.525564 -0.391680
4300 0.797739 0.345619 0.001101 -0.712028 145.218095 -0.365308
4400 0.838451 0.255187 0.001176 -0.709633 107.221428 -0.453270
4500 0.872344 0.276757 0.001791 -0.708540 116.284410 -0.429992
4600 0.908050 0.245702 0.000311 -0.711745 103.236321 -0.465731
4700 0.941930 0.316343 0.001954 -0.706257 132.917275 -0.387960
4800 0.982620 0.260457 0.002613 -0.695689 109.435701 -0.432620
4900 1.018966 0.303018 0.001892 -0.697208 127.318660 -0.392298
5000 1.058939 0.226503 0.002297 -0.701775 95.169279 -0.472976
5100 1.093830 0.283462 0.003268 -0.706717 119.101738 -0.419987
5200 1.133051 0.266168 0.001798 -0.698851 111.835233 -0.430885
5300 1.171909 0.318552 0.002092 -0.698530 133.845146 -0.377887
5400 1.217192 0.236218 0.002929 -0.702052 99.251379 -0.462904
5500 1.255743 0.338897 0.002581 -0.701552 142.393678 -0.360074
5600 1.304794 0.266319 0.002507 -0.699161 111.898688 -0.430335
5700 1.345508 0.241958 0.002018 -0.696773 101.663148 -0.452796
5800 1.386369 0.322837 0.004411 -0.693579 135.645681 -0.366331
5900 1.435660 0.324746 0.001603 -0.703693 136.447720 -0.377344
6000 1.483970 0.294991 0.002526 -0.703118 123.945916 -0.405601
6100 1.532219 0.232942 0.005211 -0.701125 97.874824 -0.462973
6200 1.575722 0.261829 0.000340 -0.701798 110.012336 -0.439629
6300 1.621176 0.349062 0.005944 -0.706270 146.664676 -0.351264
6400 1.679045 0.300481 0.011367 -0.702903 126.252514 -0.391056
6500 1.730955 0.256911 0.000288 -0.697803 107.945591 -0.440605
6600 1.777724 0.311812 0.001677 -0.708256 131.013498 -0.394767
6700 1.831128 0.254938 0.002649 -0.706471 107.116831 -0.448883
6800 1.879265 0.336106 0.005925 -0.719403 141.220853 -0.377372
6900 1.935652 0.315486 0.005233 -0.707379 132.557256 -0.386660
7000 1.990725 0.254226 0.000588 -0.701486 106.817453 -0.446672
7100 2.041039 0.261802 0.010262 -0.709380 110.000952 -0.437316
7200 2.093178 0.340006 0.004009 -0.709892 142.859729 -0.365876
7300 2.155215 0.282164 0.003511 -0.707601 118.556266 -0.421926
7400 2.210976 0.245863 0.007485 -0.710200 103.303622 -0.456852
7500 2.263787 0.317147 0.002345 -0.707740 133.254959 -0.388248
7600 2.325684 0.253718 0.008818 -0.713798 106.604208 -0.451261
7700 2.380317 0.312942 0.001607 -0.706134 131.488040 -0.391585
7800 2.442944 0.328187 0.004346 -0.711057 137.893507 -0.378525
7900 2.509773 0.292632 0.004061 -0.720983 122.954655 -0.424290
8000 2.567823 0.233411 0.005841 -0.711332 98.071733 -0.472080
8100 2.621221 0.297205 0.002420 -0.714604 124.876183 -0.414979
8200 2.682058 0.246296 0.004467 -0.704102 103.485686 -0.453339
8300 2.739115 0.238680 0.005125 -0.704154 100.285762 -0.460349
8400 2.794692 0.309595 0.002746 -0.718963 130.081701 -0.406623
8500 2.858578 0.310701 0.000940 -0.726972 130.546609 -0.415331
8600 2.923163 0.292883 0.006001 -0.712748 123.060014 -0.413864
8700 2.987413 0.305167 0.001512 -0.716792 128.221578 -0.410113
8800 3.053325 0.268107 0.005705 -0.706120 112.649926 -0.432309
8900 3.115465 0.302733 0.003244 -0.699435 127.198788 -0.393457
9000 3.183847 0.268012 0.003360 -0.708354 112.609941 -0.436982
9100 3.248254 0.276197 0.003664 -0.706230 116.049277 -0.426369
9200 3.313039 0.282164 0.004093 -0.704765 118.556416 -0.418507
9300 3.379785 0.288938 0.004263 -0.703974 121.402383 -0.410773
9400 3.446239 0.242646 0.007376 -0.703698 101.952027 -0.453676
9500 3.508360 0.292103 0.005082 -0.710294 122.732412 -0.413108
9600 3.576456 0.258343 0.005097 -0.709111 108.547647 -0.445671
9700 3.643366 0.320008 0.000244 -0.716807 134.456910 -0.396555
9800 3.719362 0.273078 0.001692 -0.710519 114.738579 -0.435750
9900 3.787293 0.287613 0.002314 -0.707156 120.845903 -0.417229
10000 3.855839 0.301113 0.003238 -0.710233 126.517958 -0.405882
10100 3.930404 0.299027 0.002164 -0.708772 125.641586 -0.407581
10200 4.003955 0.255340 0.008274 -0.716080 107.285802 -0.452465
10300 4.071893 0.307725 0.003249 -0.724179 129.296383 -0.413205
10400 4.147770 0.258617 0.002213 -0.701255 108.662415 -0.440425
10500 4.218279 0.260154 0.003569 -0.702983 109.308379 -0.439260
10600 4.288501 0.234352 0.008574 -0.698187 98.467210 -0.455260
10700 4.355702 0.291905 0.001727 -0.701716 122.649007 -0.408084
10800 4.431846 0.261638 0.000666 -0.699211 109.932086 -0.436907
10900 4.503607 0.253373 0.004575 -0.710254 106.459239 -0.452306
11000 4.572799 0.291579 0.003455 -0.707106 122.512049 -0.412072
11100 4.649626 0.299783 0.001514 -0.698517 125.959290 -0.397220
11200 4.729835 0.277613 0.002318 -0.709628 116.644080 -0.429698
11300 4.803420 0.252072 0.001171 -0.709342 105.912589 -0.456099
11400 4.875523 0.267573 0.002559 -0.713296 112.425643 -0.443164
11500 4.949468 0.293288 0.000742 -0.702368 123.230340 -0.408338
11600 5.030609 0.261833 0.010572 -0.708329 110.013756 -0.435924
11700 5.107271 0.291528 0.001860 -0.696541 122.490603 -0.403153
11800 5.188052 0.242214 0.005231 -0.698370 101.770624 -0.450925
11900 5.262107 0.282207 0.006544 -0.704158 118.574470 -0.415407
12000 5.343350 0.272927 0.004216 -0.707562 114.675093 -0.430419
12100 5.421965 0.265903 0.002219 -0.711664 111.723779 -0.443543
12200 5.499148 0.302728 0.000795 -0.718194 127.196701 -0.414671
12300 5.583889 0.310552 0.000976 -0.715628 130.484041 -0.404100
12400 5.671551 0.264790 0.006244 -0.709152 111.256414 -0.438118
12500 5.751780 0.249666 0.001612 -0.715355 104.901696 -0.464078
12600 5.829405 0.239389 0.006840 -0.711529 100.583669 -0.465300
12700 5.906316 0.276070 0.005120 -0.706544 115.995739 -0.425354
12800 5.990653 0.288274 0.005887 -0.705969 121.123500 -0.411808
12900 6.077262 0.277778 0.003525 -0.707591 116.713548 -0.426288
13000 6.163378 0.282716 0.000587 -0.710198 118.788063 -0.426895
13100 6.248135 0.282797 0.002219 -0.708020 118.822318 -0.423004
13200 6.334777 0.264397 0.009814 -0.718062 111.091047 -0.443851
13300 6.418004 0.291371 0.010941 -0.715121 122.424952 -0.412809
13400 6.507845 0.276370 0.002758 -0.714779 116.121703 -0.435652
13500 6.592635 0.252675 0.011158 -0.705813 106.165980 -0.441980
13600 6.677423 0.251499 0.008967 -0.704780 105.671728 -0.444314
13700 6.760141 0.298547 0.004816 -0.701052 125.439704 -0.397689
13800 6.852984 0.271986 0.008526 -0.704290 114.280006 -0.423778
13900 6.940264 0.245684 0.007547 -0.704165 103.228418 -0.450934
14000 7.024370 0.263531 0.005195 -0.703249 110.727254 -0.434524
14100 7.110494 0.265317 0.000223 -0.710470 111.477565 -0.444931
14200 7.196411 0.263564 0.006521 -0.725399 110.741271 -0.455314
14300 7.282610 0.254510 0.011783 -0.718159 106.936785 -0.451866
14400 7.368866 0.259447 0.002145 -0.712232 109.011135 -0.450641
14500 7.456698 0.280928 0.009172 -0.714123 118.037007 -0.424023
14600 7.548675 0.259336 0.013439 -0.705247 108.964594 -0.432472
14700 7.637947 0.275305 0.006754 -0.714057 115.674317 -0.431998
14800 7.730093 0.267081 0.008686 -0.717604 112.218954 -0.441837
14900 7.818074 0.270843 0.007729 -0.710034 113.799633 -0.431462
15000 7.910101 0.259309 0.009912 -0.711515 108.953499 -0.442294
15100 7.999571 0.281595 0.011631 -0.711779 118.317061 -0.418553
15200 8.097250 0.291629 0.006195 -0.706543 122.533140 -0.408719
15300 8.196074 0.267468 0.000547 -0.710342 112.381501 -0.442328
15400 8.288822 0.286546 0.002109 -0.724098 120.397375 -0.435444
15500 8.386586 0.248385 0.009864 -0.710270 104.363254 -0.452022
15600 8.477832 0.268784 0.005520 -0.720122 112.934436 -0.445818
15700 8.570634 0.251408 0.001840 -0.720360 105.633581 -0.467111
15800 8.660806 0.302751 0.000238 -0.712205 127.206293 -0.409216
15900 8.763626 0.238440 0.008930 -0.705215 100.184846 -0.457845
16000 8.852807 0.288284 0.003870 -0.700773 121.127716 -0.408619
16100 8.956376 0.248085 0.014406 -0.709426 104.237299 -0.446935
16200 9.050171 0.268339 0.004918 -0.707059 112.747383 -0.433802
16300 9.148478 0.242021 0.003572 -0.707630 101.689435 -0.462037
16400 9.240818 0.257598 0.001798 -0.721060 108.234385 -0.461665
16500 9.333914 0.264581 0.005558 -0.698099 111.168327 -0.427960
16600 9.434561 0.263057 0.004560 -0.711886 110.528121 -0.444269
16700 9.532217 0.241547 0.003731 -0.710478 101.490285 -0.465200
16800 9.626254 0.251413 0.009454 -0.709530 105.635624 -0.448663
16900 9.723634 0.241476 0.000780 -0.706710 101.460631 -0.464453
17000 9.817073 0.242274 0.003160 -0.721625 101.795895 -0.476190
17100 9.910921 0.250320 0.005513 -0.716913 105.176320 -0.461081
17200 10.009400 0.236246 0.012581 -0.708152 99.262874 -0.459326
17300 10.105522 0.273030 0.000040 -0.713767 114.718537 -0.440696
17400 10.205870 0.255864 0.000209 -0.708640 107.505689 -0.452567
17500 10.305206 0.271854 0.002083 -0.713363 114.224186 -0.439426
17600 10.406190 0.228380 0.006161 -0.708799 95.957800 -0.474258
17700 10.500668 0.249801 0.006907 -0.716285 104.958203 -0.459577
17800 10.599984 0.251335 0.009590 -0.721900 105.603009 -0.460976
17900 10.701479 0.275268 0.002847 -0.717439 115.658970 -0.439324
18000 10.808107 0.267570 0.005129 -0.706499 112.424218 -0.433801
18100 10.914162 0.267498 0.002677 -0.712376 112.394244 -0.442200
18200 11.019388 0.254117 0.007357 -0.708718 106.771800 -0.447244
18300 11.125590 0.247076 0.014530 -0.706261 103.813632 -0.444654
18400 11.231648 0.252340 0.004902 -0.705127 106.025233 -0.447885
18500 11.335582 0.257055 0.004664 -0.711012 108.006407 -0.449292
18600 11.438479 0.250348 0.002986 -0.721710 105.188244 -0.468376
18700 11.538209 0.243044 0.009484 -0.707894 102.119219 -0.455366
18800 11.643350 0.244470 0.009949 -0.704534 102.718421 -0.450115
18900 11.744889 0.269418 0.013217 -0.719620 113.200681 -0.436985
19000 11.854475 0.246662 0.003266 -0.710809 103.639268 -0.460882
19100 11.955374 0.253634 0.003257 -0.703825 106.568848 -0.446934
19200 12.058462 0.258936 0.006491 -0.708896 108.796476 -0.443470
19300 12.162822 0.249037 0.002090 -0.713338 104.637355 -0.462212
19400 12.267532 0.252912 0.002669 -0.718086 106.265556 -0.462505
19500 12.371786 0.270098 0.006492 -0.716239 113.486675 -0.439649
19600 12.481900 0.247077 0.001141 -0.710338 103.813750 -0.462121
19700 12.587484 0.246852 0.004616 -0.715684 103.719459 -0.464216
19800 12.692382 0.258173 0.006856 -0.721651 108.476201 -0.456622
19900 12.800958 0.241710 0.004328 -0.715208 101.558691 -0.469170
20000 12.908327 0.249290 0.002645 -0.723121 104.743771 -0.471185
20100 13.016125 0.265526 0.000609 -0.717832 111.565368 -0.451698
20200 13.124784 0.258046 0.002409 -0.722565 108.422713 -0.462110
20300 13.230804 0.248682 0.003997 -0.709602 104.488004 -0.456923
20400 13.338486 0.240550 0.005331 -0.716949 101.071398 -0.471069
20500 13.443248 0.260021 0.000506 -0.723301 109.252382 -0.462774
20600 13.552872 0.237392 0.001190 -0.717403 99.744340 -0.478822
20700 13.658530 0.243672 0.000489 -0.725902 102.383122 -0.481741
20800 13.762236 0.255130 0.002841 -0.715543 107.197285 -0.457573
20900 13.872923 0.238168 0.005716 -0.718496 100.070459 -0.474612
21000 13.980512 0.250359 0.004819 -0.724351 105.192916 -0.469173
21100 14.092125 0.235248 0.003297 -0.713470 98.843672 -0.474925
21200 14.199516 0.239436 0.001458 -0.716766 100.603432 -0.475872
21300 14.307704 0.240508 0.003249 -0.706446 101.053942 -0.462688
21400 14.416159 0.258786 0.003777 -0.721963 108.733751 -0.459400
21500 14.526631 0.256438 0.000897 -0.708725 107.746946 -0.451390
21600 14.641356 0.254501 0.002725 -0.717896 106.933032 -0.460670
21700 14.754831 0.250153 0.002905 -0.714433 105.106455 -0.461375
21800 14.866136 0.256965 0.001661 -0.713558 107.968513 -0.454932
21900 14.979600 0.234563 0.000823 -0.714735 98.555695 -0.479349
22000 15.086770 0.245050 0.001036 -0.714367 102.962018 -0.468282
22100 15.196809 0.256650 0.007385 -0.711173 107.835990 -0.447138
22200 15.311242 0.236366 0.004374 -0.717815 99.313499 -0.477075
22300 15.418152 0.229630 0.004229 -0.710844 96.483360 -0.476984
22400 15.524202 0.238008 0.008653 -0.705094 100.003160 -0.458433
22500 15.632246 0.247411 0.012275 -0.716510 103.953992 -0.456825
22600 15.742429 0.272268 0.001901 -0.717947 114.398476 -0.443778
22700 15.859230 0.244095 0.005698 -0.713185 102.560865 -0.463392
22800 15.973637 0.252855 0.006783 -0.713841 106.241515 -0.454204
22900 16.086629 0.243495 0.001591 -0.707594 102.308934 -0.462508
23000 16.198670 0.241627 0.002926 -0.711556 101.524065 -0.467002
23100 16.312881 0.244806 0.002193 -0.717150 102.859830 -0.470151
23200 16.422273 0.261538 0.001128 -0.711021 109.889998 -0.448355
23300 16.541619 0.252119 0.002663 -0.721917 105.932216 -0.467135
23400 16.658947 0.251249 0.001916 -0.715592 105.566935 -0.462427
23500 16.773268 0.244698 0.001472 -0.717329 102.814125 -0.471159
23600 16.886590 0.234647 0.002003 -0.714178 98.591011 -0.477529
23700 16.997036 0.263151 0.004163 -0.719622 110.567792 -0.452307
23800 17.114979 0.247341 0.002780 -0.711895 103.924870 -0.461773
23900 17.231301 0.259819 0.003308 -0.716647 109.167641 -0.453520
24000 17.346952 0.236187 0.002408 -0.710314 99.238406 -0.471718
24100 17.458079 0.259112 0.002726 -0.713974 108.870701 -0.452135
24200 17.576590 0.251015 0.004154 -0.717186 105.468306 -0.462017
24300 17.693586 0.244863 0.004615 -0.713573 102.883705 -0.464095
24400 17.808893 0.245995 0.004100 -0.708466 103.359281 -0.458370
24500 17.924094 0.252307 0.004520 -0.717953 106.011126 -0.461126
24600 18.043102 0.247314 0.002174 -0.711819 103.913263 -0.462331
24700 18.159444 0.260399 0.003476 -0.715458 109.411334 -0.451583
