# Cavity mode energy data
# time(ps) timestep cavity_ke(a.u.) cavity_pe_harmonic(a.u.) cavity_total_energy(a.u.) cavity_temperature(K) cavity_pos_x cavity_pos_y cavity_pos_z cavity_vel_x cavity_vel_y cavity_vel_z
0.000000 1 0.000826 17.283608 17.284434 173.825890 447.993030 695.341135 2.046019 -0.034059 -0.011326 0.019058
0.000000 2 0.000848 17.229758 17.230606 178.483549 446.545598 694.736684 2.730930 -0.034432 -0.017811 0.013892
0.001000 3 0.000805 17.167849 17.168653 169.367113 445.146118 693.868458 3.194651 -0.031552 -0.023457 0.007960
0.002000 4 0.000718 17.103195 17.103912 151.078692 443.936758 692.797184 3.389103 -0.025790 -0.027727 0.001234
0.003000 5 0.000653 17.039791 17.040444 137.520767 443.013770 691.575926 3.296647 -0.018347 -0.030596 -0.005818
0.004000 6 0.000634 16.980768 16.981402 133.486904 442.419775 690.267413 2.908054 -0.010576 -0.031674 -0.012375
0.005000 7 0.000646 16.928763 16.929409 136.038174 442.139318 688.956999 2.273451 -0.003646 -0.030947 -0.017930
0.006000 8 0.000644 16.884803 16.885446 135.490377 442.118353 687.708641 1.425516 0.001893 -0.028449 -0.021780
0.007000 9 0.000583 16.850400 16.850983 122.698090 442.295840 686.604787 0.472588 0.005144 -0.023899 -0.023835
0.008000 10 0.000466 16.825705 16.826171 98.054076 442.543650 685.732590 -0.545259 0.005389 -0.017799 -0.024203
0.009000 11 0.000303 16.809421 16.809724 63.711200 442.741442 685.133134 -1.528558 0.003038 -0.009945 -0.022298
0.010000 12 0.000174 16.802990 16.803164 36.646594 442.794844 684.910327 -2.388902 -0.001248 -0.000530 -0.018610
0.011000 13 0.000161 16.805776 16.805937 33.789705 442.638270 685.089343 -3.067306 -0.006141 0.010064 -0.013492
0.012000 14 0.000303 16.820615 16.820918 63.728051 442.287055 685.742480 -3.504435 -0.010620 0.021138 -0.006772
0.013000 15 0.000567 16.846825 16.847392 119.442069 441.760170 686.837116 -3.627269 -0.013824 0.030700 0.001118
0.014000 16 0.000855 16.883195 16.884050 179.995704 441.144053 688.280810 -3.411973 -0.015314 0.037435 0.008617
0.015000 17 0.001061 16.926136 16.927196 223.258692 440.493989 689.932345 -2.914805 -0.014309 0.041071 0.015153
0.016000 18 0.001096 16.975063 16.976159 230.698373 439.960966 691.676680 -2.159097 -0.010762 0.040797 0.020289
0.017000 19 0.000937 17.024043 17.024980 197.200352 439.604137 693.305558 -1.237262 -0.005671 0.035838 0.023603
0.018000 20 0.000687 17.068299 17.068986 144.524572 439.492083 694.639860 -0.207569 0.000819 0.027344 0.024995
0.019000 21 0.000457 17.104848 17.105305 96.289116 439.671846 695.566456 0.829392 0.007603 0.016468 0.024205
0.020000 22 0.000321 17.130178 17.130499 67.486656 440.120696 696.001451 1.793727 0.012942 0.004210 0.021353
0.021000 23 0.000300 17.141035 17.141336 63.239219 440.741947 695.914552 2.594944 0.015790 -0.008181 0.016869
0.022000 24 0.000371 17.135654 17.136025 78.085765 441.426280 695.325031 3.188533 0.015622 -0.019467 0.010905
0.023000 25 0.000464 17.113453 17.113917 97.619132 442.033586 694.305006 3.496573 0.011998 -0.027750 0.003666
0.024000 26 0.000546 17.077384 17.077929 114.882684 442.418308 693.030551 3.491680 0.004771 -0.032475 -0.003753
0.025000 27 0.000638 17.028208 17.028846 134.336927 442.428102 691.619853 3.186271 -0.005070 -0.033635 -0.010924
0.026000 28 0.000774 16.970703 16.971477 162.901760 441.999138 690.249541 2.588424 -0.016358 -0.031227 -0.017464
0.027000 29 0.000996 16.907792 16.908788 209.755317 441.075596 689.037878 1.742288 -0.028275 -0.026500 -0.022162
0.028000 30 0.001274 16.842192 16.843466 268.271396 439.661261 688.058442 0.756034 -0.038911 -0.020399 -0.024873
0.029000 31 0.001513 16.777642 16.779154 318.394737 437.858367 687.351191 -0.314301 -0.046588 -0.014342 -0.025474
0.030000 32 0.001598 16.715848 16.717445 336.285984 435.809253 686.872588 -1.350260 -0.050454 -0.009394 -0.023690
0.031000 33 0.001458 16.658969 16.660427 306.851686 433.686721 686.574479 -2.273095 -0.049785 -0.006324 -0.019922
0.032000 34 0.001090 16.607684 16.608774 229.383067 431.692928 686.349669 -2.997489 -0.044190 -0.005053 -0.014179
0.033000 35 0.000621 16.564931 16.565552 130.635282 430.032935 686.156689 -3.445450 -0.034165 -0.004798 -0.007136
0.034000 36 0.000236 16.532622 16.532858 49.753724 428.868108 685.952949 -3.587537 -0.021099 -0.005227 0.000449
0.035000 37 0.000065 16.512122 16.512187 13.692150 428.288377 685.724490 -3.408338 -0.006271 -0.005375 0.007866
0.036000 38 0.000144 16.505892 16.506036 30.363983 428.349615 685.508562 -2.937128 0.008211 -0.004170 0.014272
0.037000 39 0.000400 16.514713 16.515112 84.125731 428.967247 685.379700 -2.228301 0.020577 -0.000695 0.019375
0.038000 40 0.000719 16.540622 16.541341 151.304476 430.050998 685.451105 -1.335188 0.029493 0.005262 0.023238
0.039000 41 0.000973 16.582660 16.583633 204.809317 431.405838 685.814797 -0.306935 0.033834 0.012999 0.025144
0.040000 42 0.001082 16.638819 16.639900 227.703099 432.848447 686.525908 0.743767 0.033058 0.021628 0.024553
0.041000 43 0.001059 16.704536 16.705595 223.018742 434.139133 687.603031 1.723167 0.027349 0.030032 0.021656
0.042000 44 0.000948 16.774830 16.775778 199.584233 435.109740 689.009053 2.534379 0.017514 0.036106 0.016908
0.043000 45 0.000796 16.840455 16.841251 167.556515 435.587215 690.588377 3.121152 0.004515 0.038104 0.010939
0.044000 46 0.000674 16.893097 16.893770 141.799446 435.483016 692.159590 3.438855 -0.009426 0.035210 0.004314
0.045000 47 0.000621 16.925168 16.925789 130.717379 434.807854 693.499678 3.477833 -0.022677 0.026865 -0.002445
0.046000 48 0.000730 16.929701 16.930431 153.666829 433.608052 694.380879 3.236692 -0.034410 0.013672 -0.009435
0.047000 49 0.001051 16.902389 16.903440 221.300428 431.962735 694.630085 2.697707 -0.042906 -0.002921 -0.015911
0.048000 50 0.001523 16.843662 16.845185 320.532962 430.060494 694.139396 1.921151 -0.046915 -0.020496 -0.020597
0.049000 51 0.002053 16.758553 16.760606 432.176304 428.083641 692.935381 0.994713 -0.046954 -0.036855 -0.023306
0.050000 52 0.002470 16.652967 16.655437 519.917246 426.178213 691.092163 -0.005871 -0.043453 -0.049803 -0.023902
0.051000 53 0.002576 16.537444 16.540021 542.356215 424.490864 688.817545 -0.981538 -0.036688 -0.057459 -0.022480
0.052000 54 0.002314 16.422664 16.424978 487.048301 423.144748 686.341278 -1.864592 -0.027738 -0.058977 -0.019488
0.053000 55 0.001705 16.319438 16.321143 358.995050 422.197450 683.941157 -2.592853 -0.018275 -0.053459 -0.014796
0.054000 56 0.000948 16.237794 16.238742 199.538250 421.633701 681.921115 -3.087990 -0.009431 -0.041654 -0.008474
0.055000 57 0.000335 16.184217 16.184552 70.442679 421.417654 680.497083 -3.293481 -0.002151 -0.025723 -0.001728
0.056000 58 0.000048 16.160870 16.160918 10.005228 421.455859 679.794278 -3.230830 0.002340 -0.008247 0.004644
0.057000 59 0.000102 16.164845 16.164947 21.373091 421.611115 679.815192 -2.909466 0.003591 0.008416 0.010925
0.058000 60 0.000395 16.190978 16.191373 83.210241 421.752783 680.490111 -2.327558 0.002208 0.022547 0.016654
0.059000 61 0.000747 16.232695 16.233442 157.302351 421.793638 681.679413 -1.532470 -0.001483 0.032419 0.021007
0.060000 62 0.000994 16.280575 16.281568 209.152988 421.630147 683.170639 -0.590611 -0.006732 0.037336 0.023407
0.061000 63 0.001053 16.327343 16.328397 221.757749 421.237022 684.766433 0.402886 -0.012211 0.037468 0.023536
0.062000 64 0.000925 16.366300 16.367225 194.690645 420.620511 686.268597 1.355443 -0.016806 0.033265 0.021466
0.063000 65 0.000687 16.393278 16.393965 144.547339 419.847431 687.516837 2.177725 -0.019614 0.026186 0.017405
0.064000 66 0.000438 16.407241 16.407680 92.215610 418.998774 688.433721 2.794537 -0.020545 0.017576 0.012047
0.065000 67 0.000252 16.407984 16.408236 53.026661 418.148721 688.970066 3.173813 -0.019486 0.009321 0.006103
0.066000 68 0.000140 16.400099 16.400239 29.394740 417.387656 689.204383 3.299136 -0.016499 0.002626 -0.000424
0.067000 69 0.000102 16.386767 16.386869 21.534494 416.784575 689.187213 3.138732 -0.012197 -0.001906 -0.007225
0.068000 70 0.000126 16.373283 16.373409 26.480519 416.379185 689.046829 2.701731 -0.007170 -0.003845 -0.013616
0.069000 71 0.000187 16.363081 16.363267 39.278145 416.191745 688.869338 2.012901 -0.002609 -0.004098 -0.018697
0.070000 72 0.000250 16.356804 16.357053 52.532042 416.163489 688.708008 1.155798 0.000414 -0.003728 -0.022024
0.071000 73 0.000288 16.352974 16.353262 60.690796 416.225937 688.561137 0.191924 0.001089 -0.003580 -0.023720
0.072000 74 0.000283 16.348383 16.348665 59.503040 416.253540 688.412005 -0.805406 -0.001192 -0.004346 -0.023346
0.073000 75 0.000254 16.338480 16.338734 53.425433 416.127419 688.201771 -1.738375 -0.006411 -0.006705 -0.020531
0.074000 76 0.000281 16.318110 16.318391 59.085920 415.723430 687.857633 -2.502992 -0.013958 -0.010992 -0.015675
0.075000 77 0.000451 16.282827 16.283278 94.985855 414.973329 687.292907 -3.034465 -0.022966 -0.016849 -0.009547
0.076000 78 0.000793 16.230069 16.230862 167.020980 413.824569 686.464478 -3.292333 -0.032153 -0.023334 -0.002930
0.077000 79 0.001228 16.160410 16.161638 258.396691 412.314827 685.363605 -3.276698 -0.040216 -0.028727 0.003529
0.078000 80 0.001623 16.078548 16.080171 341.700955 410.499394 684.089253 -3.000519 -0.046305 -0.031640 0.010062
0.079000 81 0.001819 15.990494 15.992313 382.883338 408.486182 682.747524 -2.444773 -0.049052 -0.031342 0.015793
0.080000 82 0.001731 15.905302 15.907033 364.480897 406.443674 681.497829 -1.694730 -0.048180 -0.027299 0.019908
0.081000 83 0.001398 15.830817 15.832215 294.181721 404.502492 680.490351 -0.798715 -0.043483 -0.019794 0.022637
0.082000 84 0.000943 15.775446 15.776390 198.590185 402.848350 679.861199 0.176920 -0.035099 -0.009767 0.023653
0.083000 85 0.000556 15.743992 15.744548 117.010423 401.600427 679.682772 1.157012 -0.024287 0.002003 0.022756
0.084000 86 0.000377 15.740472 15.740849 79.361919 400.840199 680.026797 2.058432 -0.012252 0.014336 0.019960
0.085000 87 0.000426 15.764369 15.764795 89.635180 400.587433 680.868108 2.807350 -0.000216 0.024765 0.015436
0.086000 88 0.000616 15.810738 15.811354 129.605342 400.822331 682.074416 3.334760 0.010439 0.032184 0.009307
0.087000 89 0.000821 15.873695 15.874517 172.912010 401.450523 683.529157 3.576862 0.018895 0.035800 0.002047
0.088000 90 0.000931 15.944689 15.945621 196.049004 402.384638 685.034433 3.504020 0.023941 0.035517 -0.005290
0.089000 91 0.000880 16.015500 16.016380 185.193348 403.430062 686.465840 3.139497 0.024483 0.031938 -0.011836
0.090000 92 0.000693 16.077366 16.078059 145.860869 404.408976 687.675124 2.525415 0.020583 0.025568 -0.017562
0.091000 93 0.000485 16.123515 16.124001 102.146485 405.131907 688.579900 1.687404 0.012572 0.018032 -0.022074
