# Dipole autocorrelation data
# t0(ps) t(ps) C(t)
# Started at time 0.0 ps
0.000000 0.000000 1855.355771
0.000000 0.000000 1855.355771
0.000000 0.001000 1855.846458
0.000000 0.002000 1855.833790
0.000000 0.003000 1855.286596
0.000000 0.004000 1854.276175
0.000000 0.005000 1852.960128
0.000000 0.006000 1851.547482
0.000000 0.007000 1850.256052
0.000000 0.008000 1849.268091
0.000000 0.009000 1848.696694
0.000000 0.010000 1848.565027
0.000000 0.011000 1848.800467
0.000000 0.012000 1849.257304
0.000000 0.013000 1849.747624
0.000000 0.014000 1850.090308
0.000000 0.015000 1850.149044
0.000000 0.016000 1849.860012
0.000000 0.017000 1849.238912
0.000000 0.018000 1848.380097
0.000000 0.019000 1847.427235
0.000000 0.020000 1846.536573
0.000000 0.021000 1845.843593
0.000000 0.022000 1845.429331
0.000000 0.023000 1845.299789
0.000000 0.024000 1845.381055
0.000000 0.025000 1845.532704
0.000000 0.026000 1845.582749
0.000000 0.027000 1845.362087
0.000000 0.028000 1844.748796
0.000000 0.029000 1843.696871
0.000000 0.030000 1842.250373
0.000000 0.031000 1840.541250
0.000000 0.032000 1838.758100
0.000000 0.033000 1837.111572
0.000000 0.034000 1835.787331
0.000000 0.035000 1834.907957
0.000000 0.036000 1834.504304
0.000000 0.037000 1834.504565
0.000000 0.038000 1834.748531
0.000000 0.039000 1835.016871
0.000000 0.040000 1835.081120
0.000000 0.041000 1834.752593
0.000000 0.042000 1833.926888
0.000000 0.043000 1832.610843
0.000000 0.044000 1830.929749
0.000000 0.045000 1829.102743
0.000000 0.046000 1827.398024
0.000000 0.047000 1826.076506
0.000000 0.048000 1825.331795
0.000000 0.049000 1825.239788
0.000000 0.050000 1825.734144
0.000000 0.051000 1826.611411
0.000000 0.052000 1827.557119
0.000000 0.053000 1828.204291
0.000000 0.054000 1828.201409
0.000000 0.055000 1827.283002
0.000000 0.056000 1825.331704
0.000000 0.057000 1822.412063
0.000000 0.058000 1818.771351
0.000000 0.059000 1814.801513
0.000000 0.060000 1810.972098
0.000000 0.061000 1807.752419
0.000000 0.062000 1805.533247
0.000000 0.063000 1804.549055
0.000000 0.064000 1804.838377
0.000000 0.065000 1806.232721
0.000000 0.066000 1808.385918
