# Combined potential and kinetic energy contributions (all total/extensive quantities)
# time(ps) timestep harmonic_energy lj_energy coulomb_short_energy coulomb_long_energy cavity_harmonic_energy cavity_coupling_energy cavity_dipole_self_energy cavity_total_potential_energy molecular_kinetic_energy cavity_mode_kinetic_energy molecular_reservoir_energy cavity_reservoir_energy molecular_bussi_translational_energy molecular_bussi_rotational_energy total_potential_energy total_kinetic_energy universe_total_energy
0.000000 1 0.195637 -0.716387 -0.338544 -0.399821 17.283608 -34.420120 17.136960 0.000000 0.246831 0.000826 -0.000017 0.000003 -0.000017 0.000000 -1.259115 0.247657 -1.011473
0.000000 2 0.165946 -0.715816 -0.338864 -0.400061 17.229758 -34.375608 17.146267 0.000000 0.275210 0.000848 -0.000026 -0.000026 -0.000026 0.000000 -1.288795 0.276057 -1.012789
0.001000 3 0.107495 -0.715597 -0.338888 -0.400048 17.167849 -34.309532 17.142205 0.000000 0.331025 0.000805 -0.000193 -0.000042 -0.000193 0.000000 -1.347038 0.331830 -1.015444
0.002000 4 0.059554 -0.715673 -0.338642 -0.399796 17.103195 -34.227069 17.124517 0.000000 0.376583 0.000718 -0.000255 -0.000056 -0.000255 0.000000 -1.394556 0.377300 -1.017567
0.003000 5 0.052926 -0.715949 -0.338192 -0.399357 17.039791 -34.134315 17.095197 0.000000 0.383006 0.000653 -0.000672 -0.000067 -0.000672 0.000000 -1.400572 0.383659 -1.017652
0.004000 6 0.088859 -0.716330 -0.337640 -0.398809 16.980768 -34.038328 17.058129 0.000000 0.348470 0.000634 -0.000811 -0.000058 -0.000811 0.000000 -1.363920 0.349104 -1.015684
0.005000 7 0.139243 -0.716736 -0.337098 -0.398242 16.928763 -33.946714 17.018330 0.000000 0.299913 0.000646 -0.000786 -0.000057 -0.000786 0.000000 -1.312832 0.300559 -1.013117
0.006000 8 0.167803 -0.717098 -0.336666 -0.397741 16.884803 -33.865639 16.981046 0.000000 0.272182 0.000644 -0.000842 -0.000036 -0.000842 0.000000 -1.283702 0.272826 -1.011754
0.007000 9 0.156409 -0.717342 -0.336420 -0.397368 16.850400 -33.801043 16.950809 0.000000 0.282604 0.000583 -0.000971 -0.000037 -0.000971 0.000000 -1.294721 0.283187 -1.012542
0.008000 10 0.117384 -0.717390 -0.336393 -0.397156 16.825705 -33.756127 16.930723 0.000000 0.319548 0.000466 -0.001219 -0.000052 -0.001219 0.000000 -1.333555 0.320013 -1.014813
0.009000 11 0.083169 -0.717175 -0.336577 -0.397106 16.809421 -33.730837 16.921997 0.000000 0.351469 0.000303 -0.000928 -0.000054 -0.000928 0.000000 -1.367689 0.351772 -1.016899
0.010000 12 0.081150 -0.716670 -0.336925 -0.397192 16.802990 -33.725869 16.923758 0.000000 0.353081 0.000174 -0.000857 -0.000066 -0.000857 0.000000 -1.369637 0.353255 -1.017305
0.011000 13 0.112930 -0.715912 -0.337365 -0.397370 16.805776 -33.738172 16.933458 0.000000 0.322840 0.000161 -0.001020 -0.000078 -0.001020 0.000000 -1.337716 0.323001 -1.015813
0.012000 14 0.153071 -0.714993 -0.337810 -0.397591 16.820615 -33.767023 16.947438 0.000000 0.284581 0.000303 -0.001075 -0.000084 -0.001075 0.000000 -1.297324 0.284884 -1.013598
0.013000 15 0.168425 -0.714032 -0.338183 -0.397809 16.846825 -33.807905 16.961873 0.000000 0.269815 0.000567 -0.001058 -0.000076 -0.001058 0.000000 -1.281599 0.270383 -1.012351
0.014000 16 0.143675 -0.713121 -0.338427 -0.397985 16.883195 -33.856249 16.973532 0.000000 0.293161 0.000855 -0.001128 -0.000060 -0.001128 0.000000 -1.305858 0.294016 -1.013030
0.015000 17 0.093943 -0.712301 -0.338517 -0.398101 16.926136 -33.906211 16.980338 0.000000 0.339678 0.001061 -0.000866 -0.000070 -0.000866 0.000000 -1.354975 0.340739 -1.015173
0.016000 18 0.054645 -0.711556 -0.338467 -0.398154 16.975063 -33.956375 16.981579 0.000000 0.375857 0.001096 -0.000527 -0.000048 -0.000527 0.000000 -1.393532 0.376953 -1.017154
0.017000 19 0.055892 -0.710843 -0.338326 -0.398166 17.024043 -34.001507 16.977964 0.000000 0.373389 0.000937 -0.000392 -0.000030 -0.000392 0.000000 -1.391444 0.374326 -1.017539
0.018000 20 0.100010 -0.710129 -0.338167 -0.398175 17.068299 -34.038605 16.971143 0.000000 0.330040 0.000687 -0.000250 -0.000028 -0.000250 0.000000 -1.346461 0.330726 -1.016013
0.019000 21 0.158730 -0.709402 -0.338069 -0.398225 17.104848 -34.066849 16.963105 0.000000 0.273198 0.000457 -0.000333 -0.000038 -0.000333 0.000000 -1.286966 0.273656 -1.013682
0.020000 22 0.192486 -0.708664 -0.338100 -0.398352 17.130178 -34.084637 16.955636 0.000000 0.240229 0.000321 -0.000114 -0.000035 -0.000114 0.000000 -1.252630 0.240550 -1.012229
0.021000 23 0.178294 -0.707910 -0.338300 -0.398571 17.141035 -34.089741 16.949766 0.000000 0.253735 0.000300 -0.000281 -0.000042 -0.000281 0.000000 -1.266487 0.254035 -1.012776
0.022000 24 0.126011 -0.707119 -0.338670 -0.398867 17.135654 -34.080204 16.945418 0.000000 0.303875 0.000371 -0.000489 -0.000047 -0.000489 0.000000 -1.318645 0.304246 -1.014935
0.023000 25 0.071407 -0.706266 -0.339170 -0.399195 17.113453 -34.054030 16.941326 0.000000 0.356034 0.000464 -0.000444 -0.000031 -0.000444 0.000000 -1.373224 0.356497 -1.017201
0.024000 26 0.050803 -0.705350 -0.339728 -0.399493 17.077384 -34.011854 16.935264 0.000000 0.375636 0.000546 -0.000396 -0.000040 -0.000396 0.000000 -1.393767 0.376182 -1.018021
0.025000 27 0.075830 -0.704413 -0.340252 -0.399692 17.028208 -33.951928 16.924670 0.000000 0.352089 0.000638 -0.000983 -0.000036 -0.000983 0.000000 -1.368528 0.352727 -1.016819
0.026000 28 0.126089 -0.703548 -0.340652 -0.399734 16.970703 -33.876910 16.907279 0.000000 0.303704 0.000774 -0.001111 -0.000046 -0.001111 0.000000 -1.317845 0.304478 -1.014524
0.027000 29 0.164752 -0.702859 -0.340852 -0.399585 16.907792 -33.788679 16.881898 0.000000 0.266074 0.000996 -0.001214 -0.000056 -0.001214 0.000000 -1.278544 0.267071 -1.012743
0.028000 30 0.165569 -0.702418 -0.340809 -0.399238 16.842192 -33.690333 16.848879 0.000000 0.264580 0.001274 -0.001570 -0.000066 -0.001570 0.000000 -1.276896 0.265855 -1.012677
