# Molecular kinetic energy data (excluding photon particle)
# time(ps) timestep kinetic_energy(a.u.) temperature(K) avg_vel_magnitude(a.u.)
0.000000 1 0.246831 103.917872 0.000171
0.000000 2 0.275210 115.865497 0.000180
0.001000 3 0.331025 139.364313 0.000194
0.002000 4 0.376583 158.544483 0.000204
0.003000 5 0.383006 161.248671 0.000206
0.004000 6 0.348470 146.708724 0.000200
0.005000 7 0.299913 126.265784 0.000188
0.006000 8 0.272182 114.590853 0.000179
0.007000 9 0.282604 118.978552 0.000183
0.008000 10 0.319548 134.532187 0.000191
0.009000 11 0.351469 147.971527 0.000196
0.010000 12 0.353081 148.649963 0.000196
0.011000 13 0.322840 135.918407 0.000191
0.012000 14 0.284581 119.811036 0.000184
0.013000 15 0.269815 113.594554 0.000179
0.014000 16 0.293161 123.423283 0.000186
0.015000 17 0.339678 143.007440 0.000198
0.016000 18 0.375857 158.238871 0.000204
0.017000 19 0.373389 157.199858 0.000202
0.018000 20 0.330040 138.949484 0.000192
0.019000 21 0.273198 115.018831 0.000178
0.020000 22 0.240229 101.138479 0.000168
0.021000 23 0.253735 106.824394 0.000173
0.022000 24 0.303875 127.933843 0.000187
0.023000 25 0.356034 149.893128 0.000198
0.024000 26 0.375636 158.145932 0.000203
0.025000 27 0.352089 148.232245 0.000199
0.026000 28 0.303704 127.861880 0.000189
0.027000 29 0.266074 112.019528 0.000177
0.028000 30 0.264580 111.390524 0.000177
0.029000 31 0.296219 124.710544 0.000185
0.030000 32 0.333188 140.274934 0.000191
0.031000 33 0.345903 145.628149 0.000193
0.032000 34 0.323521 136.205227 0.000189
0.033000 35 0.283111 119.192058 0.000182
0.034000 36 0.256904 108.158895 0.000175
0.035000 37 0.267474 112.608731 0.000179
0.036000 38 0.310477 130.713505 0.000191
0.037000 39 0.355174 149.531159 0.000200
0.038000 40 0.367699 154.804501 0.000200
0.039000 41 0.336184 141.536276 0.000193
0.040000 42 0.279247 117.565359 0.000180
0.041000 43 0.234649 98.789129 0.000167
0.042000 44 0.232027 97.685198 0.000166
0.043000 45 0.272668 114.795543 0.000179
0.044000 46 0.327995 138.088484 0.000192
0.045000 47 0.360365 151.716600 0.000199
0.046000 48 0.349333 147.072245 0.000197
0.047000 49 0.305039 128.423900 0.000188
0.048000 50 0.260108 109.507830 0.000176
0.049000 51 0.246097 103.608842 0.000171
0.050000 52 0.269501 113.462056 0.000179
0.051000 53 0.308944 130.067913 0.000186
0.052000 54 0.332475 139.974631 0.000189
0.053000 55 0.321245 135.246677 0.000188
0.054000 56 0.284258 119.674977 0.000182
0.055000 57 0.250760 105.571927 0.000174
0.056000 58 0.248912 104.794010 0.000173
0.057000 59 0.283135 119.202288 0.000184
0.058000 60 0.329913 138.896107 0.000194
0.059000 61 0.354821 149.382567 0.000197
0.060000 62 0.337638 142.148516 0.000193
0.061000 63 0.286363 120.561346 0.000181
0.062000 64 0.235644 99.208177 0.000168
0.063000 65 0.220006 92.624527 0.000162
0.064000 66 0.249869 105.196758 0.000173
0.065000 67 0.305087 128.444351 0.000187
0.066000 68 0.347898 146.467764 0.000196
0.067000 69 0.350670 147.634887 0.000197
0.068000 70 0.313663 132.054550 0.000190
0.069000 71 0.265363 111.719837 0.000177
0.070000 72 0.239999 101.041385 0.000169
0.071000 73 0.252894 106.470372 0.000174
0.072000 74 0.291223 122.607409 0.000182
0.073000 75 0.323715 136.286754 0.000187
0.074000 76 0.324711 136.705991 0.000188
0.075000 77 0.293357 123.505754 0.000183
0.076000 78 0.255425 107.536199 0.000175
0.077000 79 0.241966 101.869712 0.000170
0.078000 80 0.266022 111.997351 0.000179
0.079000 81 0.312782 131.683654 0.000190
0.080000 82 0.348719 146.813545 0.000195
0.081000 83 0.345541 145.475756 0.000193
0.082000 84 0.302828 127.493001 0.000184
0.083000 85 0.247607 104.244719 0.000171
0.084000 86 0.217832 91.709251 0.000161
0.085000 87 0.233968 98.502404 0.000167
0.086000 88 0.285283 120.106659 0.000181
0.087000 89 0.336840 141.812564 0.000192
0.088000 90 0.355250 149.563177 0.000197
0.089000 91 0.330374 139.090121 0.000193
0.090000 92 0.282462 118.918774 0.000182
0.091000 93 0.246244 103.670825 0.000171
0.092000 94 0.245809 103.487682 0.000171
0.093000 95 0.277539 116.846338 0.000179
0.094000 96 0.314269 132.309717 0.000185
0.095000 97 0.326628 137.513032 0.000186
0.096000 98 0.304851 128.344931 0.000183
0.097000 99 0.266312 112.119512 0.000176
0.098000 100 0.242562 102.120655 0.000170
0.099000 101 0.254977 107.347249 0.000174
0.100000 102 0.297351 125.187070 0.000186
0.101000 103 0.340769 143.466396 0.000194
0.102000 104 0.352321 148.330103 0.000195
0.103000 105 0.320889 135.097117 0.000189
0.104000 106 0.265645 111.838932 0.000176
0.105000 107 0.223779 94.212932 0.000164
0.106000 108 0.223597 94.136018 0.000163
0.107000 109 0.265224 111.661366 0.000175
0.108000 110 0.320643 134.993270 0.000188
0.109000 111 0.352581 148.439416 0.000195
0.110000 112 0.341693 143.855393 0.000194
0.111000 113 0.299016 125.888269 0.000186
