# Density autocorrelation tracking
# Output period: 1000 steps
# Reference interval: 294211 steps
# kmag = 1.0, num_wavevectors = 50
# t0_step t0(ps) t_step t(ps) F(k,t)
588424 768.965761 589000 769.750271 1.043771
588424 768.965761 590000 771.131169 0.981059
588424 768.965761 591000 772.510552 1.009529
588424 768.965761 592000 773.889227 0.945291
588424 768.965761 593000 775.269584 0.827258
588424 768.965761 594000 776.660479 0.934454
588424 768.965761 595000 778.046237 0.805194
588424 768.965761 596000 779.428997 0.810481
588424 768.965761 597000 780.810074 0.877900
588424 768.965761 598000 782.192214 0.889042
588424 768.965761 599000 783.573646 0.894187
588424 768.965761 600000 784.957953 0.587901
588424 768.965761 601000 786.341986 0.782584
588424 768.965761 602000 787.722296 0.732813
588424 768.965761 603000 789.104225 0.677731
588424 768.965761 604000 790.487172 0.640947
588424 768.965761 605000 791.870944 0.925184
588424 768.965761 606000 793.252582 0.754679
588424 768.965761 607000 794.632320 0.705718
588424 768.965761 608000 796.018262 0.698529
588424 768.965761 609000 797.398868 0.711772
588424 768.965761 610000 798.779029 0.695539
588424 768.965761 611000 800.132904 0.634341
588424 768.965761 612000 801.511455 0.644527
588424 768.965761 613000 802.871959 0.624654
588424 768.965761 614000 804.250533 0.580551
588424 768.965761 615000 805.619751 0.762581
588424 768.965761 616000 806.993528 0.766775
588424 768.965761 617000 808.363279 0.721110
588424 768.965761 618000 809.735022 0.738766
588424 768.965761 619000 811.095617 0.586137
588424 768.965761 620000 812.451224 0.735026
588424 768.965761 621000 813.824837 0.754017
588424 768.965761 622000 815.192757 0.687135
588424 768.965761 623000 816.570245 0.728706
588424 768.965761 624000 817.927116 0.684617
588424 768.965761 625000 819.292731 0.721236
588424 768.965761 626000 820.650827 0.933935
588424 768.965761 627000 822.020012 0.844419
588424 768.965761 628000 823.395100 0.900815
588424 768.965761 629000 824.767624 0.893045
588424 768.965761 630000 826.142998 0.625603
588424 768.965761 631000 827.522461 0.795257
588424 768.965761 632000 828.880711 0.607049
588424 768.965761 633000 830.235085 0.580794
588424 768.965761 634000 831.598351 0.704850
588424 768.965761 635000 832.975470 0.595080
588424 768.965761 636000 834.350505 0.719894
588424 768.965761 637000 835.731948 0.564683
588424 768.965761 638000 837.116669 0.590784
588424 768.965761 639000 838.495280 0.530407
588424 768.965761 640000 839.865055 0.493040
588424 768.965761 641000 841.231634 0.312341
588424 768.965761 642000 842.581322 0.615848
588424 768.965761 643000 843.924431 0.386725
588424 768.965761 644000 845.303102 0.463686
588424 768.965761 645000 846.688551 0.340721
588424 768.965761 646000 848.068671 0.290608
588424 768.965761 647000 849.451347 0.338919
588424 768.965761 648000 850.810566 0.388029
588424 768.965761 649000 852.165973 0.376565
588424 768.965761 650000 853.537442 0.260157
588424 768.965761 651000 854.923793 0.252332
588424 768.965761 652000 856.300800 0.301180
588424 768.965761 653000 857.686185 0.300547
588424 768.965761 654000 859.061026 0.144232
588424 768.965761 655000 860.449980 0.182692
588424 768.965761 656000 861.833308 0.249868
588424 768.965761 657000 863.214129 0.365303
588424 768.965761 658000 864.597860 0.127453
588424 768.965761 659000 865.976654 0.290250
588424 768.965761 660000 867.361125 0.223755
588424 768.965761 661000 868.742710 0.200816
588424 768.965761 662000 870.125784 0.101159
588424 768.965761 663000 871.503891 0.330358
588424 768.965761 664000 872.889077 0.251339
588424 768.965761 665000 874.265626 0.359430
588424 768.965761 666000 875.631795 0.315451
588424 768.965761 667000 876.996789 0.411541
588424 768.965761 668000 878.376938 0.275300
588424 768.965761 669000 879.761623 0.230718
588424 768.965761 670000 881.140976 0.372973
588424 768.965761 671000 882.529284 0.199426
588424 768.965761 672000 883.910123 0.338977
588424 768.965761 673000 885.287764 0.178838
588424 768.965761 674000 886.671251 0.345768
588424 768.965761 675000 888.052476 0.028794
588424 768.965761 676000 889.435864 0.216264
588424 768.965761 677000 890.813217 0.321217
588424 768.965761 678000 892.194857 0.192526
588424 768.965761 679000 893.581595 0.199067
588424 768.965761 680000 894.965488 0.214934
588424 768.965761 681000 896.345311 0.163616
588424 768.965761 682000 897.728318 0.097677
588424 768.965761 683000 899.104144 0.002082
588424 768.965761 684000 900.486834 0.176948
588424 768.965761 685000 901.873075 0.279006
588424 768.965761 686000 903.255475 0.221323
588424 768.965761 687000 904.629000 0.238136
588424 768.965761 688000 905.999806 0.326273
588424 768.965761 689000 907.373915 0.179730
588424 768.965761 690000 908.724634 0.100844
588424 768.965761 691000 910.080161 0.243041
588424 768.965761 692000 911.446536 0.206731
588424 768.965761 693000 912.810958 0.238856
588424 768.965761 694000 914.154208 0.035115
588424 768.965761 695000 915.499537 0.070501
588424 768.965761 696000 916.867219 0.119833
588424 768.965761 697000 918.253277 0.044815
588424 768.965761 698000 919.630836 0.108484
588424 768.965761 699000 921.015502 0.144998
588424 768.965761 700000 922.399251 0.100309
588424 768.965761 701000 923.779671 0.087291
588424 768.965761 702000 925.160768 0.098318
588424 768.965761 703000 926.543047 0.126599
588424 768.965761 704000 927.925996 -0.094247
588424 768.965761 705000 929.310785 -0.040643
588424 768.965761 706000 930.689324 -0.036453
588424 768.965761 707000 932.077821 -0.139422
588424 768.965761 708000 933.461190 -0.106787
588424 768.965761 709000 934.838926 -0.040039
588424 768.965761 710000 936.234753 -0.054428
588424 768.965761 711000 937.617469 -0.045278
588424 768.965761 712000 939.000162 0.011734
588424 768.965761 713000 940.377665 -0.060113
588424 768.965761 714000 941.745614 -0.006199
588424 768.965761 715000 943.119418 -0.164851
588424 768.965761 716000 944.500991 -0.094379
588424 768.965761 717000 945.886094 0.068854
588424 768.965761 718000 947.269784 0.010738
588424 768.965761 719000 948.646331 -0.030618
588424 768.965761 720000 950.033289 -0.002049
588424 768.965761 721000 951.412577 -0.120727
