# CORRECTED Energy tracking - no double counting
# Output period: 1000 steps
# Energy components (all extensive quantities):
#   molecular_kinetic_energy: individual component energy
#   cavity_kinetic_energy: individual component energy
#   harmonic_energy: individual component energy
#   lj_energy: individual component energy
#   cavity_harmonic_energy: individual component energy
#   cavity_coupling_energy: individual component energy
#   cavity_dipole_self_energy: individual component energy
# Derived totals (computed from components, no double counting):
#   molecular_kinetic_energy: molecular particles only
#   cavity_kinetic_energy: cavity particle only
#   total_kinetic_energy: sum of all kinetic energies
#   molecular_potential_energy: molecular force contributions
#   cavity_potential_energy: cavity force contributions
#   total_potential_energy: sum of all potential energies
#   molecular_total_energy: molecular kinetic + potential
#   cavity_total_energy: cavity kinetic + potential
#   total_reservoir_energy: sum of all thermostat reservoir energies
#   universe_total_energy: system + reservoir (conserved quantity)
#   temperature: kinetic temperature from all particles
timestep time(ps) molecular_kinetic_energy cavity_kinetic_energy harmonic_energy lj_energy cavity_harmonic_energy cavity_coupling_energy cavity_dipole_self_energy molecular_kinetic_energy cavity_kinetic_energy total_kinetic_energy molecular_potential_energy cavity_potential_energy total_potential_energy molecular_total_energy cavity_total_energy total_reservoir_energy universe_total_energy temperature
0.033897 1000 2.962340 2.875579 4.089655 -0.698650 12.823774 -19.022356 7.056169 2.962340 2.875579 5.837920 3.391005 0.857587 4.248592 6.353346 3.733167 0.000000 10.086512 2452.906903
0.048178 2000 2.155282 1.991956 6.559405 -0.707744 5.305588 -11.429398 6.161139 2.155282 1.991956 4.147237 5.851661 0.037329 5.888990 8.006942 2.029285 0.000000 10.036227 1742.536245
0.064516 3000 8.722891 0.241076 1.385792 -0.701394 4.487724 -11.326021 7.215851 8.722891 0.241076 8.963966 0.684397 0.377554 1.061952 9.407288 0.618630 0.000000 10.025918 3766.371687
0.088897 4000 3.417995 2.848069 3.489059 -0.696603 10.908251 -15.689403 5.685202 3.417995 2.848069 6.266065 2.792456 0.904050 3.696506 6.210452 3.752119 0.000000 9.962571 2632.799749
0.111040 5000 2.076364 4.021663 0.746742 -0.685360 1.660491 -8.017626 10.132402 2.076364 4.021663 6.098028 0.061382 3.775267 3.836649 2.137746 7.796931 0.000000 9.934677 2562.195989
0.147848 6000 2.375462 0.396171 6.484784 -0.656345 18.581373 -27.525375 10.232040 2.375462 0.396171 2.771633 5.828439 1.288037 7.116476 8.203900 1.684208 0.000000 9.888109 1164.551254
0.174743 7000 6.910921 0.279955 0.464673 -0.671569 2.406861 -10.008252 10.452843 6.910921 0.279955 7.190876 -0.206896 2.851452 2.644556 6.704026 3.131407 0.000000 9.835432 3021.375956
0.226661 8000 5.306807 0.042355 2.433915 -0.682689 18.341825 -22.750289 7.062636 5.306807 0.042355 5.349162 1.751225 2.654173 4.405398 7.058032 2.696528 0.000000 9.754560 2247.546650
0.264631 9000 2.291575 3.746828 4.222262 -0.680118 6.879854 -12.622429 5.854992 2.291575 3.746828 6.038403 3.542144 0.112417 3.654561 5.833719 3.859245 0.000000 9.692963 2537.143436
0.301217 10000 2.427518 3.272239 3.406106 -0.631823 4.043392 -11.914562 9.090561 2.427518 3.272239 5.699756 2.774283 1.219392 3.993674 5.201801 4.491630 0.000000 9.693431 2394.855165
0.340792 11000 5.528368 0.056026 3.173750 -0.650698 16.386577 -22.887539 8.024025 5.528368 0.056026 5.584395 2.523052 1.523064 4.046116 8.051421 1.579090 0.000000 9.630511 2346.383839
0.386515 12000 2.521166 0.039974 0.990972 -0.642877 25.766560 -25.449431 6.334207 2.521166 0.039974 2.561140 0.348095 6.651336 6.999431 2.869261 6.691310 0.000000 9.560571 1076.109171
0.449486 13000 1.722495 3.628488 1.826122 -0.653772 18.379995 -22.060808 6.620985 1.722495 3.628488 5.350983 1.172350 2.940173 4.112523 2.894846 6.568661 0.000000 9.463506 2248.311889
