# Combined potential and kinetic energy contributions (all total/extensive quantities)
# time(ps) timestep harmonic_energy lj_energy coulomb_short_energy coulomb_long_energy cavity_harmonic_energy cavity_coupling_energy cavity_dipole_self_energy cavity_total_potential_energy molecular_kinetic_energy cavity_mode_kinetic_energy molecular_reservoir_energy cavity_reservoir_energy molecular_bussi_translational_energy molecular_bussi_rotational_energy total_potential_energy total_kinetic_energy universe_total_energy
0.033852 1000 4.116064 -0.699895 -0.330873 -0.397727 12.717608 -18.876244 7.006155 0.847519 2.843536 0.000000 0.014387 0.026885 0.014387 0.000000 3.535087 2.843536 6.419896
0.048047 2000 6.837809 -0.714084 -0.317667 -0.381553 4.992118 -10.976414 6.041546 0.057251 1.841908 0.000000 0.025930 0.033338 0.025930 0.000000 5.481756 1.841908 7.382933
0.064135 3000 2.280972 -0.707389 -0.320336 -0.384022 4.286666 -10.968006 7.094366 0.413026 7.799037 0.000000 0.043219 0.034604 0.043219 0.000000 1.282251 7.799037 9.159110
0.086534 4000 1.736012 -0.698902 -0.317914 -0.378995 18.216900 -20.850624 6.019156 3.385432 5.337737 0.000000 0.066471 0.037453 0.066471 0.000000 3.725634 5.337737 9.167295
0.112169 5000 1.095434 -0.687554 -0.308914 -0.373022 5.058825 -13.004000 8.391790 0.446614 2.480143 0.000000 0.077086 0.063228 0.077086 0.000000 0.172558 2.480143 2.793016
0.144746 6000 0.726527 -0.663656 -0.312007 -0.384380 16.721898 -23.377945 8.174953 1.518906 7.342139 0.000000 0.092420 0.091203 0.092420 0.000000 0.885390 7.342139 8.411152
0.185101 7000 2.946049 -0.665523 -0.301549 -0.376052 8.359615 -16.271000 7.919228 0.007843 3.735404 0.000000 0.124332 0.105809 0.124332 0.000000 1.610767 3.735404 5.576313
0.219670 8000 1.875032 -0.662289 -0.310416 -0.377955 0.984696 -5.828630 9.504700 4.660766 3.540868 0.000000 0.138987 0.141196 0.138987 0.000000 5.185138 3.540868 9.006189
0.262260 9000 0.786947 -0.676559 -0.311227 -0.376050 16.292350 -20.099160 6.278665 2.471855 6.083138 0.000000 0.180372 0.148915 0.180372 0.000000 1.894967 6.083138 8.307392
0.314862 10000 3.089879 -0.655625 -0.308577 -0.378479 1.984636 -7.886729 8.749615 2.847522 3.770761 0.000000 0.197902 0.205805 0.197902 0.000000 4.594720 3.770761 8.769187
0.359315 11000 2.394021 -0.662262 -0.298953 -0.371387 11.694038 -17.967288 6.918869 0.645618 3.612276 0.000000 0.237168 0.227618 0.237168 0.000000 1.707039 3.612276 5.784100
0.408037 12000 0.841621 -0.632056 -0.308095 -0.382289 5.368709 -14.160897 9.433749 0.641560 8.112043 0.000000 0.263131 0.267392 0.263131 0.000000 0.160742 8.112043 8.803309
0.473191 13000 1.097315 -0.620760 -0.316007 -0.387899 1.283748 -7.045249 10.071797 4.310296 3.738318 0.000000 0.306834 0.309507 0.306834 0.000000 4.082945 3.738318 8.437605
