# CORRECTED Energy tracking following working EnergyContributionTracker pattern
# Output period: 10 steps
# All energies in Hartree (atomic units)
# Column definitions:
#   time(ps): simulation time in picoseconds
#   timestep: simulation timestep number
#   harmonic_energy: harmonic bond potential energy
#   lj_energy: Lennard-Jones potential energy
#   ewald_short_energy: short-range Coulomb energy
#   ewald_long_energy: long-range Coulomb energy
#   cavity_harmonic_energy: cavity harmonic potential energy
#   cavity_coupling_energy: cavity-molecule coupling energy
#   cavity_dipole_self_energy: dipole self-energy
#   cavity_total_potential_energy: total cavity potential energy
#   molecular_kinetic_energy: molecular kinetic energy
#   cavity_kinetic_energy: cavity kinetic energy
#   total_kinetic_energy: total kinetic energy
#   total_potential_energy: total potential energy
#   system_total_energy: total system energy (KE + PE)
#   molecular_reservoir_energy: molecular reservoir energy
#   cavity_reservoir_energy: cavity reservoir energy
#   total_reservoir_energy: total reservoir energy
#   universe_total_energy: universe total energy (system + reservoir) [CONSERVED]
#   temperature: kinetic temperature (K)
time(ps) timestep harmonic_energy lj_energy ewald_short_energy ewald_long_energy cavity_harmonic_energy cavity_coupling_energy cavity_dipole_self_energy cavity_total_potential_energy molecular_kinetic_energy cavity_kinetic_energy total_kinetic_energy total_potential_energy system_total_energy molecular_reservoir_energy cavity_reservoir_energy total_reservoir_energy universe_total_energy temperature
0.000272 10 0.188448 -0.716897 -0.338316 -0.399578 0.003636 -0.349437 10.340645 9.994843 0.328636 0.309810 0.638446 8.728499 9.366945 -0.000064 -0.000056 -0.000120 9.366825 46.119434
0.000383 20 0.184917 -0.717089 -0.338211 -0.399470 0.007124 -0.516018 10.298836 9.789942 0.373080 0.473721 0.846800 8.520090 9.366890 -0.000060 -0.000003 -0.000064 9.366826 52.356525
0.000496 30 0.180810 -0.717315 -0.338081 -0.399338 0.013279 -0.719984 10.248148 9.541443 0.426404 0.673091 1.099495 8.267519 9.367014 -0.000143 -0.000015 -0.000158 9.366857 59.839903
0.000610 40 0.176210 -0.717577 -0.337925 -0.399182 0.023319 -0.962113 10.188360 9.249566 0.488179 0.907643 1.395822 7.971093 9.366915 -0.000034 -0.000043 -0.000076 9.366839 68.509095
0.000727 50 0.171227 -0.717874 -0.337743 -0.399001 0.038751 -1.243076 10.119274 8.914949 0.558330 1.177038 1.735369 7.631558 9.366927 0.000073 -0.000206 -0.000133 9.366794 78.353909
0.000845 60 0.165993 -0.718206 -0.337535 -0.398794 0.061402 -1.563409 10.040702 8.538694 0.636481 1.480063 2.116544 7.250152 9.366696 0.000183 -0.000010 0.000173 9.366868 89.321274
0.000965 70 0.160666 -0.718573 -0.337300 -0.398562 0.093443 -1.923462 9.952472 8.122453 0.722277 1.815591 2.537868 6.828685 9.366553 0.000156 0.000140 0.000296 9.366849 101.361508
0.001088 80 0.155433 -0.718973 -0.337038 -0.398304 0.137426 -2.323444 9.854459 7.668441 0.814820 2.181783 2.996603 6.369559 9.366161 0.000236 0.000417 0.000653 9.366815 114.348611
0.001213 90 0.150507 -0.719406 -0.336749 -0.398019 0.196301 -2.763345 9.746566 7.179522 0.913516 2.576718 3.490234 5.875854 9.366087 0.000224 0.000482 0.000706 9.366793 128.199256
0.001340 100 0.146129 -0.719868 -0.336434 -0.397709 0.273422 -3.242777 9.628779 6.659424 1.017243 2.996937 4.014180 5.351541 9.365721 0.000245 0.000909 0.001154 9.366875 142.755896
0.001470 110 0.142569 -0.720359 -0.336093 -0.397374 0.372493 -3.760715 9.501208 6.112987 1.125114 3.438854 4.563968 4.801729 9.365697 -0.000029 0.001178 0.001149 9.366846 157.894075
0.001601 120 0.140116 -0.720873 -0.335728 -0.397015 0.497386 -4.314949 9.364287 5.546723 1.234638 3.897571 5.132209 4.233223 9.365431 0.000304 0.001073 0.001377 9.366808 173.264336
0.001735 130 0.139065 -0.721406 -0.335341 -0.396635 0.651868 -4.901793 9.218799 4.968874 1.344734 4.366142 5.710876 3.654557 9.365433 0.000431 0.001053 0.001484 9.366917 188.714724
0.001870 140 0.139690 -0.721951 -0.334936 -0.396236 0.839475 -5.516633 9.065730 4.388572 1.453080 4.836665 6.289744 3.075139 9.364884 0.000656 0.001231 0.001887 9.366771 203.919534
0.002005 150 0.142230 -0.722502 -0.334516 -0.395822 1.063374 -6.154311 8.906229 3.815292 1.557899 5.302145 6.860044 2.504682 9.364726 0.000718 0.001249 0.001967 9.366694 218.629464
0.002141 160 0.146853 -0.723050 -0.334086 -0.395398 1.325383 -6.807392 8.742050 3.260040 1.656497 5.753792 7.410289 1.954359 9.364648 0.001071 0.001108 0.002179 9.366827 232.466298
0.002276 170 0.153664 -0.723590 -0.333651 -0.394968 1.627036 -7.469951 8.574575 2.731661 1.747647 6.183508 7.931154 1.433115 9.364269 0.001208 0.001290 0.002498 9.366767 245.257947
0.002410 180 0.162698 -0.724116 -0.333214 -0.394536 1.969332 -8.136715 8.405063 2.237680 1.829656 6.585597 8.415253 0.948513 9.363765 0.001417 0.001481 0.002898 9.366663 256.766729
0.002543 190 0.173910 -0.724621 -0.332780 -0.394106 2.351890 -8.801640 8.234996 1.785246 1.901238 6.953793 8.855030 0.507650 9.362680 0.001758 0.002240 0.003998 9.366678 266.812273
0.002674 200 0.187182 -0.725102 -0.332352 -0.393681 2.773578 -9.459490 8.065713 1.379801 1.961580 7.285983 9.247563 0.115848 9.363410 0.002218 0.001040 0.003258 9.366668 275.280469
0.002803 210 0.202367 -0.725555 -0.331934 -0.393265 3.233321 -10.106803 7.898104 1.024623 2.011030 7.575563 9.586592 -0.223764 9.362828 0.002078 0.001908 0.003986 9.366814 282.220091
0.002931 220 0.219291 -0.725978 -0.331527 -0.392859 3.729943 -10.741112 7.732826 0.721657 2.048877 7.823163 9.872040 -0.509416 9.362624 0.001956 0.002019 0.003975 9.366600 287.531383
0.003056 230 0.237721 -0.726369 -0.331133 -0.392466 4.260985 -11.359361 7.570744 0.472367 2.074764 8.026731 10.101494 -0.739880 9.361614 0.002274 0.002810 0.005084 9.366697 291.164241
0.003179 240 0.257440 -0.726728 -0.330754 -0.392087 4.824797 -11.960357 7.412239 0.276679 2.089825 8.185661 10.275487 -0.915450 9.360037 0.002231 0.004559 0.006790 9.366827 293.277963
0.003301 250 0.278229 -0.727055 -0.330391 -0.391723 5.419703 -12.543366 7.257597 0.133934 2.093915 8.302152 10.396067 -1.037006 9.359061 0.002423 0.005261 0.007684 9.366745 293.851912
0.003421 260 0.299857 -0.727349 -0.330044 -0.391375 6.043852 -13.107866 7.107068 0.043055 2.087870 8.376417 10.464287 -1.105856 9.358431 0.002549 0.005773 0.008322 9.366753 293.003552
0.003539 270 0.322096 -0.727611 -0.329714 -0.391043 6.695407 -13.653640 6.960825 0.002592 2.072271 8.409227 10.481498 -1.123679 9.357819 0.002635 0.006321 0.008956 9.366775 290.814421
0.003656 280 0.344726 -0.727842 -0.329401 -0.390728 7.372656 -14.180789 6.818962 0.010829 2.047939 8.402343 10.450282 -1.092415 9.357867 0.002507 0.006468 0.008975 9.366843 287.399779
0.003772 290 0.367527 -0.728041 -0.329105 -0.390430 8.073825 -14.689523 6.681565 0.065867 2.015106 8.356293 10.371398 -1.014182 9.357216 0.002619 0.006943 0.009562 9.366778 282.792087
0.003886 300 0.390276 -0.728210 -0.328828 -0.390150 8.796949 -15.180034 6.548718 0.165633 1.974701 8.272643 10.247345 -0.891278 9.356067 0.002755 0.007923 0.010678 9.366745 277.121915
0.004000 310 0.412757 -0.728349 -0.328569 -0.389888 9.540075 -15.652657 6.420488 0.307906 1.927362 8.154767 10.082129 -0.726142 9.355986 0.003022 0.007770 0.010792 9.366779 270.478409
