# Cavity mode tracking
# Output period: 1 steps
# timestep time(ps) cavity_kinetic_energy cavity_potential_energy cavity_total_energy cavity_temperature
2 0.000000 0.052839 0.000930 0.053768 11122.740111
3 0.000034 0.073405 0.001024 0.074429 15451.963572
4 0.000068 0.097322 0.001161 0.098483 20486.588572
5 0.000102 0.124604 0.001352 0.125956 26229.733468
6 0.000136 0.155152 0.001609 0.156761 32660.106097
7 0.000170 0.188905 0.001949 0.190855 39765.308390
8 0.000204 0.225956 0.002388 0.228345 47564.776007
9 0.000238 0.266307 0.002944 0.269250 56058.684583
10 0.000272 0.309810 0.003636 0.313446 65216.299191
11 0.000283 0.324717 0.003895 0.328613 68354.382013
12 0.000294 0.339942 0.004172 0.344115 71559.283913
13 0.000305 0.355494 0.004468 0.359962 74832.963460
14 0.000316 0.371388 0.004783 0.376170 78178.636876
15 0.000327 0.387596 0.005118 0.392714 81590.589215
16 0.000339 0.404153 0.005473 0.409626 85075.833464
17 0.000350 0.421059 0.005851 0.426911 88634.769343
18 0.000361 0.438282 0.006251 0.444533 92260.107144
19 0.000372 0.455839 0.006675 0.462514 95956.055894
20 0.000383 0.473721 0.007124 0.480844 99720.182072
21 0.000394 0.492181 0.007604 0.499786 103606.178460
22 0.000406 0.510962 0.008113 0.519074 107559.551563
23 0.000417 0.530064 0.008649 0.538712 111580.602645
24 0.000428 0.549523 0.009214 0.558737 115676.917297
25 0.000439 0.569331 0.009810 0.579141 119846.562611
26 0.000451 0.589454 0.010437 0.599891 124082.569728
27 0.000462 0.609895 0.011096 0.620991 128385.387836
28 0.000473 0.630633 0.011789 0.642422 132750.843829
29 0.000485 0.651714 0.012516 0.664230 137188.423142
30 0.000496 0.673091 0.013279 0.686371 141688.512521
31 0.000507 0.695128 0.014092 0.709220 146327.401317
32 0.000519 0.717501 0.014944 0.732445 151036.976095
33 0.000530 0.740108 0.015836 0.755944 155795.753769
34 0.000542 0.763071 0.016770 0.779840 160629.536980
35 0.000553 0.786403 0.017746 0.804150 165541.183138
36 0.000565 0.810076 0.018767 0.828843 170524.267147
37 0.000576 0.834025 0.019834 0.853859 175565.764225
38 0.000587 0.858257 0.020947 0.879204 180666.571028
39 0.000599 0.882815 0.022108 0.904924 185836.277895
40 0.000610 0.907643 0.023319 0.930963 191062.714441
41 0.000622 0.933209 0.024602 0.957811 196444.323986
42 0.000634 0.959058 0.025938 0.984997 201885.754739
43 0.000645 0.985227 0.027330 1.012557 207394.391557
44 0.000657 1.011771 0.028779 1.040550 212982.033446
45 0.000669 1.038585 0.030286 1.068871 218626.506310
46 0.000680 1.065665 0.031853 1.097518 224326.910043
47 0.000692 1.093024 0.033482 1.126506 230086.179183
48 0.000703 1.120737 0.035173 1.155910 235919.701216
49 0.000715 1.148756 0.036929 1.185685 241817.846563
50 0.000727 1.177038 0.038751 1.215789 247771.491408
51 0.000739 1.206067 0.040673 1.246740 253882.191427
52 0.000750 1.235383 0.042667 1.278049 260053.160611
53 0.000762 1.265007 0.044734 1.309740 266289.134147
54 0.000774 1.294903 0.046876 1.341778 272582.422547
55 0.000786 1.325123 0.049094 1.374218 278943.998716
56 0.000798 1.355629 0.051392 1.407021 285365.524736
57 0.000810 1.386336 0.053769 1.440105 291829.431920
58 0.000821 1.417316 0.056229 1.473545 298350.950371
59 0.000833 1.448583 0.058773 1.507356 304932.783373
60 0.000845 1.480063 0.061402 1.541464 311559.340038
61 0.000857 1.512411 0.064166 1.576577 318368.755637
62 0.000869 1.545038 0.067023 1.612061 325236.882414
63 0.000881 1.577894 0.069975 1.647868 332153.206830
64 0.000893 1.611092 0.073022 1.684114 339141.555048
65 0.000905 1.644587 0.076168 1.720755 346192.415442
66 0.000917 1.678275 0.079415 1.757690 353283.883465
67 0.000929 1.712139 0.082763 1.794902 360412.317118
68 0.000941 1.746315 0.086216 1.832531 367606.567138
69 0.000953 1.780860 0.089775 1.870636 374878.528187
70 0.000965 1.815591 0.093443 1.909034 382189.446468
71 0.000978 1.851084 0.097290 1.948375 389660.947071
72 0.000990 1.886848 0.101254 1.988102 397189.282522
73 0.001002 1.922864 0.105336 2.028201 404770.896788
74 0.001014 1.959158 0.109540 2.068697 412410.811020
75 0.001027 1.995750 0.113866 2.109616 420113.619055
76 0.001039 2.032558 0.118318 2.150877 427861.958225
77 0.001051 2.069594 0.122898 2.192492 435658.100137
78 0.001064 2.106837 0.127608 2.234445 443497.960383
79 0.001076 2.144203 0.132450 2.276653 451363.698943
80 0.001088 2.181783 0.137426 2.319209 459274.425374
81 0.001101 2.220335 0.142635 2.362970 467389.691505
82 0.001113 2.259164 0.147988 2.407153 475563.499151
83 0.001125 2.298263 0.153488 2.451751 483793.892183
84 0.001138 2.337445 0.159138 2.496582 492041.805626
85 0.001150 2.376807 0.164938 2.541745 500327.693915
86 0.001163 2.416394 0.170893 2.587287 508661.000911
87 0.001175 2.456144 0.177004 2.633149 517028.560824
88 0.001188 2.496058 0.183274 2.679333 525430.651871
89 0.001200 2.536258 0.189706 2.725964 533892.844409
90 0.001213 2.576718 0.196301 2.773019 542409.797045
91 0.001226 2.618062 0.203192 2.821254 551112.875904
92 0.001238 2.659518 0.210259 2.869776 559839.509319
