# Molecular kinetic energy data (excluding photon particle)
# time(ps) timestep kinetic_energy(a.u.) temperature(K) avg_vel_magnitude(a.u.)
0.000000 2 0.261198 109.966418 0.000178
0.000034 3 0.267361 112.561042 0.000180
0.000068 4 0.274352 115.504643 0.000182
0.000102 5 0.282194 118.806029 0.000185
0.000136 6 0.290844 122.447705 0.000188
0.000170 7 0.300223 126.396471 0.000191
0.000204 8 0.310540 130.740097 0.000194
0.000237 9 0.321595 135.394252 0.000198
0.000271 10 0.333444 140.382528 0.000202
0.000305 11 0.346005 145.670959 0.000206
0.000339 12 0.359377 151.300748 0.000210
0.000373 13 0.373519 157.254569 0.000214
0.000407 14 0.388406 163.522113 0.000218
0.000441 15 0.403924 170.055202 0.000223
0.000475 16 0.420155 176.888559 0.000227
0.000509 17 0.437153 184.044905 0.000232
0.000543 18 0.454799 191.474132 0.000237
0.000577 19 0.473027 199.148250 0.000242
0.000611 20 0.491921 207.102952 0.000247
0.000644 21 0.511396 215.301758 0.000252
0.000678 22 0.531448 223.743837 0.000257
0.000712 23 0.552094 232.435963 0.000263
0.000746 24 0.573406 241.408505 0.000268
0.000780 25 0.595269 250.613038 0.000273
0.000814 26 0.617540 259.989501 0.000279
0.000848 27 0.640353 269.593913 0.000284
0.000882 28 0.663655 279.404345 0.000289
0.000916 29 0.687397 289.399989 0.000295
0.000950 30 0.711534 299.561638 0.000300
0.000984 31 0.736132 309.917741 0.000306
0.001018 32 0.761064 320.414467 0.000311
0.001052 33 0.786293 331.035805 0.000317
0.001085 34 0.811923 341.826192 0.000322
0.001119 35 0.837996 352.803209 0.000327
0.001153 36 0.864259 363.860190 0.000333
0.001187 37 0.890869 375.063252 0.000338
0.001221 38 0.917567 386.303316 0.000343
0.001255 39 0.944581 397.676279 0.000349
0.001289 40 0.971780 409.127481 0.000354
0.001323 41 0.999075 420.618748 0.000359
0.001357 42 1.026478 432.155606 0.000364
0.001391 43 1.054047 443.762641 0.000369
0.001425 44 1.081747 455.424610 0.000375
0.001459 45 1.109315 467.030683 0.000380
0.001492 46 1.137070 478.715884 0.000385
0.001526 47 1.164855 490.413581 0.000389
0.001560 48 1.192612 502.099478 0.000394
0.001594 49 1.220301 513.756691 0.000399
0.001628 50 1.247748 525.312263 0.000404
0.001662 51 1.275125 536.838081 0.000408
0.001696 52 1.302479 548.354612 0.000413
0.001730 53 1.329716 559.821592 0.000417
0.001764 54 1.356735 571.196628 0.000422
0.001798 55 1.383494 582.462567 0.000426
0.001832 56 1.409927 593.590944 0.000430
0.001866 57 1.436156 604.633682 0.000435
0.001900 58 1.462106 615.558927 0.000439
0.001933 59 1.487782 626.368451 0.000443
0.001967 60 1.513077 637.017920 0.000447
0.002001 61 1.538173 647.583511 0.000451
0.002035 62 1.562875 657.983327 0.000454
0.002069 63 1.587135 668.196933 0.000458
0.002103 64 1.611052 678.266249 0.000462
0.002137 65 1.634482 688.130369 0.000465
0.002171 66 1.657339 697.753662 0.000468
0.002205 67 1.679625 707.136061 0.000472
0.002239 68 1.701584 716.381050 0.000475
0.002273 69 1.722923 725.364741 0.000478
