# Density autocorrelation tracking
# Output period: 1000 steps
# Reference interval: 294400 steps
# kmag = 1.0, num_wavevectors = 50
# t0_step t0(ps) t_step t(ps) F(k,t)
2 0.000000 1000 0.031091 1.427844
2 0.000000 2000 0.072898 1.431619
2 0.000000 3000 0.141638 1.391183
2 0.000000 4000 0.224464 1.308104
2 0.000000 5000 0.317979 1.230115
2 0.000000 6000 0.429070 1.142179
2 0.000000 7000 0.554437 1.066008
2 0.000000 8000 0.705234 0.965261
2 0.000000 9000 0.868277 0.907266
2 0.000000 10000 1.030798 0.882449
2 0.000000 11000 1.214099 0.896560
2 0.000000 12000 1.414185 0.971562
2 0.000000 13000 1.635316 1.048741
2 0.000000 14000 1.880391 0.796748
2 0.000000 15000 2.134196 0.896102
2 0.000000 16000 2.410135 0.872469
2 0.000000 17000 2.705817 0.758769
2 0.000000 18000 3.046486 0.643073
2 0.000000 19000 3.372026 0.744719
2 0.000000 20000 3.716573 0.847089
2 0.000000 21000 4.087107 0.829357
2 0.000000 22000 4.467869 0.732265
2 0.000000 23000 4.877832 0.612236
2 0.000000 24000 5.293901 0.568458
2 0.000000 25000 5.728446 0.565218
2 0.000000 26000 6.176488 0.596913
2 0.000000 27000 6.657449 0.611638
