# Peak Analysis Results
# Directory, Epsilon, Peak2_Freq, Peak2_Intensity, Peak3_Freq, Peak3_Intensity, Peak4_Freq, Peak4_Intensity
# Frequencies in cm⁻¹, intensities are normalized
# -1 indicates peak not detected
Dir	Epsilon	Peak2_Freq	Peak2_Int	Peak3_Freq	Peak3_Int	Peak4_Freq	Peak4_Int
0	0.000000	1558.4	1.000000	1558.4	1.000000    2331.6	0.471455
1	0.000100	1530.4	0.397875	1592.4	0.599769	2331.6	0.123097
2	0.000200	1503.0	0.275945	1630.5	0.766797	2332.9	0.171719
3	0.000300	1479.0	0.124320	1671.2	0.699163	2335.6	0.095848
4	0.000400	1457.0	0.042916	1713.9	0.800293	2339.6	0.042794
5	0.000500	1439.7	0.027735	1759.9	0.906427	2344.3	0.037154
6	0.000600	1425.0	0.024418	1809.3	0.962345	2351.6	0.046905
7	0.000700	1413.0	0.023162	1860.6	1.005447	2361.6	0.061086
9	0.000900	1386.3	0.022067	1964.7	1.004389	2395.7	0.098000
10	0.001000	1377.0	0.026366	2008.7	1.001011	2422.3	0.157283
11	0.001100	1368.9	0.036034	2049.4	0.995557	2063.4	0.988354
12	0.001200	1362.3	0.053405	2086.1	0.980699	2494.4	0.997177
13	0.001300	1356.9	0.023789	2133.5	0.268491	2540.4	0.966282
