# Relaxation time analysis from F(k,t) using threshold method
# tau_relax = time when F(k,t)/F(k,0) = 0.100000
# Temperature(K) 1/T(1/K) tau_relax(ps) F_initial F_final_norm decay_extent target_value method success
65.00 0.015385 8756.995506 767.773420 -0.024200 1.024200 0.100000 interpolated True
67.39 0.014839 7587.688027 761.487018 0.006239 0.993761 0.100000 interpolated True
69.97 0.014292 4505.657508 772.677954 -0.017698 1.017698 0.100000 interpolated True
72.75 0.013746 3545.885396 772.087496 0.025083 0.974917 0.100000 interpolated True
75.77 0.013198 1781.365469 764.649087 0.026928 0.973072 0.100000 interpolated True
79.04 0.012652 971.194951 755.385755 0.039519 0.960481 0.100000 interpolated True
82.61 0.012105 582.800842 760.920559 0.022374 0.977626 0.100000 interpolated True
86.51 0.011559 344.624056 742.084175 -0.021463 1.021463 0.100000 interpolated True
90.81 0.011012 260.489601 742.888880 -0.013146 1.013146 0.100000 interpolated True
95.55 0.010466 161.039476 731.240621 -0.014046 1.014046 0.100000 interpolated True
100.82 0.009919 104.984921 721.557296 -0.036490 1.036490 0.100000 interpolated True
106.70 0.009372 76.000962 715.493014 -0.044399 1.044399 0.100000 interpolated True
113.30 0.008826 52.447758 711.081768 0.008863 0.991137 0.100000 interpolated True
120.78 0.008280 38.474737 702.484881 -0.007556 1.007556 0.100000 interpolated True
129.32 0.007733 27.629106 697.494948 0.044177 0.955823 0.100000 interpolated True
139.15 0.007186 20.393845 693.920622 -0.061993 1.061993 0.100000 interpolated True
150.61 0.006640 15.466843 690.662968 0.017428 0.982572 0.100000 interpolated True
164.12 0.006093 11.468750 687.593746 -0.001086 1.001086 0.100000 interpolated True
180.29 0.005547 8.584390 685.913294 0.014722 0.985278 0.100000 interpolated True
200.00 0.005000 6.444279 683.392276 0.026329 0.973671 0.100000 interpolated True
