# Potential Energy Components vs Temperature
# Generated from final_equil and final_multitemp directories
# All energies in Hartree (atomic units)
# Columns:
#   temperature_K: temperature in Kelvin
#   harmonic_energy: average harmonic bond potential energy
#   harmonic_energy_std: standard deviation across replicas
#   lj_energy: average Lennard-Jones potential energy
#   lj_energy_std: standard deviation across replicas
#   coulombic_energy: average total Coulombic energy (short + long)
#   coulombic_energy_std: standard deviation across replicas
#   total_potential_energy: average total potential energy
#   total_potential_energy_std: standard deviation across replicas
#
temperature	harmonic_hartree	harmonic_energy_std	lj_hartree	lj_energy_std	coulombic_hartree	coulombic_energy_std	total_potential_energy_hartree	total_potential_energy_std
                 65.00	      3.25183513e-02	      1.39370913e-03	     -7.58563295e-01	      2.04792379e-03	     -7.67333101e-01	      1.51010566e-03	     -1.49337805e+00	      1.55203345e-03
                 67.39	      3.29838661e-02	      1.23509753e-03	     -7.53339224e-01	      1.66187073e-03	     -7.64647089e-01	      1.81974865e-03	     -1.48500245e+00	      2.50565465e-03
                 69.97	      3.37016821e-02	      2.00853920e-03	     -7.48791587e-01	      1.87107179e-03	     -7.60691042e-01	      1.66116550e-03	     -1.47578095e+00	      1.96567949e-03
                 72.75	      3.60183306e-02	      1.48984565e-03	     -7.44957221e-01	      2.28679629e-03	     -7.57864743e-01	      1.14498498e-03	     -1.46680363e+00	      2.15411193e-03
                 75.77	      3.73627122e-02	      1.22167910e-03	     -7.39538629e-01	      1.62886468e-03	     -7.54055620e-01	      7.50716612e-04	     -1.45623154e+00	      1.34801486e-03
                 79.04	      3.97469100e-02	      1.38180050e-03	     -7.33539350e-01	      1.46649270e-03	     -7.50256223e-01	      8.34658350e-04	     -1.44404866e+00	      1.05802974e-03
                 82.61	      4.01800020e-02	      2.35587655e-03	     -7.26075510e-01	      1.67621286e-03	     -7.45786754e-01	      1.07195827e-03	     -1.43168226e+00	      7.76537784e-04
                 86.51	      4.25736276e-02	      1.55566628e-03	     -7.19546072e-01	      1.16515881e-03	     -7.41554770e-01	      6.81990421e-04	     -1.41852722e+00	      3.38333927e-04
                 90.81	      4.68767020e-02	      1.86830992e-03	     -7.14449559e-01	      1.52358937e-03	     -7.38053533e-01	      9.87221427e-04	     -1.40562639e+00	      8.14856955e-04
                 95.55	      4.84219038e-02	      1.59750307e-03	     -7.05534081e-01	      1.09465959e-03	     -7.32201424e-01	      8.71711203e-04	     -1.38931360e+00	      5.59366729e-04
                100.82	      4.92475947e-02	      1.57392705e-03	     -6.95460055e-01	      1.29075960e-03	     -7.25930530e-01	      8.82841207e-04	     -1.37214299e+00	      6.90998450e-04
                106.70	      5.31016944e-02	      1.45429042e-03	     -6.86789998e-01	      1.21454265e-03	     -7.20211599e-01	      7.36244099e-04	     -1.35389990e+00	      6.24964647e-04
                113.30	      5.57336790e-02	      2.44599679e-03	     -6.75853905e-01	      1.81318462e-03	     -7.13439707e-01	      1.04544051e-03	     -1.33355993e+00	      4.97787331e-04
                120.78	      6.05987581e-02	      3.06261256e-03	     -6.64916620e-01	      2.05563139e-03	     -7.06621335e-01	      1.29761408e-03	     -1.31093920e+00	      4.18513066e-04
                129.32	      6.43583292e-02	      1.45614220e-03	     -6.51785325e-01	      1.02484991e-03	     -6.98408015e-01	      6.62813209e-04	     -1.28583501e+00	      5.06430804e-04
                139.15	      6.94877738e-02	      4.45019674e-03	     -6.37501231e-01	      2.78618544e-03	     -6.89629943e-01	      1.72598124e-03	     -1.25764340e+00	      3.01093513e-04
                146.34	      7.51252320e-02	      0.00000000e+00	     -6.32187726e-01	      0.00000000e+00	     -6.85646232e-01	      0.00000000e+00	     -1.24270875e+00	      0.00000000e+00
                150.61	      7.49917569e-02	      2.96556916e-03	     -6.21168932e-01	      1.91643985e-03	     -6.79708915e-01	      1.12515956e-03	     -1.22588609e+00	      2.78531197e-04
                164.12	      8.38391121e-02	      3.50886786e-03	     -6.03800765e-01	      2.22127483e-03	     -6.69331684e-01	      1.36683977e-03	     -1.18929334e+00	      3.78344110e-04
                180.29	      8.94161379e-02	      4.44278909e-03	     -5.80747704e-01	      2.64166526e-03	     -6.55805809e-01	      1.50258516e-03	     -1.14713738e+00	      4.95693399e-04
                193.24	      1.07892972e-01	      0.00000000e+00	     -5.75886938e-01	      0.00000000e+00	     -6.52946586e-01	      0.00000000e+00	     -1.12094055e+00	      0.00000000e+00
                200.00	      9.97138472e-02	      3.30385872e-03	     -5.55901323e-01	      1.94498435e-03	     -6.41637600e-01	      1.11731710e-03	     -1.09782507e+00	      3.08532830e-04
                284.36	      1.59448324e-01	      0.00000000e+00	     -4.74387160e-01	      0.00000000e+00	     -5.96708698e-01	      0.00000000e+00	     -9.11647504e-01	      0.00000000e+00
                538.12	      2.94167524e-01	      0.00000000e+00	     -2.33303472e-01	      0.00000000e+00	     -4.88615314e-01	      0.00000000e+00	     -4.27751286e-01	      0.00000000e+00
               5000.00	      1.96449069e+00	      0.00000000e+00	      2.16367042e+00	      0.00000000e+00	     -1.31074250e-01	      0.00000000e+00	      3.99708683e+00	      0.00000000e+00
